,user_embed
15,"-0.13752289,-0.5030675,0.06713704,0.18094878,-0.05052407,-0.15346919,0.45994264,-0.21247296,-0.19554242,-0.19283725,0.033450004,-0.12638935,0.3536838,0.08484472,0.071453944,0.33887503,0.34341314,0.2851554,0.027146775,-0.059983186,0.07843047,-0.16882138,0.43424952,-0.18314509,-0.32928297,-0.21068323,0.26428428,0.20820364,-0.09728454,0.24813296"
16,"-0.14178073,-0.4932838,0.06563626,0.18830186,-0.052295946,-0.1597062,0.45327953,-0.20163393,-0.19513589,-0.19059855,0.03320118,-0.11945178,0.35702017,0.0842922,0.07448918,0.33630428,0.34325156,0.28339714,0.018496595,-0.07073037,0.074681684,-0.16489603,0.4302609,-0.18304788,-0.32696444,-0.21347979,0.25915483,0.20197189,-0.097420886,0.24749544"
17,"-0.11157694,-0.4054261,0.05916272,0.15419975,-0.036643706,-0.12472743,0.36498377,-0.16825382,-0.15160766,-0.16159213,0.025739767,-0.09036991,0.29545617,0.07278111,0.061431758,0.27858934,0.27623287,0.2481188,0.011974245,-0.041133,0.05548678,-0.12611003,0.34160566,-0.15255187,-0.27646112,-0.17220366,0.2166525,0.16001654,-0.06989258,0.20440938"
18,"-0.5233028,0.08459036,0.40460807,-0.09706805,0.24184214,-0.099091455,-0.36387685,-0.4722684,-0.37948886,0.51963544,0.04165624,0.10356255,0.6289178,-0.5646342,0.0074436376,0.065446116,-0.36625725,-0.4890757,-0.23063977,0.4864348,-0.24554297,-0.032936264,0.643799,0.36614978,-0.14509314,-0.5639798,0.30323508,-0.44239238,0.079017185,-0.21423915"
19,"0.3127126,0.36225113,0.026885465,0.10073382,-0.13741836,0.04028199,0.17178777,-0.4369635,0.13857147,0.04745191,0.4071267,-0.19611426,0.2540955,0.050569233,-0.28713605,-0.32143033,0.21407165,0.100706,-0.31772858,-0.47406417,-0.2994266,-0.3999263,0.20758745,0.036800396,-0.33541793,-0.1141835,-0.36393347,0.2677303,0.0762479,-0.011159748"
20,"0.24089503,0.26251352,0.014304451,0.079629384,-0.10763567,0.035027582,0.13454033,-0.33116522,0.09992739,0.045901176,0.30496117,-0.14394157,0.19191074,0.04234725,-0.22001061,-0.2479528,0.16551547,0.07998624,-0.24624448,-0.34523568,-0.22868675,-0.29223594,0.15009414,0.030190269,-0.24782357,-0.07840675,-0.28129646,0.1968441,0.05117809,-0.015718231"
21,"0.24048796,0.26224315,0.012825568,0.07990971,-0.10939066,0.033933826,0.13421252,-0.32969835,0.10137694,0.046062533,0.3035468,-0.14331785,0.19245282,0.04058113,-0.21625637,-0.2474246,0.16631109,0.0726266,-0.24432795,-0.35090238,-0.22988993,-0.3025106,0.15139051,0.03272764,-0.24884823,-0.082824126,-0.2761264,0.19722126,0.050728608,-0.017377634"
22,"0.589144,-0.12479894,-0.3889114,0.22781515,-0.39288166,0.3146912,0.43936,-0.6180998,-0.05615714,0.49198797,0.031166641,-0.37513664,0.1442204,0.21380258,-0.3231709,0.09424341,0.4016011,-0.21104293,-0.49062207,0.027119579,-0.51770014,0.021842642,-0.23957288,0.30218932,-0.40534782,-0.016690675,-0.4040602,-0.046690527,-0.3158271,-0.36531523"
23,"0.24196115,0.26468703,0.012791509,0.07950792,-0.10527435,0.034437332,0.12993681,-0.33195737,0.09790483,0.0453902,0.30303347,-0.1383026,0.19163553,0.0419292,-0.2188251,-0.2476457,0.16573164,0.07247732,-0.24534933,-0.3511399,-0.23244312,-0.30564818,0.1508072,0.031174062,-0.24869682,-0.08112696,-0.27618238,0.19658117,0.05001265,-0.017081738"
24,"-0.001805155,-0.0069607208,0.0017778405,2.2108696e-05,0.0016336734,0.0006899992,0.0019474579,0.00079141796,-0.0027179339,-0.00049028674,0.0010296226,0.0036289664,0.0021212015,-0.0032754682,-0.005063383,-0.0010953504,-5.6470068e-05,0.0012534223,-0.0003985367,-0.00015596162,0.0011025459,0.0034116658,-0.0014754072,-0.007842865,-7.7929944e-05,0.0012204633,0.0028408233,0.0014271021,-0.0048992364,-0.0048766644"
25,"9.27133e-06,1.3701813e-05,-2.0844744e-05,6.6832234e-07,1.7846983e-06,-3.3903825e-06,-6.6017446e-06,-4.746901e-06,-4.4356907e-06,2.227486e-05,-5.40388e-06,-6.560821e-05,9.7857655e-06,1.8976847e-05,2.266747e-05,1.578186e-05,-6.54757e-08,1.9352963e-05,6.988567e-06,-8.553146e-07,-3.7048143e-05,1.3114402e-05,8.5712445e-06,7.948727e-06,1.0486218e-05,-1.5343168e-05,-1.8131484e-05,-1.0679307e-05,1.4454845e-05,0.00019217342"
26,"0.006927321,-0.00016657909,-0.010629917,-0.03955933,0.043211795,0.020124592,-0.013017091,-0.0040649506,-0.0414119,-0.02968853,-0.035610702,0.023660406,0.008610765,0.016474092,-0.017905105,0.05282375,-0.022302533,-0.00037944454,0.043074127,-0.0031362916,-0.02617127,-0.034240834,-0.019508518,-0.023540195,-0.0080316095,0.008990874,0.0036139402,0.0032309215,-0.011678301,-0.019819735"
27,"0.0103738895,0.0005487613,-0.01853962,-0.07147106,0.07288396,0.03372761,-0.019421872,-0.004884724,-0.080398716,-0.05251249,-0.043736804,0.036304526,0.015846295,0.023457011,-0.02404786,0.10437127,-0.039817777,0.0030252975,0.06731691,0.006648878,-0.04646772,-0.050135408,-0.029575836,-0.040978212,-0.014108811,0.018550646,0.005326531,-0.006483482,-0.018629476,-0.02982725"
