,words
0,"4383,4851,281,700,2100,3010,1651,4374,1835,4900,1597,3259,2657,1413,4873,1597,121,3640,4022,4039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"1162,4453,324,1397,4254,1701,3397,4597,2444,2081,1250,774,3770,4923,4143,3303,907,1250,2081,2503,506,3301,0,2782,2763,3944,3041,4202,1,4801,1457,2288,4487,3871,1654,3944,2863,1413,2345,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"1753,1094,1,3703,3979,1413,1781,1834,716,1442,1597,889,4458,4017,886,4900,3951,2081,3143,247,3093,4369,1442,1043,1597,3832,4720,2081,2098,4082,4821,2400,3944,1958,2081,3108,3301,1953,4227,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"907,4588,4661,680,3010,1597,60,2227,1539,2238,875,1808,1413,907,4588,139,1517,3837,2605,4081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"787,2146,1,4614,2080,1749,0,2343,2041,4458,3742,0,3793,3779,2501,324,2859,542,2263,2952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"1162,3839,1442,2842,1018,2504,2213,891,553,3825,1,3477,604,4227,467,869,1597,1417,3149,0,4346,4374,0,2669,1242,1021,774,509,4562,4458,0,3684,1413,4666,1917,2263,1413,3871,3811,4731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"2452,1442,3041,3259,3237,3346,1442,1597,2049,899,3143,2588,2263,3041,3579,2734,1442,2651,4613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"1655,4674,268,4458,4110,4900,4915,1535,1093,4836,3948,914,36,3686,164,3876,664,2081,44,4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"2858,4588,2081,1046,4900,4903,2324,3742,3124,4782,2639,1,4821,1105,1413,3779,1410,3944,834,4851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"1653,4588,2859,3681,2081,1595,4213,4081,4692,3640,1353,1820,1210,2087,1217,2081,55,0,1177,1413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
10,"1723,4390,4815,1182,1710,2603,2324,0,720,3746,1442,2503,4329,771,1439,2080,2766,1,4821,946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
11,"371,1517,1925,1998,907,1925,2506,872,907,1925,1985,4851,3770,4720,1442,2503,2331,3352,2364,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
