,words
0,"4383,4851,281,700,2100,3010,1651,4374,1835,4900,1597,3259,2657,1413,4873,1597,121,3640,4022,4039,907,4661,4329,2531,2712,3809,4733,4605,2080,800,1743,329,1840,2747,1711,1217,3289,4900,1597,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
1,"1162,4453,324,1397,4254,1701,3397,4597,2444,2081,1250,774,3770,4923,4143,3303,907,1250,2081,2503,4383,1833,1860,4731,1567,4588,1597,3937,1158,127,28,4731,3944,1661,2263,2316,721,0,2068,1233,907,4129,3224,553,3639,2145,3528,3144,2843,1706,609,774,3770,3852,3873,527,1442,3064,0,2669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
2,"1753,1094,1,3703,3979,1413,1781,1834,716,1442,1597,889,4458,4017,886,4900,3951,2081,3143,247,506,3301,0,2782,2763,3944,3041,4202,1,4801,1457,2288,4487,3871,1654,3944,2863,1413,2345,907,1655,4674,268,4458,4110,4900,4915,1535,1093,4836,3948,914,36,3686,164,3876,664,2081,44,4006,1787,4707,774,0,4028,872,0,1228,1580,2263,1941,0,2456,1413,0,440,4166,2324,1597,1508,4383,3945,774,1597,4381,2500,1832,568,1953,2331,1395,2081,356,99,1567,373,1400,1155,2318,2219"
3,"907,4588,4661,680,3010,1597,60,2227,1539,2238,875,1808,1413,907,4588,139,1517,3837,2605,4081,640,3275,3319,0,643,2896,3377,4458,1198,4836,3435,0,2275,2819,1,362,652,2135,0,4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"787,2146,1,4614,2080,1749,0,2343,2041,4458,3742,0,3793,3779,2501,324,2859,542,2263,2952,1723,4390,4815,1182,1710,2603,2324,0,720,3746,1442,2503,4329,771,1439,2080,2766,1,4821,946,2213,281,2722,1457,1597,253,1908,4272,887,2181,3831,1,900,2503,2490,1,2327,2213,3742,599,1655,3728,820,1,3568,1,3511,907,4588,858,4622,4900,800,1825,3316,3688,2501,891,1560,0,3731,2641,1442,3301,3799,3315,4588,2931,1,900,4778,3780,2324,2749,4111,1,3315,4588,858,3513"
5,"1162,3839,1442,2842,1018,2504,2213,891,553,3825,1,3477,604,4227,467,869,1597,1417,3149,0,648,1146,2218,4789,3826,36,3770,3771,1442,1597,313,1036,4458,4143,1597,648,77,1146,1372,1,907,2135,0,2156,3504,4458,3770,1382,1,4821,1784,1442,2849,4404,3565,2842,3206,1413,4731,4588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"2452,1442,3041,3259,3237,3346,1442,1597,2049,899,3143,2588,2263,3041,3579,2734,1442,2651,4613,0,3498,1393,2148,800,2098,2081,4720,774,1596,2080,2205,3192,1413,319,4843,907,1362,176,4782,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"2858,4588,2081,1046,4900,4903,2324,3742,3124,4782,2639,1,4821,1105,1413,3779,1410,3944,834,4851,4821,2669,193,863,774,0,164,294,4450,844,3944,2240,869,826,2288,4078,1,503,0,3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
8,"1653,4588,2859,3681,2081,1595,4213,4081,4692,3640,1353,1820,1210,2087,1217,2081,55,0,1177,1413,1264,816,4215,2638,3892,1993,2081,0,1920,3213,4458,0,77,869,227,1413,3620,2081,2738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"371,1517,1925,1998,907,1925,2506,872,907,1925,1985,4851,3770,4720,1442,2503,2331,3352,2364,907,571,0,2479,1704,1517,1597,45,2805,72,1706,3475,4075,2345,3713,1462,4823,2174,2805,184,4900,4346,4374,0,2669,1242,1021,774,509,4562,4458,0,3684,1413,4666,1917,2263,1413,3871,3811,4731,4895,907,1362,281,0,3079,2487,4458,1185,1185,1413,253,1185,800,1674,2722,702,1413,3640,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
