,words
32,"-1.3340153694152832,0.9834027290344238,-1.3120225667953491,-0.6413835883140564,1.2666032314300537,-0.23870348930358887,1.0965543985366821,-0.5871065855026245,1.2828303575515747,-0.5161589980125427"
33,"-0.8073444366455078,0.23830875754356384,-1.3605930805206299,-0.1579350233078003,-0.6247643232345581,0.7558320760726929,1.0731050968170166,-0.7586113214492798,2.120694875717163,-0.4786929786205292"
34,"-1.9042880535125732,0.3436654210090637,-0.39405062794685364,-0.6006697416305542,1.7365119457244873,0.15711888670921326,0.6453310251235962,0.6003099083900452,0.6439678072929382,-1.2278964519500732"
35,"-0.9234552979469299,-0.11403205990791321,-1.5348938703536987,0.021453291177749634,0.7444021701812744,2.1155014038085938,-0.024846583604812622,0.7721697092056274,0.016620278358459473,-1.072919249534607"
36,"0.9775221943855286,0.19686928391456604,0.6127838492393494,1.1918225288391113,0.399353563785553,-0.5808715224266052,-0.9264335632324219,-0.36600369215011597,0.7620639801025391,-2.267106771469116"
37,"-1.0211021900177002,1.2761151790618896,-0.7740901112556458,0.7027214169502258,0.19366022944450378,0.6042247414588928,1.3485727310180664,-1.9713141918182373,-0.00041663646697998047,-0.35837116837501526"
38,"-0.7122951745986938,1.131690502166748,0.6509116888046265,0.2742179036140442,0.29528331756591797,0.7558687925338745,-0.18648406863212585,-1.7983944416046143,1.1549376249313354,-1.5657354593276978"
39,"-1.6890846490859985,-0.28112590312957764,-0.5164642333984375,-0.1429930478334427,1.2130244970321655,1.0145668983459473,1.1879597902297974,-1.4529838562011719,0.8507392406463623,-0.18363885581493378"
40,"-0.3626335561275482,-0.30379873514175415,-1.1796456575393677,-0.6304425001144409,1.6841912269592285,0.23791265487670898,0.057197123765945435,-1.093821406364441,1.9419397115707397,-0.3508988320827484"
41,"-1.8766461610794067,0.20184093713760376,-1.831864356994629,0.18219555914402008,0.9125927090644836,1.1752161979675293,0.2138715386390686,0.8683488965034485,0.18395856022834778,-0.029513981193304062"
42,"-1.6309192180633545,1.2213201522827148,-0.32855165004730225,-0.16786238551139832,1.3379470109939575,-0.44076019525527954,0.789046049118042,-1.1783335208892822,1.103932499885559,-0.7058188915252686"
43,"-1.4465527534484863,0.1931135058403015,-0.45494046807289124,-1.6249680519104004,1.6912825107574463,0.003726743161678314,1.4090512990951538,0.26305854320526123,0.21434617042541504,-0.24811767041683197"
44,"-0.7711074352264404,-0.08011215925216675,-0.12213842570781708,0.7923750877380371,2.3144094944000244,-0.3381793797016144,-0.5342796444892883,-0.5320354700088501,0.7425727844238281,-1.4715049266815186"
45,"-1.2709115743637085,-0.10555507987737656,-0.6756116151809692,-0.6074506640434265,1.928839921951294,0.14195875823497772,1.0507597923278809,0.9102680087089539,-0.003045942634344101,-1.3692517280578613"
46,"0.8684108257293701,-1.1760437488555908,-0.670376181602478,1.605863332748413,0.8123230934143066,0.5243033766746521,0.3835671544075012,-0.9962777495384216,0.28493255376815796,-1.6367028951644897"
47,"-0.9712309837341309,-0.7899705171585083,-0.8679636716842651,0.11402907967567444,1.5591017007827759,1.2682201862335205,0.04994717240333557,-1.1825976371765137,1.3821897506713867,-0.5617250800132751"
48,"-0.9710862040519714,0.286082923412323,0.7897048592567444,0.2729796767234802,1.5234311819076538,0.9261670708656311,-0.9124677181243896,-1.5543315410614014,0.7644168138504028,-1.1248970031738281"
49,"-0.15535438060760498,-0.49563026428222656,0.13193805515766144,0.582345187664032,2.012453079223633,0.2043488472700119,-0.28512799739837646,-1.646903157234192,0.9277107119560242,-1.275780439376831"
50,"-0.14677581191062927,-0.4754111170768738,-1.0903536081314087,0.0966697633266449,1.3178560733795166,0.7595429420471191,0.5235781073570251,0.24464882910251617,0.989851713180542,-2.21960711479187"
51,"-1.1004618406295776,-1.0054901838302612,0.19786220788955688,-0.8711013793945312,0.6702251434326172,1.2525311708450317,1.0141358375549316,-0.9129594564437866,1.563944697380066,-0.8086858987808228"
52,"-1.1368508338928223,-0.6583348512649536,-0.5514484643936157,1.2397106885910034,1.6291813850402832,0.9368598461151123,-0.17236872017383575,-1.0026739835739136,0.8134000301361084,-1.097475290298462"
53,"-1.3059790134429932,-0.6876842975616455,-0.28587865829467773,-0.9221311807632446,2.2240092754364014,1.173584222793579,-0.18168264627456665,-0.08668151497840881,0.5474528074264526,-0.47500914335250854"
54,"-1.1094374656677246,0.8223760724067688,-1.1518919467926025,-0.21405759453773499,0.8820019960403442,1.0239031314849854,1.286780595779419,-0.8770376443862915,0.7291548848152161,-1.3917921781539917"
55,"-1.0863041877746582,1.0845272541046143,-0.6969507932662964,-0.8739698529243469,0.6451836228370667,1.1784920692443848,0.052115023136138916,0.0739670991897583,1.3130865097045898,-1.6901466846466064"
56,"-0.575251579284668,-0.4043194353580475,-1.4688022136688232,0.14520058035850525,2.3385915756225586,0.7477898001670837,0.026717767119407654,-0.39089927077293396,0.5176546573638916,-0.9366822242736816"
57,"-1.3407440185546875,-0.2720944881439209,-0.52592533826828,-0.4489281177520752,2.2246367931365967,0.8816018104553223,0.9728639125823975,-0.6519193053245544,-0.10345499962568283,-0.7360360026359558"
58,"-0.9978495240211487,0.1280970275402069,-0.8527754545211792,0.46728354692459106,1.582023024559021,-0.3606210947036743,1.332516074180603,-0.4402414560317993,0.8100390434265137,-1.668471336364746"
59,"-1.4376447200775146,0.8681143522262573,-1.3268487453460693,-0.19620393216609955,-0.3732333183288574,1.6543940305709839,0.4874601364135742,-0.644279956817627,1.3155854940414429,-0.3473433256149292"
60,"-1.035293698310852,-1.156277060508728,-0.2207973599433899,-0.46363168954849243,1.5896753072738647,1.08786141872406,1.4586836099624634,-0.2705540359020233,0.1856846958398819,-1.1753511428833008"
61,"0.31527307629585266,-0.06334160268306732,0.404007226228714,-0.7515394687652588,1.691922664642334,0.36883169412612915,0.5479569435119629,-0.4254781901836395,0.2808382511138916,-2.3684706687927246"
62,"-0.5409664511680603,0.09019608050584793,-1.0581870079040527,-1.4094083309173584,2.2300212383270264,0.877588152885437,0.5226101279258728,-0.1199321523308754,0.1439550518989563,-0.7358769774436951"
63,"-1.103637456893921,-0.9806236028671265,0.924759030342102,-0.49249908328056335,1.9138765335083008,-1.2663633823394775,0.8065108060836792,0.6455827951431274,0.1560012847185135,-0.6036067008972168"
64,"-0.7876353859901428,0.3919251561164856,-0.9200686812400818,0.9824440479278564,1.5304954051971436,1.3845175504684448,-0.1541234850883484,-1.5776423215866089,-0.05011990666389465,-0.7997922897338867"
65,"-2.1354291439056396,0.2743433117866516,-0.2905953526496887,-0.37031659483909607,-0.11114320158958435,1.9164323806762695,0.33122479915618896,-0.7074999809265137,0.9003033638000488,0.19268061220645905"
66,"-0.9460703134536743,0.2041139155626297,-0.9010978937149048,1.0307059288024902,0.26033252477645874,1.2526029348373413,1.3436720371246338,-0.9860000014305115,0.36656075716018677,-1.6248197555541992"
67,"-0.13545623421669006,-0.6891665458679199,0.1923733651638031,-0.03359860181808472,2.3579514026641846,0.41591474413871765,-0.766714334487915,-0.727361798286438,0.7953449487686157,-1.4092872142791748"
68,"-0.1259155124425888,1.041732668876648,-1.0106642246246338,-0.12923938035964966,0.06402736902236938,-0.022473454475402832,0.9600483179092407,1.3428140878677368,0.14052903652191162,-2.2608590126037598"
69,"-0.09069663286209106,0.19607095420360565,-2.0839176177978516,-0.34371936321258545,1.5476679801940918,0.9325021505355835,-1.0187970399856567,-0.4832249879837036,0.8345139026641846,0.5096005797386169"
70,"-0.4325408339500427,-1.1340452432632446,-0.4017076790332794,0.891555666923523,1.4778717756271362,-0.8279447555541992,1.2423914670944214,-1.4243041276931763,0.9911849498748779,-0.3824614882469177"
71,"-1.3308355808258057,-0.009454905986785889,-0.9349024295806885,-0.11030574142932892,1.2851256132125854,-0.6640799045562744,0.9735231399536133,-0.9421328902244568,1.8444992303848267,-0.1114361435174942"
72,"-1.3142603635787964,-1.1903132200241089,0.5920041799545288,0.3849060833454132,1.7165248394012451,0.462930828332901,-0.0966639518737793,-1.58372163772583,0.7880473136901855,0.24054569005966187"
73,"-1.0701830387115479,-0.14005358517169952,-0.7954951524734497,-0.7789467573165894,0.8879479169845581,1.5191482305526733,0.3863915503025055,-0.9536503553390503,1.6959484815597534,-0.7511072158813477"
74,"-1.5654032230377197,0.4155741035938263,-0.6181997060775757,-0.14479418098926544,0.6732515096664429,1.8790048360824585,-0.37564632296562195,-1.2268749475479126,1.144702672958374,-0.18161463737487793"
75,"-0.1665390282869339,0.007833421230316162,-0.31809064745903015,0.2699231505393982,1.5553171634674072,1.4189941883087158,-1.4101134538650513,-1.1749051809310913,0.9037908315658569,-1.0862107276916504"
76,"0.06864351034164429,-0.841227650642395,-0.06930698454380035,-1.4002515077590942,2.2080931663513184,0.2979172468185425,0.7948570847511292,-1.2505202293395996,0.3638664484024048,-0.17207123339176178"
77,"-1.4210069179534912,-0.2539665997028351,-0.6792334914207458,-0.338923841714859,1.842664122581482,0.39194005727767944,1.3581159114837646,0.4274165630340576,0.0010482370853424072,-1.3280538320541382"
