,words
16,"-0.9902288913726807,-0.07688535749912262,-0.9623752236366272,0.2923415005207062,-0.7740609049797058,-0.5811899304389954,-1.1970956325531006,1.7651176452636719,-0.3065974712371826,-1.0263780355453491,1.6594196557998657,0.18720366060733795,0.2787719964981079,0.9229691624641418,-0.9872840046882629,-1.177043080329895,0.9719783067703247,1.8229000568389893,0.7986368536949158,-0.6201997995376587"
17,"0.30248111486434937,0.9108603000640869,-0.034797895699739456,0.30729809403419495,-0.26120856404304504,-1.435329556465149,0.48270082473754883,-0.11302763223648071,-1.084147572517395,-1.7019654512405396,-1.1320676803588867,0.9862093925476074,0.4616393744945526,-0.6109932661056519,0.10958613455295563,0.4829186201095581,1.867716908454895,1.9301413297653198,0.027445347979664803,-1.4954601526260376"
18,"0.5922052264213562,0.11617795377969742,-2.573584794998169,-0.615270733833313,-0.34256303310394287,-0.17515477538108826,0.271375834941864,1.1728421449661255,-0.3477236032485962,-1.1302473545074463,1.702073574066162,0.28772541880607605,-0.5730153918266296,0.8299527168273926,-0.04446346312761307,-1.2610747814178467,-0.23078565299510956,0.7629390358924866,1.827837347984314,-0.2692455053329468"
19,"0.4438844621181488,0.4166150391101837,-2.2854413986206055,-0.42258965969085693,0.8015894293785095,0.139260932803154,-0.17641374468803406,0.7300013899803162,-1.9263482093811035,-0.6514650583267212,-0.13629885017871857,1.1392781734466553,-1.6869844198226929,0.6193245649337769,0.466485857963562,-0.6461835503578186,1.3057957887649536,0.7674158811569214,1.1770285367965698,-0.07495512068271637"
20,"0.8755286335945129,1.0846761465072632,-0.7791258692741394,-1.408266544342041,-1.9382177591323853,0.35094329714775085,-1.0468544960021973,-0.39342787861824036,-0.2514428198337555,-0.4666171669960022,0.8793265223503113,1.491738200187683,0.3466106057167053,0.7115163207054138,-1.5729180574417114,1.4718382358551025,0.289224773645401,1.1035836935043335,-0.6967761516571045,-0.051340244710445404"
21,"-0.48913559317588806,1.1715853214263916,-1.317064642906189,0.6833122968673706,-0.7463998794555664,-0.24646294116973877,0.6753215193748474,-0.3154807388782501,-0.0397251732647419,-1.5638525485992432,1.6112194061279297,-0.9083088040351868,-1.2934834957122803,0.25198596715927124,-0.7163070440292358,0.7974197268486023,0.14335083961486816,1.0587347745895386,2.0955448150634766,-0.8522536754608154"
22,"-0.37219342589378357,-0.32306963205337524,-0.9423955082893372,-1.3621360063552856,-1.1676760911941528,0.7244176864624023,-0.030739545822143555,-2.2337024211883545,-0.8900063633918762,0.6804094314575195,1.591821551322937,-0.5981303453445435,0.6587932705879211,1.56190824508667,1.089552640914917,0.2343035638332367,0.7594159841537476,0.1614520251750946,0.9921321272850037,-0.534156858921051"
23,"1.5482064485549927,2.2488369941711426,-0.7698207497596741,-0.9122666120529175,-0.2624024748802185,-0.7753387093544006,-0.5882664322853088,-0.4464944005012512,-0.6400352120399475,-0.369960755109787,-0.19194909930229187,-0.32745447754859924,-0.5440359115600586,-0.28544989228248596,-1.1693357229232788,0.2700752317905426,1.3618764877319336,0.9856959581375122,1.8821474313735962,-1.0140275955200195"
24,"-0.703913152217865,1.6098836660385132,-1.6409062147140503,-0.6038833260536194,-0.9155370593070984,-1.4512287378311157,1.6609426736831665,-0.6152663230895996,-0.24304939806461334,-0.8305036425590515,2.024980068206787,0.7033200263977051,-0.05384505167603493,0.2701231837272644,0.38594114780426025,-0.6150109767913818,0.1484137773513794,-0.6504911184310913,1.0964198112487793,0.42361146211624146"
25,"0.8273444771766663,1.9355326890945435,0.48082566261291504,-0.8477350473403931,-0.041536878794431686,-0.517092227935791,-1.8258485794067383,-0.5707166194915771,1.016834020614624,-0.57171630859375,1.3792856931686401,-0.29928991198539734,-1.2593965530395508,-0.4274821877479553,-1.1247442960739136,-0.41292813420295715,1.6505314111709595,-0.1355537623167038,1.1182674169540405,-0.3745795488357544"
26,"0.9683095812797546,1.9838223457336426,-1.578211784362793,-0.07589471340179443,-0.26288139820098877,0.892624020576477,-1.3788398504257202,0.2544599175453186,-0.5824562907218933,-0.9992043375968933,1.3032482862472534,0.2198546677827835,-0.8338148593902588,0.02091425284743309,-1.1294524669647217,0.23020848631858826,0.03622717782855034,0.5995334386825562,1.6275897026062012,-1.2960362434387207"
27,"0.6575180888175964,0.6063666343688965,-0.4966921806335449,-0.4235656261444092,-2.3282370567321777,-0.6809301376342773,-0.7004721164703369,-0.7315471172332764,-0.10449680685997009,0.08661358058452606,1.2343698740005493,0.18775911629199982,-1.6135869026184082,0.5821596384048462,0.08890652656555176,0.3271092176437378,1.3382036685943604,0.3665051758289337,2.2192492485046387,-0.6152327060699463"
28,"-0.273123174905777,-0.23933477699756622,-0.674624502658844,0.23956544697284698,-1.6033666133880615,-0.5249274373054504,0.651483416557312,0.5829907655715942,-1.8018454313278198,-0.47362837195396423,0.9082141518592834,-0.8383323550224304,-1.450469732284546,0.9737793207168579,1.205012559890747,0.9001191854476929,0.3132930397987366,2.1461195945739746,0.5824229717254639,-0.6233482956886292"
