,words
0,"-0.04441290348768234,0.08715245127677917,-0.18754661083221436,1.301061987876892,-0.1387544870376587,-0.3958894610404968,1.1598079204559326,-0.24279874563217163,-0.39021238684654236,-2.3297553062438965,-0.3779554069042206,0.6370954513549805,-0.00516357459127903,1.059398889541626,0.9800988435745239,0.18930748105049133,1.1897188425064087,-0.6327763795852661,0.5897549390792847,0.8706565499305725,-1.203170657157898,-2.100045919418335,0.36390215158462524,0.8136225938796997,0.27197664976119995,-1.7647606134414673,-0.8129931688308716,-0.1265324354171753,2.0734786987304688,-0.8342644572257996"
1,"-1.4396779537200928,-0.17211468517780304,-0.07767253369092941,-0.3554780185222626,-0.5400198698043823,-0.12679247558116913,0.5240461230278015,-0.3123670518398285,1.865564227104187,-0.8515027761459351,-1.2874040603637695,1.0548059940338135,-1.035724401473999,1.14541757106781,1.3933225870132446,0.3280019164085388,0.7593927979469299,0.6994203329086304,0.27214714884757996,-0.5413317084312439,-0.9554359316825867,-0.3503018617630005,1.0114458799362183,-0.3746035099029541,-1.8995462656021118,-0.9037268757820129,-0.5583178400993347,0.1672714203596115,2.6947407722473145,-0.1335592120885849"
2,"-0.7578598260879517,-1.0757372379302979,0.3306027948856354,0.8604775071144104,-0.09737810492515564,-0.6200995445251465,0.3704328238964081,0.4020594358444214,-2.2633068561553955,1.2116265296936035,0.19163307547569275,1.011707067489624,-1.0787650346755981,1.3467527627944946,1.1782435178756714,0.6102131605148315,0.16431641578674316,0.7299131751060486,2.1954429149627686,-0.1482238918542862,-1.695021152496338,-1.2008219957351685,-0.3668319582939148,-0.6981916427612305,-0.42064639925956726,-1.2315325736999512,-0.6387253999710083,0.384477823972702,1.3221263885498047,-0.016883885487914085"
3,"-0.19053147733211517,-0.11755271255970001,-2.1515727043151855,-0.8993881344795227,-0.5669553279876709,0.4641575813293457,1.5518544912338257,-0.8514964580535889,0.7655366063117981,-1.430496335029602,-0.39690855145454407,0.2892470061779022,-1.1618285179138184,1.068910837173462,1.2408887147903442,1.2965450286865234,0.20865760743618011,0.028257662430405617,0.36595094203948975,1.9300531148910522,-0.9325622320175171,-1.9216443300247192,-0.07904121279716492,0.519454836845398,1.0384140014648438,0.5898821949958801,-1.1314219236373901,0.5509341359138489,0.46119043231010437,-0.5385364294052124"
4,"-0.1695883572101593,-0.7106253504753113,0.17587387561798096,0.3772577941417694,0.3396221399307251,0.28699401021003723,1.7985951900482178,-0.735283374786377,-0.022810861468315125,-1.6606736183166504,0.5260138511657715,0.29885926842689514,0.29924261569976807,1.6519172191619873,1.5676007270812988,0.22191980481147766,-0.6963119506835938,0.2841845452785492,-1.059180498123169,-0.15661510825157166,-2.139239549636841,0.3183126449584961,1.143195629119873,1.0618362426757812,-1.4804668426513672,-0.8683997392654419,-1.8596315383911133,1.1729648113250732,0.38152629137039185,-0.3470892608165741"
5,"-0.19471204280853271,1.4370336532592773,0.26282787322998047,0.10703373700380325,0.06307420879602432,0.9834989905357361,0.9644322395324707,0.3358990252017975,-2.1520259380340576,1.924206018447876,0.4608977437019348,0.6117675304412842,-0.9067282676696777,0.6717517971992493,-0.3746068775653839,1.3874346017837524,0.04070887714624405,-0.27735456824302673,-0.373285710811615,0.5204762816429138,-2.3572492599487305,-0.6546424031257629,-1.114337682723999,0.15005168318748474,-0.939393162727356,-0.17530693113803864,0.07154671847820282,-1.9104934930801392,0.40008893609046936,1.0374059677124023"
6,"-0.24530085921287537,-0.9833884239196777,0.3045845031738281,1.3989434242248535,0.3220732510089874,0.6567652821540833,1.0662707090377808,-0.7827725410461426,1.218393325805664,-0.05485350638628006,0.7063925862312317,0.5444992780685425,-3.0950913429260254,0.1476437747478485,-0.09984464198350906,-0.762925922870636,-0.5439605712890625,0.4359048306941986,0.45928823947906494,1.055554747581482,-1.4057753086090088,-1.7512297630310059,-0.06912687420845032,-0.46473491191864014,0.8203459978103638,-1.2968766689300537,-0.1345810741186142,0.2586117684841156,1.2280982732772827,1.0670937299728394"
7,"1.2476094961166382,0.5222162008285522,-1.18311607837677,0.909132719039917,-1.0999512672424316,-1.9309293031692505,0.4503110349178314,1.2184255123138428,-0.825248122215271,-1.667567253112793,-0.02676435559988022,-0.9771503210067749,-1.3422186374664307,0.40273916721343994,1.4632296562194824,0.42477622628211975,1.7423372268676758,0.7684273719787598,0.9929106831550598,0.6415411233901978,-0.731604278087616,-0.7807484865188599,-0.5334857106208801,0.338457316160202,-0.16502541303634644,-0.8749894499778748,-0.821620762348175,0.4409162700176239,1.5382130146026611,-0.14082401990890503"
8,"-0.0072045354172587395,0.28159910440444946,-0.7363097667694092,1.4974479675292969,0.9655290842056274,0.8388779163360596,0.46211761236190796,-1.9325392246246338,-0.22991101443767548,-1.3676044940948486,0.3245980143547058,1.523160696029663,-0.9422250390052795,-0.30949866771698,1.2015583515167236,0.2852281928062439,0.8837602138519287,-0.47580686211586,0.5662587285041809,1.3240073919296265,-0.8006755113601685,-0.9907225966453552,1.2478969097137451,-0.5016708970069885,-1.685166835784912,-1.0837024450302124,-1.1018775701522827,0.9262040257453918,0.9386736154556274,-1.1020026206970215"
9,"-0.8914322257041931,0.0955549031496048,0.4453718662261963,2.498809814453125,-0.19888155162334442,1.888779640197754,0.6888254284858704,-0.5479766130447388,0.42182907462120056,-2.1741387844085693,-1.1377893686294556,0.4562591016292572,-1.4958769083023071,0.9644216299057007,-0.6670998334884644,-0.2525692284107208,-0.6701865196228027,0.8509604334831238,0.12481537461280823,0.9416213035583496,-1.0247514247894287,-0.9324749112129211,-0.3321212828159332,0.048498883843421936,0.4414595663547516,-1.3770031929016113,0.034797344356775284,0.09097567945718765,1.4107056856155396,0.2986155152320862"
