,words
10,"-0.6683283448219299,0.06419917196035385,-0.722693145275116,2.233290910720825,-0.27041271328926086,0.514958381652832,-0.011997614055871964,-0.3189334273338318,0.5818719863891602,-0.07807818800210953,0.5653764605522156,0.15568934381008148,-1.7727659940719604,-0.7714489102363586,0.5129880309104919,0.45096755027770996,1.514133095741272,-0.39199015498161316,-0.4257136285305023,1.0215319395065308,-2.1440837383270264,-1.2620038986206055,-0.5207676887512207,0.9892087578773499,0.12203618139028549,0.2635439336299896,-1.2513309717178345,-1.1924161911010742,1.9387750625610352,0.8743937015533447"
11,"0.1423080563545227,0.5004980564117432,1.9371283054351807,-0.17435206472873688,0.585781455039978,1.149259090423584,1.5780246257781982,-1.335700273513794,-0.645163893699646,-1.2268157005310059,0.09419877827167511,0.9196481704711914,-1.2312530279159546,1.0762724876403809,0.5778930187225342,-0.24121595919132233,-0.07669718563556671,-0.550102949142456,1.0157374143600464,-0.43020591139793396,-1.9674646854400635,-2.3608453273773193,1.180709958076477,-0.4863382875919342,-0.21650074422359467,0.517235517501831,-0.8841080665588379,0.43514707684516907,0.4278155267238617,-0.31089362502098083"
12,"-0.7212854623794556,-0.7009738683700562,-1.9622193574905396,-0.5228564143180847,1.5513521432876587,0.32080748677253723,0.9207929968833923,-0.6437448859214783,-1.045096516609192,-0.8302344679832458,-0.7121992111206055,1.3488303422927856,-0.7733955979347229,0.2876132130622864,1.6991252899169922,1.7726426124572754,-0.20818573236465454,-0.21096673607826233,-0.3769390881061554,0.6014399528503418,-0.3616543710231781,-0.6627985835075378,-0.8052412867546082,-0.5031087398529053,-0.4563288390636444,-0.052924081683158875,0.014774059876799583,-0.5137869119644165,2.6237738132476807,0.9227877259254456"
13,"-1.0181918144226074,-0.7228918671607971,1.381431221961975,0.20495858788490295,-0.3897734582424164,0.919125497341156,2.01973557472229,0.12492606043815613,1.7571576833724976,-0.6248598694801331,0.4367116689682007,0.24196428060531616,-1.5669227838516235,1.4106063842773438,0.03298286721110344,-0.42390137910842896,-0.385732501745224,-1.8853703737258911,0.23659145832061768,0.46552029252052307,-1.2532587051391602,-0.6918863654136658,0.2237161099910736,0.08479051291942596,-0.19271250069141388,-1.7099531888961792,-1.2995911836624146,0.7716498374938965,0.9251898527145386,0.9279889464378357"
14,"-0.4543054699897766,0.3082531690597534,0.7104238271713257,-0.6882835030555725,-0.4751836657524109,-0.12319488823413849,0.9115851521492004,0.05644940584897995,-0.19877685606479645,-0.6228786110877991,1.241978406906128,1.631729006767273,-1.0698961019515991,0.9017940163612366,0.0794842541217804,1.6759518384933472,1.3858519792556763,-1.2572885751724243,-0.8801112174987793,0.5872815847396851,-1.8556358814239502,-0.5813327431678772,-0.6807771921157837,-0.8803796172142029,-1.0873980522155762,0.5739569067955017,-1.7943484783172607,-0.002697167918086052,1.8030983209609985,0.784650981426239"
15,"-0.5900557041168213,0.26061761379241943,-0.33944088220596313,2.212956666946411,-0.5927788615226746,1.133458137512207,-0.05756617337465286,0.012775054201483727,0.07872670143842697,1.2614291906356812,0.4149577021598816,1.051769495010376,-1.2553659677505493,0.6182235479354858,0.04490349441766739,1.1284383535385132,0.5181013941764832,0.5393096208572388,-1.116259217262268,0.11246728152036667,-2.321392059326172,-1.0538955926895142,-1.4279119968414307,-0.6770387291908264,0.07186036556959152,-0.21264857053756714,-1.2188122272491455,0.08371066302061081,2.0002706050872803,-0.6808096170425415"
16,"0.20144516229629517,-0.6270350813865662,-0.23058877885341644,0.7876855134963989,-0.8556184768676758,1.4046247005462646,1.9696582555770874,-1.9467569589614868,-1.0480735301971436,-0.5836848020553589,-0.11836022138595581,-0.3094785809516907,-1.6224325895309448,1.1506577730178833,0.7865132093429565,0.841035008430481,-0.1744115650653839,0.7030717134475708,0.21163129806518555,-0.08313485980033875,-2.548121452331543,-0.3456501364707947,-0.04624614119529724,-0.1134805977344513,0.8130807876586914,-0.9397035837173462,0.023796923458576202,1.0066791772842407,1.3423328399658203,0.35056591033935547"
17,"0.8180445432662964,-0.34818822145462036,-0.25895676016807556,0.6199809312820435,0.8099852800369263,0.8672963380813599,0.9932738542556763,-1.9037742614746094,0.39426833391189575,-0.3973204791545868,-0.9360957145690918,0.6081094741821289,-2.003863573074341,1.2866716384887695,-0.16530586779117584,1.0099303722381592,-0.4620884358882904,0.3273673355579376,0.15389171242713928,-0.43524977564811707,-2.9818127155303955,-0.4092114567756653,-0.4236821234226227,0.1678905040025711,1.3973405361175537,0.3674548864364624,-0.6805709600448608,0.5396724939346313,1.3202264308929443,-0.2752833366394043"
18,"-0.07370082288980484,-0.2679823637008667,-0.26708173751831055,1.4560507535934448,-0.5975937843322754,-0.35403165221214294,1.5545547008514404,-1.0458534955978394,-1.4895566701889038,0.15485423803329468,-0.07392452657222748,0.38835638761520386,-2.345304250717163,0.8392622470855713,1.4484448432922363,0.5667825937271118,1.0964282751083374,-1.0282293558120728,-0.011160535737872124,0.7802287936210632,-2.1768157482147217,0.42571985721588135,1.029916763305664,1.3146830797195435,0.23277902603149414,-0.8610475063323975,-1.0808043479919434,-0.07186084240674973,0.048709411174058914,0.4081772267818451"
19,"0.28533998131752014,-0.7775233387947083,-0.585127055644989,2.186570644378662,0.6152671575546265,-0.3415091633796692,0.871230959892273,-2.6889679431915283,0.19933128356933594,-0.05678715929389,-1.3388479948043823,0.09362861514091492,-1.6621917486190796,0.27952682971954346,0.6930379271507263,1.8082820177078247,0.8320849537849426,-0.021585140377283096,0.5250126123428345,-0.03318530693650246,-1.9827333688735962,1.0770014524459839,0.26034969091415405,-0.27040985226631165,-0.30241966247558594,0.0010481290519237518,0.09744109213352203,0.4046158492565155,0.5440796613693237,-0.7125604152679443"
20,"0.19318851828575134,-1.7154662609100342,0.9922934770584106,0.3296527862548828,0.07264402508735657,0.5411990284919739,0.733491837978363,-1.0667362213134766,1.7072645425796509,0.19594945013523102,0.599032998085022,0.5542337894439697,-0.5437146425247192,1.716907024383545,1.9790021181106567,-1.7792762517929077,0.17966334521770477,-0.3998170793056488,-0.8107748627662659,1.1340516805648804,-1.077530026435852,-0.5415242910385132,-0.7597085237503052,-0.4471237361431122,-0.37668395042419434,0.033574920147657394,-1.7972720861434937,0.5629661083221436,0.877164363861084,-1.0866507291793823"
21,"-0.6601974368095398,-0.592033326625824,0.5197950601577759,-0.1020951047539711,0.10111701488494873,0.4162718653678894,1.2696583271026611,-0.5299379229545593,-1.6754759550094604,0.1820574849843979,0.41780197620391846,0.5332958698272705,-1.9013667106628418,1.4091289043426514,0.34421592950820923,0.3466251492500305,0.8355129361152649,-0.5545674562454224,0.34290140867233276,0.940200924873352,-2.2778713703155518,-1.6743687391281128,0.1884068101644516,0.4519892930984497,0.02936745434999466,-1.0326387882232666,-0.3708952069282532,-0.08612476289272308,2.392308235168457,0.7369189262390137"
22,"-0.17995738983154297,0.220966637134552,-0.3494066894054413,1.0699546337127686,0.755308210849762,0.021395407617092133,2.4683969020843506,-0.6527822017669678,-0.2363675832748413,-1.223012924194336,0.9085215926170349,1.3469815254211426,-1.7570148706436157,1.6847965717315674,0.7909416556358337,-0.6448572874069214,0.34080570936203003,-0.11834116280078888,-0.7902845740318298,1.5752313137054443,-1.2347137928009033,-0.6254056692123413,-0.3458860516548157,0.21551910042762756,-1.3521543741226196,-0.8559226393699646,-1.2231518030166626,-0.16897960007190704,0.8634729385375977,-0.5040533542633057"
23,"-0.09851016849279404,-0.4086196720600128,0.9840167760848999,1.729422926902771,0.4032720923423767,0.07359615713357925,1.1315282583236694,0.18569797277450562,-1.2958292961120605,0.34489625692367554,-1.454721212387085,1.0411919355392456,-1.2201564311981201,1.6059926748275757,1.3068873882293701,-0.7309964895248413,0.8977816104888916,-1.4169126749038696,0.7410966753959656,-0.1894771158695221,-1.1278164386749268,-2.0391316413879395,0.4666766822338104,0.3507312536239624,-0.9318270087242126,-0.395296573638916,-0.7192662358283997,-0.4382743835449219,1.4516552686691284,-0.2476089596748352"
24,"-0.8391607999801636,-1.5383732318878174,0.20390523970127106,0.17406751215457916,1.2044126987457275,0.043656524270772934,0.5855324864387512,0.046342357993125916,-0.16014032065868378,-1.264747977256775,-0.558681309223175,-0.793660044670105,-1.8123648166656494,2.8171792030334473,0.5325601100921631,0.1536462903022766,0.4831257164478302,0.3765980899333954,0.35841214656829834,-0.21373410522937775,-0.4254176914691925,-1.7531920671463013,1.138135313987732,0.5184054970741272,0.5643916726112366,-0.8927589058876038,-1.2635353803634644,-0.05116470903158188,0.9823905825614929,1.3841700553894043"
25,"0.4129796326160431,-0.27048924565315247,-0.5402011275291443,0.20055028796195984,0.3199140727519989,0.41048866510391235,2.009904623031616,-1.5480767488479614,0.928048312664032,-0.06078169122338295,0.0396343357861042,1.6947706937789917,-2.489767074584961,-0.6253150105476379,1.3742552995681763,1.0892019271850586,-0.42991703748703003,-1.0939377546310425,-0.12168368697166443,1.0575885772705078,-1.5779094696044922,-0.9316996335983276,-0.3336408734321594,0.636066198348999,0.7828858494758606,-0.6236909627914429,-0.8545098900794983,-0.6586799025535583,0.7320544123649597,0.4719572365283966"
26,"-0.3202665448188782,0.5008624792098999,-1.0251617431640625,0.8761978149414062,0.018075108528137207,0.6393592357635498,1.4605445861816406,-1.610663890838623,-0.053279582411050797,1.2139348983764648,-0.46115025877952576,1.1555595397949219,-2.1934216022491455,1.4891160726547241,0.23317736387252808,-0.9315463304519653,0.18670654296875,0.1463186889886856,0.133241206407547,1.2323395013809204,-1.936607837677002,-0.848940372467041,0.40584230422973633,1.5030120611190796,-0.1796017587184906,-1.4828542470932007,-0.21224664151668549,-0.03747139498591423,0.7371566295623779,-0.6382322311401367"
27,"-1.687705159187317,1.018516182899475,0.08632365614175797,0.20241959393024445,-0.2902478873729706,-0.1951698511838913,0.7444903254508972,-1.6233271360397339,-0.8818463087081909,0.15037326514720917,0.017199769616127014,-0.0963338315486908,-0.6981368660926819,0.5229237079620361,1.227236270904541,1.8792468309402466,-0.7371628880500793,1.2481955289840698,0.6325026154518127,0.15037530660629272,-1.9461215734481812,-0.36167314648628235,0.8784672617912292,0.5006600022315979,-0.44918012619018555,-1.730197787284851,-1.059343934059143,0.4423869252204895,2.041381597518921,0.01374807208776474"
28,"-0.7635707259178162,-0.7882416844367981,0.3854738175868988,-0.30132344365119934,-0.39228957891464233,0.8333863615989685,0.9117082357406616,-1.2412934303283691,-1.76533043384552,-0.3566990792751312,-1.062369465827942,0.42948034405708313,-1.6304243803024292,1.109538197517395,0.5854713916778564,0.45672398805618286,2.151343822479248,1.1056771278381348,1.2360981702804565,0.9579488039016724,-0.7058670520782471,-1.1554744243621826,0.021769072860479355,-0.4289734661579132,-0.07460012286901474,-0.981268048286438,-0.08269200474023819,0.16691003739833832,2.115966796875,-0.737078845500946"
29,"-1.8695379495620728,-0.07103633880615234,0.4639870822429657,1.219071626663208,-1.1783289909362793,-1.8741135597229004,0.6247866749763489,-0.25049373507499695,0.2815408408641815,-1.7733097076416016,0.38094159960746765,-0.3433986008167267,0.5769367814064026,0.5601223111152649,-0.08472982048988342,0.22629649937152863,0.8410825729370117,-0.851813018321991,0.7066600322723389,0.5455853939056396,-0.26346471905708313,-1.5171513557434082,-0.0870857983827591,0.14337944984436035,0.8628209233283997,0.05638566240668297,-0.012311916798353195,1.8754630088806152,2.141991376876831,-1.3302756547927856"
30,"-0.722410261631012,-0.5653722286224365,-0.940565288066864,0.5945447683334351,0.5097048282623291,0.3097487688064575,2.146636724472046,-2.2772576808929443,0.8397548198699951,-0.04159027338027954,-0.5011720061302185,0.3404611349105835,-0.22182677686214447,1.4721825122833252,0.06307429820299149,-0.35210859775543213,-0.03456411510705948,-0.22755581140518188,0.60821533203125,0.6456113457679749,-2.5331830978393555,-0.2792172133922577,0.8016864061355591,-0.49817854166030884,0.11648917198181152,-1.4481667280197144,-0.2604168653488159,-0.2852262258529663,1.6055289506912231,1.13517165184021"
31,"-1.357999563217163,-0.10629674792289734,0.40455687046051025,1.6462664604187012,0.3865129053592682,1.4820802211761475,1.1127480268478394,-1.3275266885757446,-0.8157414793968201,0.07817337661981583,0.0681409239768982,-0.6258459091186523,-2.238527297973633,1.726879358291626,0.016070347279310226,-0.09960952401161194,-0.46790286898612976,-1.0253212451934814,-0.6779083609580994,0.5611525177955627,-1.471341848373413,-0.3055051863193512,1.5063754320144653,-0.14099444448947906,-0.7870576977729797,0.3312392830848694,-0.8018612265586853,1.1134876012802124,0.9210057258605957,0.8947503566741943"
32,"-0.3545677661895752,0.17096742987632751,-2.40299391746521,0.11274688690900803,-0.2814517617225647,0.06639297306537628,1.6502951383590698,-0.10203339159488678,0.5293838977813721,-0.4690546691417694,1.3616867065429688,-1.310246467590332,-1.1349420547485352,1.1880017518997192,0.681681752204895,-0.3235507011413574,0.13969069719314575,-0.07097872346639633,0.2310008704662323,1.511749029159546,-1.6622763872146606,-0.8698797225952148,0.48843973875045776,1.1129909753799438,0.9591912627220154,-2.2263247966766357,-0.2050372064113617,0.6712454557418823,0.3826000392436981,0.15527376532554626"
33,"-1.1283103227615356,-0.778958261013031,0.8320301175117493,0.09124892950057983,0.8768192529678345,0.38187146186828613,1.3541460037231445,-0.6749756336212158,-0.36498987674713135,-0.1868349313735962,-0.012030106037855148,0.6143575310707092,0.05556308850646019,1.1855578422546387,-0.70374596118927,-1.9450693130493164,0.9067524671554565,-0.888257622718811,0.06346972286701202,1.1499449014663696,-1.6361644268035889,-0.8207446336746216,1.7040467262268066,0.17640511691570282,-0.7429720759391785,-0.5958792567253113,-1.3974039554595947,-0.4238927662372589,2.3175551891326904,0.5904611945152283"
34,"-0.29755568504333496,1.262441873550415,-0.14721904695034027,0.5664922595024109,-1.5752688646316528,-0.29223600029945374,0.9628481864929199,-2.017608404159546,-0.6738899946212769,1.0783735513687134,0.0009305393323302269,-0.09889266639947891,-0.5736566185951233,0.5278029441833496,0.9414651989936829,-0.5932219624519348,0.552747368812561,0.8690138459205627,0.6476008296012878,1.5418058633804321,-2.4600789546966553,-0.16516980528831482,-1.8985133171081543,0.7716404795646667,0.32760828733444214,-1.1958341598510742,0.6112460494041443,0.3173384666442871,0.8787693381309509,0.13102108240127563"
35,"-1.2736402750015259,0.9792652130126953,0.3704882562160492,0.5055429935455322,1.3538938760757446,-0.3242253065109253,0.5213164687156677,-0.690966010093689,0.12725311517715454,-1.429572343826294,-1.4626537561416626,0.7128095030784607,-1.7242722511291504,-0.04226381331682205,1.3499910831451416,-0.1448306292295456,1.3256494998931885,0.3834201991558075,0.2855813503265381,2.0869500637054443,-1.9058470726013184,-1.7843297719955444,0.07909857481718063,0.6591213345527649,0.7953875064849854,-0.6925883889198303,-0.052371203899383545,0.2482922077178955,-0.07817055284976959,-0.1783296763896942"
36,"0.22274386882781982,0.4992409348487854,-0.5622795224189758,-0.14065568149089813,-0.21298041939735413,-0.20782139897346497,1.3649736642837524,-2.23826003074646,-0.5663105249404907,0.7980427145957947,0.5207059383392334,0.656107485294342,-1.0233491659164429,-0.14136552810668945,1.4323338270187378,0.5707951784133911,0.5726480484008789,-0.519275963306427,0.003405420109629631,-0.1922115534543991,-2.7465853691101074,-0.18225319683551788,-0.009897356852889061,1.1278753280639648,-0.24403679370880127,-0.36031076312065125,-0.8283538818359375,-1.0249905586242676,1.7266861200332642,1.7053792476654053"
37,"0.16633450984954834,-0.7546871900558472,-0.5823023319244385,0.4153105318546295,0.5383309125900269,1.6895078420639038,1.4478200674057007,0.05468333512544632,0.4714928865432739,-1.6866085529327393,-0.5063821077346802,0.08029796928167343,-2.0399696826934814,0.702934980392456,0.33804404735565186,-0.681255578994751,-0.4467332661151886,0.5876952409744263,-0.03751252591609955,0.8451128602027893,-1.1457850933074951,-1.9011425971984863,0.5798882842063904,0.12931767106056213,-1.2163816690444946,-0.29996001720428467,-0.27691489458084106,0.9464113116264343,2.4458909034729004,0.13656270503997803"
38,"-0.4604642391204834,-0.002098962664604187,-0.3044958710670471,1.4942072629928589,0.16862355172634125,1.249161958694458,1.0281440019607544,-0.6758562326431274,0.019151657819747925,0.13922353088855743,0.23092782497406006,1.7622466087341309,-0.8151355981826782,0.6166239976882935,0.712059497833252,-0.5564953088760376,-0.1310921609401703,0.4262236952781677,-0.664130687713623,0.6442917585372925,-2.4775073528289795,-1.0373831987380981,-0.6072652339935303,0.8278418779373169,-0.11136999726295471,-0.30093443393707275,-1.5888376235961914,-1.4852842092514038,2.245676040649414,-0.34605181217193604"
39,"-1.109930157661438,-1.0862597227096558,-0.4748522937297821,0.6942691206932068,0.7928404211997986,0.5668866634368896,1.1738629341125488,-2.3340864181518555,-0.3660857081413269,-1.0389689207077026,-0.4444328248500824,0.4368917644023895,-1.1130684614181519,0.7980421185493469,2.380976915359497,0.088541179895401,-1.6341876983642578,-0.33126747608184814,-0.5534158945083618,0.802382230758667,0.5061031579971313,-1.3694099187850952,1.0727503299713135,0.5921840071678162,-0.20821690559387207,-0.5014899373054504,0.33524948358535767,1.155133843421936,0.8685302138328552,0.3010292947292328"
40,"-0.1945866197347641,-0.7616158723831177,-0.6809505224227905,0.907918393611908,-0.14890515804290771,0.4795513451099396,2.1730988025665283,-0.9540221095085144,-1.269091010093689,-0.1996695101261139,-0.7140858769416809,-1.4649474620819092,-0.30401816964149475,2.2326812744140625,0.8409156799316406,-0.3626503050327301,0.5981807708740234,-0.07350483536720276,1.315743327140808,1.1825746297836304,-1.5196973085403442,-1.3038082122802734,0.8075857162475586,0.5683437585830688,-0.7953256964683533,-0.926485002040863,-0.8942499756813049,0.9067794680595398,-0.07131166756153107,0.6255525946617126"
41,"-1.150558590888977,0.30458369851112366,0.06486014276742935,0.1595572829246521,-0.15172752737998962,0.021217893809080124,1.9556567668914795,-1.1162121295928955,-0.20701350271701813,-0.6960906982421875,-1.6089587211608887,-0.937637984752655,-1.2083109617233276,1.9206825494766235,0.7583708763122559,-0.6136404871940613,0.510419487953186,-0.2692689895629883,0.007834438234567642,-0.19720681011676788,-0.6152231097221375,-0.17166228592395782,2.2921900749206543,0.7464343309402466,-1.2224992513656616,-0.6314990520477295,-0.7994365096092224,1.9401638507843018,0.28863945603370667,0.6263357400894165"
42,"-1.2612278461456299,0.33800509572029114,-0.1887587010860443,0.39055562019348145,-0.6712239980697632,0.2709365487098694,1.4524762630462646,-1.4882032871246338,-0.901932954788208,-0.5116974711418152,0.07888423651456833,-0.7245461344718933,-1.2664928436279297,2.131037950515747,0.7517328858375549,-1.2804570198059082,0.7536899447441101,-0.20661790668964386,0.8074084520339966,0.5532278418540955,-1.694457769393921,-1.3099708557128906,1.1162911653518677,1.4821209907531738,-0.6499457359313965,-0.23551446199417114,-0.4397871494293213,0.9792071580886841,1.403273105621338,0.32198643684387207"
43,"-0.42844894528388977,-0.3459550142288208,-1.1396458148956299,0.08700503408908844,-0.3050718307495117,0.619542121887207,1.9102622270584106,-0.33347636461257935,-1.3634259700775146,-0.18414843082427979,-2.375232219696045,-0.5373294353485107,-1.04218590259552,1.2321081161499023,0.28805962204933167,-0.7833052277565002,-0.1973930150270462,0.48087984323501587,0.8705765604972839,0.04890818893909454,-0.9059412479400635,-0.9679462909698486,1.1839021444320679,1.9714558124542236,0.12341974675655365,-0.81171715259552,-0.2548449635505676,0.5852588415145874,1.8147287368774414,0.7599611282348633"
44,"-0.21796837449073792,-0.21981900930404663,-1.0057848691940308,0.8243489265441895,-0.4137909710407257,0.14257332682609558,1.660623550415039,-1.1685545444488525,-0.5854312181472778,-0.280561625957489,-0.9866091012954712,-0.608052134513855,-1.4742794036865234,1.3957653045654297,0.33397266268730164,-1.5496350526809692,0.8998009562492371,0.1250036656856537,-0.2162685990333557,0.8641513586044312,-2.58156681060791,0.5673860311508179,0.6080344319343567,1.52907133102417,0.33576899766921997,-0.38809308409690857,-0.26431044936180115,0.48289796710014343,1.8762115240097046,0.31511518359184265"
45,"-0.08166620135307312,-0.47247278690338135,-0.6844174265861511,0.8500195145606995,-0.29317349195480347,0.6874058246612549,2.598245620727539,-1.0121183395385742,-0.7694541811943054,-0.3693249225616455,-1.856662631034851,-0.4450541138648987,-1.7643860578536987,1.3919812440872192,-0.2545207142829895,-0.4377392530441284,0.23347677290439606,0.07077656686306,0.8936963677406311,0.2674269676208496,-1.4101982116699219,-0.963822066783905,0.49827802181243896,1.7731635570526123,-0.06370857357978821,-0.6699102520942688,-0.3816183805465698,0.8983039855957031,1.306325912475586,0.46114689111709595"
46,"-0.05034283176064491,-0.6101219654083252,-0.4160025417804718,1.192873477935791,-0.10760132968425751,0.8774890899658203,1.674351453781128,-1.7268420457839966,-1.0393776893615723,-0.4519152045249939,-1.578660488128662,-0.799255907535553,-1.0781521797180176,0.7369481921195984,1.0050069093704224,1.0842230319976807,0.6197576522827148,-0.5732381939888,0.6625662446022034,1.1458779573440552,-2.2115519046783447,-1.5934354066848755,-0.05444055795669556,0.3836591839790344,0.40792813897132874,-0.4442353844642639,0.3264061212539673,0.5029189586639404,0.783462643623352,1.3317053318023682"
47,"-0.39469215273857117,-0.5810802578926086,0.19217365980148315,0.2272643744945526,0.10026851296424866,1.1377559900283813,1.73497474193573,-2.5074851512908936,-1.1539138555526733,-0.5556464195251465,-1.4413467645645142,-0.979393482208252,-0.34210580587387085,0.5437062382698059,0.11559915542602539,0.24504414200782776,1.654897928237915,-0.2830807864665985,0.7318546772003174,0.1105201244354248,-1.7554421424865723,-0.6228971481323242,0.09927719086408615,1.066263198852539,-0.34467124938964844,0.389195054769516,-0.5351561903953552,-0.04121150076389313,1.7069748640060425,1.482353925704956"
48,"-0.9550716280937195,-0.6990312933921814,0.3143276274204254,0.8813968896865845,-0.057311490178108215,-0.4710358679294586,1.1692836284637451,-1.3124431371688843,-1.4516282081604004,-0.3451944589614868,-2.5257866382598877,-1.1225541830062866,-0.053932368755340576,1.2124329805374146,1.0003560781478882,-0.2982144355773926,1.165073037147522,-0.32763537764549255,0.04086824133992195,-0.23701481521129608,-1.102769374847412,0.3381582796573639,0.09521757811307907,0.8235909342765808,0.04999575391411781,0.43476808071136475,-0.9871871471405029,1.6228694915771484,2.0008208751678467,0.7976517081260681"
