,item_embed
0,"0.289580242614879,0.3595910375710523,0.31542442780154145,0.216651605980709,0.3718117819006544,0.4426505587463437,0.4945577756807414,0.233517060616611,0.3698200828387331,0.3611817680525226,0.4043979573517338,0.22059100429969528,0.43698772128482805,0.34060908197387385,0.27478597904677327,0.28623743595165646,0.4955928460059859,0.4826560678612992,0.3897754829550863,0.49415968240016533,0.3222578866323098,0.45617212348255215,0.3005290954381958,0.31391588778635915,0.3901881953269433,0.44295611030842375,0.49215263424070893,0.551744999151295,0.46095810081025257,0.49134399610570845"
1,"0.13233581312575693,0.1535047750020215,0.26521731155940836,0.202444073213772,0.17529820918642333,0.18347306379665151,0.31746833924228596,0.2853672073052491,0.24670251208984248,0.2165776350380624,0.22879069779439948,0.37396797614165955,0.2172134767196541,0.26115955247854705,0.29300626630008586,0.2367424998273968,0.12737678981666553,0.2823349629769845,0.3461517773906604,0.39755144380714513,0.22208670995324561,0.27248152715512547,0.2634940647650997,0.32005815317992947,0.2875644630530086,0.27205267488034124,0.2591233580335611,0.2956584758970546,0.24125409303980713,0.24353579303379266"
2,"0.18612768743763844,0.14604777883042921,0.058053475864787166,0.25827436739593923,0.3987832845118988,0.24083038692290443,0.34033281536975946,0.09536409639033751,0.19590272505268025,0.3741658458289473,0.4087088631470122,0.3065472161962968,0.2463632541172097,0.47200904928314236,0.3166596547551827,0.3122255039340003,0.3985580108348901,0.3120141872030414,0.4631848516817072,0.277928548174121,0.18297059021031867,0.34461152285496505,0.15830882684491973,0.3408831676009549,0.20479831673112017,0.34501010848227825,0.2052141769883709,0.32995244072938507,0.36546201032144515,0.11823278244579173"
3,"0.36590365126002267,0.2938959548044112,0.166522511222824,0.3466309945504087,0.21581428116633689,0.4469743064658619,0.33405438506414303,0.19151749948516175,0.401511470947653,0.41256825415665044,0.14910785564119985,0.24964311359654826,0.14961785609576045,0.33719604215219484,0.16856725915223025,0.3140204594668695,0.47117651178714554,0.3756465618868967,0.3308051675108868,0.14441850949322366,0.40782465543577384,0.3460025134551428,0.4895191389056532,0.2850548019609325,0.31091764466022104,0.31400461459624224,0.2945407563945083,0.08421147667936366,0.3165184684662547,0.22294448223629168"
4,"0.5514657662815764,0.38066996851332874,0.5891988039713665,0.604105615543388,0.1505096309011361,0.44488560742853006,0.4604796175449724,0.4184412005650494,0.1226012082137942,0.3889285621330851,0.2884548104926073,0.3804766470168917,0.3921411079599926,0.4091812227612449,0.4453911907835618,0.4902285963544681,0.21781450464764096,0.5398386166580692,0.06370590455688972,0.08782198668993542,0.45940817440639303,0.47237960804578044,0.4701548056274457,0.2567349581241551,0.291201737340137,0.3047044151353847,0.37733677671976135,0.35089675283219035,0.6116412977359681,0.3555284346303929"
5,"0.188094519157732,0.15650438256840676,0.1187717275064242,0.1650948867698601,0.14175957084273194,0.22476382169465187,0.17144855818138457,0.17587962078344954,0.33906910589327566,0.049717958347928436,-0.048142873376830354,0.027574801151919407,0.1908889039507388,0.1336663179288056,0.35153504470033653,0.20964253221172838,0.3695094824082662,0.29532715963718914,-0.10467135600386628,0.025135381261260702,0.18960959221068996,-0.04796315733038055,0.3276755070237137,0.21862927758463477,0.21953610646587135,0.06644393478084464,0.09543868412131233,0.24339621630725075,0.28737414849434556,-0.14718975470211634"
6,"0.34180333778462335,0.4250164579692134,0.3015896475034547,0.35139025611386115,0.39878172944350515,0.254788300790931,0.2907907544351911,0.36429990033229537,0.33463194902707083,0.3467711268397152,0.2927736225621271,0.2697243006363457,0.3861129501288349,0.4404390009326064,0.27485420023158447,0.44063649771411,0.13188630662803796,0.36113230005866953,0.391215252463407,0.4618884395872618,0.2733156064847737,0.3392025349752675,0.37451340562256874,0.2864732137451273,0.3145335215609712,0.47932296800551005,0.3354053053514903,0.30134178381989096,0.29235613557215273,0.47026037825100003"
7,"0.3513283859713252,0.30638890314982314,0.27599045586208015,0.1857450842397968,0.3336047418562565,0.20805239734713363,0.29895183059613334,0.25910926149254954,0.5048127578287271,0.49695202374971664,0.4000592626253108,0.37003362041158805,0.3897997057211805,0.2834287115127502,0.1419370998018175,0.40868954293428,0.24158446595421312,0.4020434097054584,0.4772044656884377,0.16864175673119178,0.39837559292524705,0.45673037456662435,0.40398252740995283,0.45851293842160873,0.4593319277060914,0.2972613943230224,0.2029263648611814,0.40890159780556085,0.4358822124862992,0.508946014925977"
8,"0.22226239563678518,0.19361665951111273,0.35847801961472847,0.372003611112672,0.31188778685776464,0.37793497463685827,0.380772664409562,0.2814688858179496,0.30947329524356293,0.5384731371959948,0.33010288841673197,0.3160066801923637,0.34349071417982896,0.29744921021719045,0.3138954881180844,0.3274295396956174,0.10584433184415107,0.4154751781153156,0.21013152766613466,0.5185306160561999,0.34801747810308015,0.3181839605928332,0.4987247403361172,0.43026456745539493,0.375820959833814,0.6208722372981792,0.40566945256131604,0.5392068824127318,0.20468878013023661,0.21419559533748292"
9,"0.2748320239541737,0.23138754473972653,0.4865537305904628,0.41932191422365844,0.3312890025898527,0.5178344784543144,0.2522514193175556,0.3031148604660145,0.18934498532045732,0.291347694405811,0.11387353832690747,0.1546644881850686,0.07724136870628842,0.2630362787020778,0.3915480920176142,0.4699997304003899,0.5747745466199958,0.22999268926699507,0.232851546121037,0.5158303555271851,0.30669236264382427,0.4311109551933447,0.5385789943166858,0.22164445422579032,0.1924872832343757,0.38605754620411836,0.5831725839497325,0.2997922229540038,0.49406281661984824,0.32986660356928443"
10,"0.2810206020797678,0.5080864214368428,0.22306415321780773,0.2866248234342494,0.545611694098957,0.2693686957535028,0.2567116026865156,0.5624698813571446,0.33740470323842525,0.3096400130064962,0.5571089063566922,0.1657138022506599,0.19025041990265656,0.4732385466339352,0.14389105381322376,0.43697968062860765,0.3503046776779872,0.10466590078237453,0.3975014209017978,0.28702322455646473,0.2670008208144863,0.3150467443089254,0.46576574050879177,0.23540711830087324,0.43412919127776656,0.21489632650309434,0.2702941159421071,0.3107222547202878,0.3365530727151699,0.4561557463241678"
11,"0.4438200814980018,0.43996134312989155,0.5372496413872988,0.32258337391376546,0.4308693046892497,0.4402785690259281,0.4663278265210831,0.27880162562449906,0.34720172043098246,0.3389285523425281,0.35636778219177984,0.4635082820325587,0.31568622527901713,0.3147436394784909,0.2627348620146516,0.424041960028729,0.35974934562658506,0.4362123564819446,0.5146950215628444,0.4462433168829344,0.3436439702803096,0.41742780881670466,0.25015876357174677,0.27897898487591316,0.43271458795401524,0.43294237186980233,0.5873110602527976,0.5097357891948229,0.40418137908333046,0.4720758077620259"
12,"0.0706796507875351,0.38792961781907065,0.409840579187845,0.28913547159179587,0.08122581619712321,0.40193051857969836,0.41201627870689345,-0.033468933802762176,0.5088283795382514,0.05801386647012939,0.21159128436769942,0.42557755416884097,0.2096598972640743,0.3429625547312305,0.18189399504781,0.28036857856325653,0.27786659701941924,0.5531827944782973,0.1411555605162067,0.35159566164333644,0.3330013485945021,0.3304350647993733,0.4564023571341829,0.1646009732953866,0.4268601770955132,0.3254654145963185,0.2988141393856177,0.05293759934497785,0.27272325034601197,0.388053321938892"
13,"0.4095212559934667,0.4971628516046479,0.44284014582301096,0.19909869681927286,0.3277401449188788,0.07597238435378258,0.26826661107198807,0.37826925027846364,0.30543323348061013,0.30886560161907256,0.6429389126361256,0.3672332351371373,0.46025707044765674,0.7279194567095773,0.38924144028647617,0.6046800678323064,0.30922782099098267,0.20090875885017448,0.1755498221183873,0.46764989868834633,0.5403163756121332,0.4499595175578026,0.4142050158904909,0.55323498803671,0.29802733229898165,0.27675165979622673,0.42009387835914724,0.18215630534528318,0.506673794098109,0.3125431364034987"
14,"0.24524257816531084,0.37107655008186063,0.37530821485652005,0.3904270408274037,0.3131423520909515,0.4345195155641603,0.22157127394949744,0.21809044967552904,0.32755734027962374,0.28708875545518975,0.5678121950541042,0.41759084395413265,0.34012300862948924,0.44715929405797433,0.4909689657891056,0.22127279233276728,0.27539309429606695,0.2847649275297489,0.4101933805263435,0.15350796202009226,0.3334498494475819,0.15415151886436773,0.3912043257421567,0.5053300023109499,0.298012300488958,0.40892448510062135,0.4055357174352606,0.33643581376037784,0.3709803660930871,0.22370934859551575"
15,"0.4003699348642349,0.5152429696882836,0.5333792193230925,0.27932951878735085,0.15837295401818619,0.521114917139159,0.05230069859446281,0.5969649380863999,0.4249131161405108,0.5780817931303464,0.30135030001642066,0.44838234249976544,0.4054978144098404,0.5702163872048269,0.4759931442566911,0.3208648338574733,0.5202552520588379,0.3041004639529073,0.2867758891967007,0.4073577151991071,0.22394180116893764,0.222777975073734,0.0395597636805238,0.2553386294818605,0.6657147024247084,0.5172189263525875,0.6418848967547057,0.15095933022537467,0.4220708697294464,0.25330339856608514"
16,"0.3885808760478434,0.36373796446807666,0.3238455438927586,0.3714860742506989,0.30065012331107793,0.5680661518933526,0.34121181116554994,0.17581826040965962,0.42482426981442933,0.3702227758203247,0.20650209370670644,0.3774303756443069,0.18141655446166427,0.2754841747960176,0.2638985662554993,0.48686579287331366,0.5612444005401058,0.3740138571530115,0.5241995024738165,0.24392573152870015,0.4906452234324651,0.36980932324721466,0.5859441891201245,0.43027762356561877,0.3519619826670097,0.4883965402544322,0.45958863093573765,0.11326244266742802,0.45240719017820974,0.36793840841112635"
17,"0.2614451677856277,0.3180219978780698,0.1094637079118616,0.29511999487577034,0.3782845711305139,0.4504875382356286,0.2512269907065415,0.3220572338510316,0.3573272225410483,0.39573343867909644,0.6035921597971439,0.6855265441008584,0.4042441231993207,0.2550100412206329,0.37601532805767995,0.37163608227454487,0.2949314602651277,0.4247703312248726,0.53432070003269,0.31795663746780417,0.41052533202288766,0.2860087040614719,0.6291148423250401,0.3126040803507276,0.08184040604888373,0.3957034690193145,0.30279044169245045,0.2177665781923336,0.13152317706344177,0.3033364877884937"
18,"0.3459234246439165,0.3023457835953614,0.2838042525654426,0.15585664542564714,0.1724519770025202,0.06064740442258271,0.20772126526373919,0.20806205344493786,0.1951006704581472,0.13211415267641247,0.35505601805222475,0.29401061788337507,0.2567113443877103,0.4595490707021095,0.20831509143140278,0.27468627815868546,0.1364714340590806,0.1678840360059634,0.1958041142395017,0.26634526074098736,0.3901019274286676,0.25668916090584726,0.29450942728438007,0.25493532144580927,0.26328183023475155,0.1648138413958988,0.21086370868367232,0.0792632405855286,0.2418911492763495,0.16730934019019808"
19,"0.2505473159252988,0.21472984307102302,0.1780253660635086,0.25329237369087293,0.26917753335352795,0.3803245704318062,0.3164475919750377,0.3927812804805106,0.4409652681803943,0.4225317272936353,0.5505506173194635,0.6737654373043287,0.44533639379230966,0.15144506882355674,0.48688864240050944,0.4294296846788224,0.38356213252159366,0.37782822011633765,0.4758104948881407,0.332080081604449,0.4157180101233024,0.21872438349705642,0.5946269012942,0.32150152984744196,0.09288967788569424,0.3621067957250434,0.3496979525375603,0.2210973700218537,0.16613692800859853,0.35449838170417686"
20,"0.12864678051152306,0.1952956531885002,0.09976421739006515,0.25566026361727245,0.3503991362062657,0.32722609541339637,0.25891601724033025,0.09285505875208531,0.25325816736487006,0.41155611304147893,0.34555876117111844,0.2664683644382534,0.17283679684955608,0.4664019858129141,0.31985836033411424,0.3332144605082836,0.30241481175901397,0.3219803465509403,0.43157728861987216,0.29028817199616397,0.2386264849457512,0.33499158605978124,0.19104160056383784,0.3115022687458257,0.19943427642730038,0.3606778994849507,0.28488881220026785,0.4846690738430391,0.30515761222015325,0.18753201076944284"
21,"0.16990694694281647,0.26544012211077583,0.33412523913219305,0.1375264625799264,0.3120302158347948,0.43475801519451207,0.2579644428271867,0.22589647218002434,0.3111903620877813,0.4067938370201182,0.13806377162276848,0.27997994837108003,0.10546239210568376,0.2214900694108692,0.3086219333121913,0.24905314290146707,0.18074425686544687,0.2442768206728317,0.3045349525324143,0.34529897018268113,0.33810176461266456,0.09620011608331987,0.31111157274733586,0.14022306778681504,0.18957891306247052,0.3442043142665898,0.41510618154428774,0.20124501941704714,0.23678358091650237,0.21147868594749183"
22,"0.26208817556621783,0.39763953367385146,0.46112402614846326,0.2606030002436438,0.45952057649922823,0.4784956051408438,0.39406160811779417,0.39568135849660196,0.33253697656270015,0.4080252005817059,0.18427872852588564,0.2729940832113617,0.2434204831472096,0.3277329438515099,0.2670892227497638,0.41561770241278023,0.0955076798627758,0.3560851601073356,0.5109877182696475,0.5187827479799256,0.3411537980319317,0.21737434130744465,0.39135265499618765,0.1658095462418544,0.3331528011694132,0.4553524618484322,0.45325939356094264,0.2502698862645828,0.2436507181130269,0.436380324607722"
23,"0.22521996117315862,0.3207772309408302,0.5902307541040319,0.17279610364882894,0.3380881981265865,0.4625448601339201,0.37550835071704886,0.580675474450999,0.32766701346294685,0.3572704716132533,0.27836752828545513,0.3317844876362393,0.14549797529061767,0.35336026219352074,0.21112351509037802,0.3773870033448419,0.49178371542089616,0.24330959134127525,0.3582659677573519,0.3442683441046566,0.2536851842628253,0.4472178467098791,0.2754170490000341,0.5215835507836302,0.2005579399376086,0.3558974166859426,0.46562593570586225,0.1609657829849626,0.1495071283969447,0.2841345386600746"
24,"0.15571252636177202,0.3793840295477649,0.2133663568290295,0.20942371747626132,0.3395910401354462,0.16319179770835138,0.12625149841350317,0.37953067978471355,0.24726528116874855,0.19229407145344996,0.4221684878232488,0.15024747725303106,0.1208492904541282,0.33761507320863215,0.2409124866273513,0.3950578750610775,0.2703902985548928,0.10466375437527004,0.3733619419932678,0.23085199019054764,0.29336652853473677,0.257586622720216,0.41016229359827483,0.170154236829767,0.29093216261216615,0.10741060590973973,0.19295898536503536,0.22404176480065582,0.17890391818977036,0.3260566118459195"
