,item_embed
25,"0.24510774889816536,0.4518183599879008,0.32856357736046876,0.1013774135089658,0.16570696351178413,0.5786956626234342,0.22512476086149208,0.15886650592758234,0.3535171896518511,0.3450521484454392,0.3264529340487194,0.45154456045211805,0.07300752144886787,0.371013406672673,0.35607873271759766,0.28172784614967894,0.1637276122928387,0.31953299161997345,0.32303996998003864,0.5118726513880568,0.3547829230046885,0.5044373978080776,0.29724290135131226,0.22258668106663926,0.4438433495293324,0.36012206060385,0.3306290726116402,0.5774767155445296,0.49878442292832853,0.4481023262204464"
26,"0.025807453585766707,0.03609650716578954,0.11894481879292072,0.2899904357195942,0.756283294572358,0.24394614603630005,0.27132400723811056,-0.30173508916524044,0.2681054682792028,0.26597528873715987,0.5179378679521093,0.3635838764225918,0.22763652182722535,0.8000830100779854,0.19309471301963418,0.3999744246902969,0.5379986546891131,0.2645044874780159,0.7346727980377726,0.34628490742847445,-0.05057964376990964,0.4180463263140974,0.17692430187078018,0.16489541045268052,0.04367456221798092,0.44429296260397955,0.2949573508119597,0.6717113333213052,0.23618069855464652,-0.16457365157681367"
27,"0.38049761733400056,0.18787224617951495,0.23996661676835584,0.27407524269585537,0.43599862198030404,0.26400838473753413,0.25769098999343804,0.31331679451191385,0.5078788803699297,0.26939924483059713,0.3786139954050901,0.28986415749868927,0.27363470249067556,0.49318163367756895,0.3729537474934937,0.3518163140111299,0.28091777133602325,0.2879318092378469,0.2963558155177674,0.43619782887699265,0.23008154389613722,0.10329893250795323,0.2935192861569485,0.46641076740838583,0.3204094078748361,0.4787360297918809,0.18664730467171717,0.1872308423746017,0.18103120688773983,0.1663888794285159"
28,"0.186300732367139,0.2656838551638187,0.138014525779512,0.3197848688157551,0.27575426321163676,0.43488996689582216,0.5619471090680054,0.37906680030810885,0.589585092248783,0.49594175074516433,0.2917471696888539,0.4208920423531995,0.4287808858342057,0.3089198811466888,0.44287065580427837,0.5188942419570965,0.3913922200378917,0.46643505561192505,0.29738447708085824,0.4332061686265048,0.16348862941033693,0.31718788840498857,0.24368713033869,0.4637317731718288,0.38407527691921567,0.39400797550767824,0.3820796200480109,0.5525402799570727,0.4222502155703531,0.3637519609489184"
29,"0.17798360756421042,0.1455200962095091,0.3336367233509872,0.2527361161160021,0.27725287436785984,0.3114827246716028,0.2748958189074986,0.2757549917080908,0.26849404346601957,0.22702154904553123,0.07242777621607384,0.30546895121965767,0.34709569455532857,0.2547788359835728,0.39239115906758976,0.24208556385867327,0.3532249602077612,0.39778438712258335,0.2605081459050716,0.13776251411146984,0.20831429613092417,0.09559702020965029,0.4246927614506216,0.3181811711057559,0.303998020351936,0.12855982239913966,0.3240650581770339,0.4059143416366968,0.35922405122704315,0.2286033653609387"
30,"0.014814703098585234,0.02305210565360265,0.1561173060653669,0.0025683487709170813,0.10880099351469116,0.002403164250801215,0.12405223174698086,0.14140662081744887,0.039810442786518865,0.15768828785399888,0.059020133562970915,0.019039759241390418,0.05979998768534186,0.1352657620508033,0.06327444833470677,0.015843374072612073,0.022983831836258333,0.17423548571956204,0.0995253229610535,0.1662821257589906,0.09217433448072689,0.03472513203489535,0.09163348379064688,0.05969068762281365,0.02363046073179881,0.028169122796887856,0.04565551000225193,0.15780928316974308,0.07567030211216491,0.05235092931252619"
31,"0.2616903044458171,0.3045946727788246,0.25248433557896555,0.19395013600140215,0.3133819523872565,0.19475812816728882,0.31778185441174484,0.2501128224019253,0.2359894526049554,0.32050869891079237,0.2207100028222012,0.2581741279234804,0.2542190247136248,0.2265201179153222,0.14608937021627483,0.18821519722878793,0.20340642127552439,0.23445770814845737,0.2235106015456593,0.16376740083262306,0.2721224914549311,0.255315041752794,0.19004236121218343,0.2097811439976451,0.3675391353566009,0.2908225572395918,0.2703043484149182,0.35887525851582847,0.31657276204995377,0.21413647504874483"
32,"0.3440545756855311,0.09446866325169154,0.23305627685749872,0.2201409679713972,0.25022149248490333,0.33391528690763195,0.3756279068377641,0.4919240601507685,0.3978381907312415,0.2640818045118159,0.3177133802680307,0.4248178010607654,0.4785393097010461,0.28128193858606637,0.2471707669963638,0.39620419151809405,0.19655457177500224,0.44032839938895835,0.48349341403932067,0.24807175335358023,0.3384303898050919,0.38068101120228776,0.19849673321989933,0.4727587016884656,0.32995816300703473,0.26601678790485533,0.3415788739493033,0.13334778037195663,0.4336111752837073,0.09807387863529733"
33,"0.5013022390607715,0.45352198531683363,0.4574457708318436,0.31560034551870875,0.12730118960415193,0.5503687403375023,0.3976862423367204,0.4671424465488822,0.23036451513672532,0.05532192785631434,0.34782760280658565,0.48609588268916326,0.6179791572835635,0.4873619941975481,0.44091637181270665,0.4515584460380124,0.4475668609958614,0.30789801812759693,0.3150603905474348,0.17610413757570553,0.5477293235354779,0.11972319488527175,0.3900613787629547,0.40891934390521223,0.2821616850388731,0.1695919051305128,0.4613905421228355,0.5154727834700961,0.5021860175597698,0.43492628889164764"
34,"0.5216607801255706,0.45922128532175743,0.45497627019317005,0.3170388098362129,0.2930078945334652,0.40603188530970175,0.6498498148777866,0.3591369602387398,0.27165366781284667,0.32220346434942415,0.4766625734217599,0.439118895972641,0.1253561507731879,0.369354110605875,0.1920386663465273,0.25545546019701965,0.2913307115695922,0.45244124716920986,0.28640428561910414,0.30215838973691367,0.14139975996624904,0.513791016368943,0.2649914497140565,0.23657835849543637,0.6513678132073195,0.495024537226615,0.5462411753029757,0.6280732095016196,0.5524550455947664,0.45051760353056447"
35,"0.13370839704793944,0.2183984248552279,0.1510680463188186,0.1354491134528751,0.14156528925683406,0.17357299781590133,0.17996273127565876,0.2119539827766898,0.1861533467138033,0.09451604520818417,0.17366343821428876,0.11701251526322844,0.19890869466823197,0.18502320027247496,0.2881068343648475,0.2605243881513098,0.19664331196273663,0.25131052959182587,0.08163825819488987,0.08430272582976472,0.22897034413260633,0.09107129223219894,0.24202196537698797,0.18634272918814676,0.22652169474752074,0.18589484759478825,0.22524794379705865,0.2811471372704456,0.23099527517632062,0.21820017779645412"
36,"0.29174847721013875,0.36839894376117793,0.38177934089496074,0.3117923159137111,0.3868593943966055,0.34970178284156767,0.2828197948402387,0.25300492011146036,0.36432933357861136,0.26601812672805336,0.28517642758061357,0.3886618762699326,0.32588573028914597,0.288653388777217,0.2796000565509731,0.38765172070451015,0.19441379740592438,0.26740851649941727,0.3115630660575612,0.3384609519997438,0.3953909771187541,0.32383461672976754,0.3386672920566075,0.28497652208795843,0.39085271113962017,0.4098242662491337,0.4391859144976886,0.42838422519356645,0.434308508380587,0.31881412549702015"
37,"0.08511302690094531,0.15593838468457927,0.31134935177382894,0.46540197891900453,0.31879536758855126,0.21248603235650748,0.5529637909277676,0.5836491146387299,0.21510226199278437,0.4158146968267771,0.3863718651102586,0.5765090297036543,0.3255118798875874,0.3539962800026194,0.526015911228804,0.3303183579882447,0.12207884998865956,0.2596836969589265,0.5036719621592717,0.7198260001560954,0.21631183952174454,0.4735386681139117,0.23677801559356165,0.5135003909999187,0.36601499716149505,0.556377372930132,0.42026991049535556,0.6336387604816569,0.5866652541410587,0.23299484368112044"
38,"0.3612046489862848,0.3040233615915853,0.25873485119001777,0.4917094085440771,0.4016163725629316,0.31003302191574855,0.17739507031684953,0.5619281859493434,0.5210839580290371,0.3798488138879563,0.24647720263602413,0.4308284335835809,0.5549838593049874,0.45588831431250726,0.46424692242336446,0.5871017655338455,0.32949206366210765,0.15786300983878745,0.3810410559539827,0.3465958573209126,0.7047223859428821,0.2898315756689565,0.3660366158879512,0.4198347929915978,0.18047167474805864,0.2280368047487432,0.3317438883796218,0.22246015049498977,0.4043995167857757,0.29605860752114543"
39,"0.09503974505683585,0.3331146229342382,0.3420084032830401,0.3480480592801658,0.2799338177295421,0.2550479575629455,0.1636160175929959,0.24923454158567845,0.22596865185291146,0.3182581536986918,0.4226085748118653,0.29977320094351645,0.26800383272467193,0.34584923071186485,0.3320354156577143,0.195460791593729,0.15814946475101285,0.14779282421323084,0.366509248304674,0.09191597337217845,0.26921286787025317,0.16841427351027086,0.3028444239311147,0.3064474051226007,0.15996868482737245,0.2872055475653992,0.23069472789940798,0.2559043719132698,0.24999775059605772,0.17218993235440705"
40,"0.15772118760540596,0.17353131542376982,0.38021731907156875,0.20656066620313626,0.2794921969323647,0.35698334236668916,0.19559099792556545,0.4265357997620374,0.2131383896492713,0.2754998265103418,0.27437807078409965,0.2416351530702701,0.13075559841548187,0.2649440320608683,0.19368072007979165,0.2199572618057968,0.3491701752806392,0.23231626875584538,0.22871632399484357,0.2660716190070571,0.28077270483883976,0.3290274892976289,0.16387973015157262,0.33038460525048463,0.2551184438143851,0.30688450748643115,0.41570579462743196,0.22667673509655503,0.11267278685616029,0.1872417357627055"
41,"0.33321148201901096,0.3462603268467639,0.269702872920547,0.19328912068852488,0.17698314758483666,0.3010111441530071,0.4794413718674475,0.15462010550804983,0.35986971152380065,0.37030183203490863,0.3072040531323265,0.43502093091660704,0.2932612114528834,0.22993420894536318,0.5222410247286303,0.32802945921516297,0.22681055052776342,0.4320570041257717,0.38147875346766863,0.46672537807211634,0.269011887476296,0.28053300497787087,0.44355623410162215,0.23153779445435083,0.47279940396115555,0.2985314798498461,0.26789947629493704,0.27119889688948723,0.18393155180594853,0.4359408160385416"
42,"0.2712108773728981,0.40385965880866365,0.5403004161652049,0.3734355788219981,0.2971044570600075,0.38114373576064636,0.5293411302924429,0.40136520778936086,0.19498269880070315,0.30973539102581604,0.35325121506383805,0.48781622525433344,0.18450989321917066,0.2770278035497354,0.2309319803157721,0.3256536490328966,0.2524282080416645,0.19939452293178453,0.36479342532400766,0.3616152771508782,0.4410899981634343,0.5697888924478688,0.25130726380207313,0.1473467407117075,0.34722713835358043,0.41931586807716104,0.34498851997306423,0.4000277308217638,0.3291885810663906,0.13242439667639241"
43,"0.15861537743583445,0.10545027203170576,0.17609773400405723,0.08066391847981558,0.13998519307857096,0.13432754559244708,0.02023679360832223,0.022857180769260764,0.10434355705302543,0.022058940784265867,0.17463029050153225,0.005139220603676697,0.025711798411449643,0.04734001182359192,0.1399968038634636,0.17435620416182152,0.17402057129313073,0.15669967577064728,0.045938395324644894,0.044727920276407415,0.022918592754503243,0.048577458463945206,0.172525965870499,0.011959924854159563,0.16688495650024177,0.03233255443834297,0.06437209329320184,0.13017065980875647,0.08698554124263783,0.09134362549735178"
44,"0.14393035173780785,0.5551769928108464,0.07027802600055587,0.4549785847013126,0.26158126178034635,0.334104190271984,0.1343104189711542,0.311790852785393,0.12714689304473203,0.23276761669213825,0.27942538021030255,0.4561315510486247,0.07994032575713014,0.23722033303521076,0.5697651429823093,0.4717006986006119,0.35416527209407295,0.34482243581426136,0.10185938975713646,0.32634963214720747,0.5818916701458617,0.5889367864176956,0.32797762387561363,0.45248725144059626,0.1715848186482668,0.5026068003865795,0.35891216531078374,0.42317195553916614,0.3892561974143668,0.21620739113312373"
45,"0.38710477003091187,0.6081652351755046,0.28465477705724856,0.46248584634668843,0.11057005597150203,0.2893373227599454,0.6931039160061261,0.31784026966589096,0.3678191828498483,0.6276516625844915,0.2672355153161627,0.1947318568358881,0.21354251042098077,0.32342015049665673,0.09380847713357635,0.08461884244352777,0.31888197461679135,0.19372200484842944,0.1721595070495109,0.16425445655157916,0.32417603003326745,0.35162410665823673,0.4760553270518678,0.5607110421706548,0.19641272106486,0.5024112384081875,0.19066137161392446,0.2620474375054312,0.24087741989046155,0.4807494859904948"
46,"0.11858987660429104,0.10895832572338794,0.14304795241386778,0.1716692933251845,0.1551353948937321,0.12799530999393757,0.15165093351420547,0.07088367655815137,0.004952590629820383,0.022256535489460976,0.006256300751917727,0.04368416674628564,0.0631731048932002,0.15704814004388115,0.1747040461440118,0.14488165380462326,0.14111682954533403,0.11235797816160459,0.14491822219970713,0.0245555492656112,0.04112285365670608,0.13958487220822502,0.016622307585282034,0.03468144145291435,0.03559898337744728,0.020718758947152863,0.11291907028781317,0.09149211676060386,0.05927359865802595,0.10321362218855129"
47,"0.15591018657570027,0.43639873042117405,0.45706648329699695,0.5082565466251553,0.5027321714776508,0.36372277042058515,0.25009355755973756,0.23425614932780087,0.4897160676145771,0.5936987256469118,0.14586690653650924,0.20221592313609968,0.4123211196331901,0.28454398668814224,0.2980244163414196,0.4811769995349267,0.28858791805802436,0.1824231194753827,0.4655523669500534,0.05552202259099393,0.5320353232444027,0.17978296164779686,0.2756842591380938,0.41841961659155164,0.21231492369474256,0.43637031411428295,0.28742277430253477,0.378561458796124,0.27334196760973445,0.19411706405239043"
48,"0.4007306750466843,0.2738389087257685,0.5006676657856439,0.2284581574530436,0.18329204967827525,0.36903571067871965,0.515637972299948,0.29101015375557016,0.5704468199120101,0.46020524709362304,0.24759919186638124,0.5704314761265392,0.4420729796762112,0.2752393883262511,0.6063578303031228,0.45250183396557625,0.37256278685363037,0.4456432788834857,0.49541592853354743,0.550881073055323,0.31982755073613256,0.2915071265039136,0.5628900345183209,0.5279707746560398,0.4501877171499349,0.28229409241252507,0.4726640535365349,0.16412870580690625,0.1443782116858798,0.5157897706538457"
49,"0.5012296604736819,0.26763206967284087,0.33899040207664977,0.1485682885486058,0.3606197817385566,0.2856981533019547,0.3935674956501388,0.5274568747291462,0.28932535159441014,0.3387954024090571,0.3649543796406304,0.5887064421209796,0.3939225127591555,0.21777038449814543,0.10414735648749289,0.3344761815189526,0.14445593069515802,0.4039291491416076,0.1892667363140051,0.2588471579235337,0.2935737120666278,0.3458775355220606,0.2971958362726394,0.29327667335167873,0.37773236954232686,0.19921010475765288,0.25083850786248624,0.40216787850146435,0.5598031409526599,0.5258712844613223"
50,"0.2549900408013021,0.6036044265112178,0.21981494966705298,0.4011083982613117,0.5105945751630839,0.6519741238145869,0.3628520872139897,0.22542482321340723,0.18705557917125878,0.4048247391594202,0.26598400746267187,0.5286950124392105,0.39004854466055416,0.47640335221348373,0.19011461330723523,0.22912195840552024,0.19079829567807527,0.3208430997940608,0.23447866041122076,0.2025545884922694,0.44461064642767956,0.2712689093496932,0.19807332349059226,0.42545107978311963,0.2689015687322123,0.334449756620756,0.4369409049299904,0.41162416154144776,0.295331595752162,0.310386589485006"
