,words
0,"11049,11608,1667,10605,6544,11531,6491,5897,3311,7547,9492,3977,8637,6662,2396,2719,10887,3277,10790,966,9986,11824,5439,5897,8417,7547,9830,12038,3365,4796,8686,7962,11032,10886,7547,6184,9228,4707,514,6761,2719,6184,6405,12147,3365,7547,10860,959,0,3380,9885,3000,472,4059,11369,1916,4921,10850,4976,6435,5891,5077,7547,5218,3394,7962,7792,6256,5486,7866,3226,10615,7962,10008,9081,305,6651,7547,3160,2719,4586,1429,10369,10017,10369,610,4278,2267,3000,1084,1916,2608,5555,10071,6521,16,8705,6551,1981,8494"
1,"3380,4624,4697,3000,11370,5754,1010,10306,10585,3930,8170,6395,7390,4688,7075,440,7640,5897,4682,4301,644,5897,7547,4066,22,6405,4726,3000,10886,841,5897,11608,1613,11596,11524,5754,12147,2948,4543,4874,791,9632,0,5674,7454,1916,2356,7372,6558,6405,11608,1159,3000,1987,10060,5754,2185,5897,4921,661,8132,2484,7547,12093,7966,505,2088,10505,0,6166,1394,4850,3890,6478,911,505,8721,1916,9597,7962,3090,996,4976,7547,9153,5094,7547,4993,6080,11369,7288,7547,6860,1916,7547,1084,11177,6521,11608,1363"
2,"6544,505,5468,7234,3000,7547,4084,1995,6598,5801,7962,10886,6551,11608,2824,6912,4469,640,832,7962,10763,6357,5259,6651,2315,3000,9263,1916,4914,12012,6745,2515,3540,7262,2826,5897,6089,7288,5893,4566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3,"5983,12131,4069,4954,3314,658,9597,5893,6405,9269,1475,623,257,4810,6651,11608,6761,9862,6586,1916,5541,6256,11608,2404,5897,9146,11993,1521,8207,2001,0,3429,8881,3518,1535,9443,6405,1298,305,1223,1235,10833,623,7794,3238,11653,6761,5893,4566,57,0,2588,6405,1054,8517,505,3694,10454,2484,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
4,"6184,6405,12147,3365,7272,5754,2996,3452,1200,3626,11425,1916,4731,4574,10600,0,4383,0,6761,1639,5371,505,7252,514,5807,4555,5469,11025,3000,4303,514,3293,11608,4566,5897,10008,11369,5897,9228,633,5630,1089,5343,3614,5701,8668,3031,3293,9228,10425,10267,0,5348,7794,257,6271,3932,2516,11862,1916,5665,838,5480,566,1241,2022,2919,3000,6598,6651,12336,0,6823,3030,6405,3056,0,11628,6405,3812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
5,"2070,11608,5204,7033,0,7962,3311,6862,588,1754,3000,12003,7360,7866,7547,2412,0,2719,93,2948,6257,7897,11193,4469,1298,5797,5064,2593,7270,5893,5752,7340,7390,7980,3930,5486,6723,1027,0,9309,1380,10194,10383,7262,6256,4009,9601,6202,6651,6891,2153,1506,5665,7962,6256,566,11416,5897,2153,11701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
6,"2962,8637,10498,11171,5077,4914,7547,11623,3000,558,11608,7193,10716,7683,6651,12012,11941,9941,4976,11993,3719,9197,2582,6256,6468,9382,7771,5754,3899,1916,1298,3873,6040,2582,9061,7866,6910,6651,3659,5023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
7,"8323,5345,10886,2494,1959,2328,6521,7547,11664,5279,6405,305,4009,10009,3813,6651,4951,0,2719,3031,8736,857,0,8902,6651,8052,7547,1926,6144,3000,1200,7547,8881,10860,8903,12209,257,11730,11369,872,7962,9755,591,9287,10886,6374,2868,8637,505,1147,1154,4157,0,6374,8116,4157,0,1123,8100,8186,8591,5303,6405,2484,11435,6544,3311,7105,0,10485,3469,6903,6521,11599,1835,0,6544,3311,2996,2764,3380,4319,9480,0,8607,0,10431,7962,3311,2996,4,5754,8155,1064,1203,1567,8903,11531,10487,7547"
8,"5759,4921,10064,6262,1544,7316,5754,5644,7054,11726,6551,4524,640,9947,6405,7547,11073,7962,10849,7547,2525,3000,11633,3157,7962,10008,9382,3244,10677,10008,10497,10677,4547,11608,427,11652,10677,11054,3000,3898,8036,3000,8155,6262,1544,3613,2719,10533,6760,6405,4469,566,11249,2300,4976,5118,11452,7962,10008,5754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
9,"2719,7997,11046,6405,5468,2064,562,7777,11524,3930,640,10835,4914,3843,1916,3578,3719,6937,3000,6694,4278,4566,5897,10008,1916,8417,7547,4499,8533,10454,1783,8439,10615,640,1298,1686,0,9725,4547,5106,6912,8207,7866,11608,5689,10064,9641,2453,5952,11257,10435,6405,6594,3293,7547,11073,3719,4007,6184,6405,1965,2362,6405,11608,12127,4566,5897,10008,6651,2783,1265,10567,5255,5568,7688,2773,7144,5264,3461,4921,7962,6256,11608,7252,3736,7866,5893,10860,5094,7962,9373,6761,2948,3521,3000,11983,514,3293,9228,1686"
10,"2719,7269,4976,7547,969,6405,2066,1916,8076,5707,566,5480,3293,70,2956,6040,2719,1913,1524,4525,2719,5462,7373,6405,3420,11416,6618,8065,4914,11608,11115,12080,12328,4697,1916,7547,4682,6329,2719,6618,10203,6554,5504,12331,7962,10008,7141,7962,11031,7962,12078,3930,7547,591,6541,11510,1916,3758,1221,3074,6504,11608,9737,1123,623,7105,1123,623,1171,1123,8553,3904,948,3888,4796,5897,9826,11369,1674,8361,3719,4566,5897,1202,11608,6730,9339,6501,10620,2719,4566,3906,6035,848,7547,1084,6405,305,7547,7609"
11,"2511,640,4375,3930,5056,9333,2243,11608,10568,4976,3764,4850,8561,11184,6156,5069,11903,7547,8367,4599,12046,9544,7975,3930,7547,6184,7866,7404,2875,821,2037,4863,5265,5897,7547,5021,1185,7962,9276,6256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"4480,11608,10568,9049,5505,7547,6914,4976,7547,11746,2159,1916,5981,1084,6521,7547,235,0,5469,11653,5759,3813,6405,11608,10051,376,1822,7962,4916,8931,3365,10775,0,1123,5486,11608,5204,2328,5094,7962,7962,6256,1298,2947,1433,6651,5893,1688,0,1123,6405,7547,3483,8691,7390,7547,9337,4976,3948,1916,2547,7252,4223,4633,9737,0,10485,10482,1874,3365,5736,1514,0,6544,3311,93,1084,6521,7547,10555,7226,2243,3164,7608,4914,9959,2523,7888,0,2719,911,505,6120,514,566,505,841,6651,7547,11291"
