,item_embed
10,"0.4377430858666274,0.17461188424275179,0.31044777676877383,0.2752594605441458,0.30627664335204374,0.15598011505488069,0.1585397569470505,0.14229689696419573,0.30955084347379574,0.4298660807618268,0.37758649035660863,0.2177763133858856,0.34593356820513055,0.3574283123794267,0.2694245765567689,0.1954214048226815,0.1639209367204177,0.33157611080550464,0.1124048882204309,0.20542929984908545,0.2632218356618916,0.32349749290342844,0.3611450914897386,0.12224045055203826,0.14517296957204293,0.24880053853327858,0.12772127228847882,0.2466194001239244,0.08932268276046457,0.3445494141883206,0.19353022386061516,0.24524372791794627,0.20824271046658838,0.24520343239892906,0.303930773184192,0.3556992806631788,0.16031916816751984,0.24681951959699713,0.18049239877245135,0.21314508457557588,0.3836655926525083,0.31274000962920506,0.0693611969548966,0.1936139839761163,0.4071375786203495,0.2547518175811656,0.3740898814702086,0.40099445476880297,0.21295303708125368,0.4051281129460748"
11,"0.2625481501570584,0.180934266994868,0.3579702716287414,0.4018337553029508,0.3226270292277589,0.21866738205552055,0.4116929618971674,0.35959726862107383,0.2962872742657808,0.3363964684095079,0.4400722650857526,0.31831482285507345,0.242992741696196,0.24213300296497314,0.30632934378270993,0.2903561155195471,0.2073234089174355,0.24022546064111047,0.3973959118216298,0.18731602386422497,0.4284933941572684,0.23949346121061482,0.4398787777549853,0.23085034946796706,0.2690351420393303,0.33756367355421774,0.2850787664997778,0.1594378035052495,0.35892633091194254,0.287482645802973,0.4072062324074601,0.3787666996254109,0.3794453548428108,0.18496753467595345,0.3283593616217895,0.23461677361079117,0.3477760775300288,0.13747217494524352,0.3076674541806522,0.4404687237936507,0.09750312758549355,0.32329139709938065,0.24543054371156975,0.3245701603354081,0.3407673900134692,0.38794536068030994,0.32736130645253325,0.40502675628584467,0.39068295602490277,0.36679504842879107"
12,"0.2577522111851738,0.20566542647444522,0.37888264743697386,0.1581519263339541,0.23988016334843865,0.2573686659031351,0.3446638255767605,0.11296919674152914,0.1909587507609926,0.2953538877520325,0.40103277808135834,0.26128612383103117,0.2983283086083905,0.20662047893575036,0.1859093954793452,0.2905859913680631,0.38118848972943553,0.15484239819291412,0.25160125854158266,0.2008169036046618,-0.03743328100567063,0.17735073841377694,0.13418181385144304,0.2975839648938581,0.20452094114293504,0.3901178798277822,0.19324003220929548,0.11020475567862485,0.08372320953371602,0.10365789023820333,0.1809544144552597,0.4181737249442711,0.12142050711880094,0.24522562106458687,0.3824118691469155,0.16035843799185057,0.3497938502320889,0.2088971850188954,0.22972654567488188,0.2097288756383188,0.21380184274122258,0.2430507073263321,0.22867948334619012,0.21002052568303564,0.16915808842022065,0.3243923258291482,0.16406545915010093,0.34722186280575773,0.14740385841243558,0.272418533231228"
13,"0.3501241184815388,0.07649476956413448,0.263233881020119,0.40162783242497874,0.34024308373930917,0.3883333756710593,0.1486443167613507,0.48626331264654665,0.19107196328237278,0.21709980206619867,0.2507999822197332,0.30801753265252024,0.19469520214778932,0.2920450911374081,0.44056203908871844,0.07194716950651722,0.30383835907486767,0.18724564330047158,0.3213146497105483,0.2336644419944535,0.3074897423088418,0.29429160544878424,0.3285619906520621,0.09952132354072148,0.37196804657502097,0.1568694457487583,0.265268130225821,0.2229938091498129,0.29387367975635686,0.4772301965278979,0.48688013558802185,0.37821446993209207,0.4985993749360324,0.16131445811994546,0.19782866839852808,0.3760024120083444,0.2852720660846007,0.26460314577978605,0.40824462331555567,0.3372949549528454,0.47797525096802973,0.3247584076710072,0.23368627121359067,0.41394723558591096,0.28809863888731296,0.2800932774386517,0.30088725083415085,0.3194503808582514,0.3612122316135835,0.3642331414644161"
14,"0.33704863252027595,0.2549116278037809,0.43184859704186984,0.22033046462154343,0.23324176625631862,0.2596416543492048,0.1990319613334382,0.11537910976413865,0.2690835104142223,0.3211627548995512,0.2166486095003128,0.21858406907861472,0.13264049049082421,0.29718449219216514,0.2770778106904398,0.36511056279642734,0.3335159782347951,0.2418197216947118,0.2936030177402635,0.31747155165994373,0.28756300326528167,0.2071412785786982,0.39762093522753894,0.17929461823384313,0.12793978455501537,0.07638553920068686,0.24612642420711262,0.23752419590733032,0.14896559182162805,0.28046944507617644,0.2606475997035891,0.40592536807467383,0.2700770798125718,0.15741430944968998,0.37309956899594365,0.4364696134577449,0.2035512586080061,0.3855866255552897,0.28553388753379,0.10184561952299595,0.0945523667748593,0.2712448033522206,0.2233861146360244,0.266838304821783,0.24882885401678392,0.3111632155758494,0.4015223976230044,0.165855649640097,0.4128690073547114,0.19358757946983185"
15,"0.03683588837627657,0.33800931523841304,0.1896408374265307,0.2787873056781034,0.3923504894753703,0.05784751857509963,0.43146934413209953,0.3172001963928786,0.07525777530832085,0.26365698681131267,0.2520677418005592,0.27103604056770264,0.26891960384703706,0.3958580075290304,0.41189400802089354,0.5118149003979089,0.13439461340627,0.33114647931233193,0.5191061381162306,0.3737683395958461,0.392940744838691,0.23553364507031546,0.5255289393921615,0.35833370603697323,0.42234935130392964,0.516776981475656,0.34042676253803544,0.3020656085723278,0.5158570887234927,0.44204514206380363,0.4485790966823823,0.2949500160888084,0.2731714317103574,0.18939836471954927,0.31225225140614093,0.10244537147372183,0.26875791408480915,0.085869284730733,0.1838421232612016,0.37453975682103197,0.24782971668572074,0.2947748019572453,0.49088256639740074,0.35182136692452914,0.11129446001368683,0.23935226072073576,0.30204950937682196,0.314484984100401,0.30404431923762193,0.27208659719948497"
16,"0.32700780906833893,0.13197684789450656,0.2638694236806661,0.2742410658707177,0.43463983036905923,0.3874264781688228,0.2047093711848568,0.33452615775769,0.3581546499724231,0.04637489104636495,0.2700553164509382,0.3726980166290139,0.31630738334882513,0.20788415624447776,0.40132090960618855,0.21819742478431978,0.26169817033780657,0.33222133068718185,0.3077617207454388,0.520448208492599,0.2870853135757658,0.2591685192002711,0.22996115433887696,0.26545696249847245,0.26013388689434197,0.32928654949609176,0.3060562469553808,0.3025854988886483,0.31841185270284056,0.2003019100320447,0.3129182207308732,0.28894807823766044,0.2613330303350388,0.45703718622813083,0.29093044275283886,0.29657095948691586,0.19074365243567915,0.14137942354918656,0.21476247920015196,0.35218735339329976,0.2801773832094574,0.40074983176531703,0.32732934389154994,0.44305689231324935,0.47414890738119453,0.2801837385684465,0.2612445385988831,0.24388720533974598,0.11902142438860175,0.13962092635955164"
17,"0.38934935103604124,0.22923231588663426,0.08394569051657946,0.21902202933682427,0.17285347490075043,0.3406360150888087,0.26716104385081985,0.4205062587668178,0.10198252293157144,0.3172420403966091,0.3306399005660642,0.3318849946125797,0.21331199812679266,0.11008747945450192,0.2089545066939382,0.2742893275004689,0.3016857413001392,0.19208132840036582,0.5006062236877181,0.3324489100567498,0.5005702002269056,0.2521449445677163,0.3329601694147511,0.2520171405957047,0.2818131657233763,0.42811664850824216,0.1409799576221455,0.31235569732888485,0.26940641051327285,0.23255986707023096,0.17960548271930363,0.2873858976711221,0.48211679296118454,0.35938806170573817,0.19342982957048213,0.2490285357492523,0.21767639885234935,0.21429284181759564,0.3258777376921934,0.23438087951989764,0.2694823076234754,0.22249760699285473,0.20290071182169872,0.33184950116968587,0.3198057242363654,0.20360786977952255,0.29198167183368673,0.32680123515020415,0.2741284206039461,0.2519073812635534"
18,"0.2389899987956306,0.07006924081491113,0.1274735168516746,0.21805575377451436,0.2093246918686726,0.26503139588156455,0.1122046257543011,0.26706441862583213,0.19795703746625862,0.11206221841456883,0.13963931802578877,0.12582297426678885,0.16629164555245335,0.2165645300036112,0.23688984928968385,0.06375965939344656,0.152843481105041,0.07933224131298648,0.12674400964439966,0.13354962178537463,0.21332694509675265,0.17988880238158814,0.23827797477747983,0.13931602879786337,0.18549856911635831,0.07984756489919541,0.2118052096902597,0.10798987444261236,0.1891079449483884,0.22553535896773455,0.27257631381415476,0.2824623353776876,0.22915718603834936,0.09040171833928284,0.13497787085632226,0.16535002681151298,0.20326585183390827,0.2101491741600465,0.2438757506875551,0.20424363081365116,0.23789430501168263,0.21617706027950995,0.11202844946917923,0.23775364763296253,0.19611197884413906,0.22489555442197778,0.20234333535341437,0.25613496325143265,0.22367742694156567,0.23438711942923768"
19,"0.3227895307379245,0.1910765082288314,0.08210550499153191,0.2825438302064195,0.15946017420131026,0.29745863541428974,0.25596979210850695,0.4177613498155143,0.09927903881737524,0.33451948629742195,0.27004427970956185,0.2826069280928363,0.2981771869030993,0.13757517615699008,0.1489529439499745,0.23680345342414066,0.24958010789660265,0.25771792394870563,0.4458221901145793,0.32113244956543185,0.41870063830207993,0.2114569866524472,0.3585304488261495,0.180437848083189,0.3178519804244034,0.4554160771091228,0.15955152819662163,0.2256363246321381,0.31477842682137,0.2786106481555382,0.177255922703771,0.35115333904337365,0.4992542584385461,0.3611185027223998,0.2791363725376714,0.28597153585684926,0.2771565413224743,0.2622763156097937,0.2929609422009749,0.1806272469291635,0.3312714983916584,0.15854544879606672,0.2560882636197705,0.3363102286100603,0.3787695717808933,0.20756485718915402,0.2875731885381122,0.32718225378881494,0.2902558072245564,0.28371824142704755"
20,"0.2080709057135279,0.09451680679104243,0.24379950490526414,0.24760578508274336,0.2523721164018564,0.3171650976562713,0.22991086557298507,0.20358060495139524,0.15854825913910922,0.0785908401580978,0.2322116586267609,0.32886596393206924,0.3653812552862704,0.2532475455980098,0.07242813374433411,0.23789804555161126,0.20027024492453577,0.07708974594713716,0.20798246318379815,0.2679087435528473,0.1857594204999839,0.14717179179049308,0.2219488718422917,0.17680130985201745,0.22351061555887164,0.30005583035669664,0.21609042407644127,0.199064094951164,0.16231007112848228,0.3500697590596125,0.2595395922112237,0.24915283685763198,0.24682488829463176,0.17838423398272366,0.24331159097105506,0.07587058166167235,0.14504993552008055,0.20274426252127667,0.31110258832614496,0.23097829308689724,0.3068081217527926,0.29316419431130175,0.13997668488492832,0.3002850541841174,0.25820654123625897,0.17747226982965283,0.27189200400302976,0.24683097848965982,0.28712696132966203,0.21169384976664324"
21,"0.14501188822435818,0.2608899499115767,0.08319491539075279,0.3409266924270864,0.1618698740540794,0.11724392555044007,0.2032133097743831,0.15979048676704063,0.2714000069077875,0.18341867857305832,0.16017160670700675,0.14008572907565434,0.14198543222987697,0.15379967670383668,0.15702051423663654,0.20878028245310484,0.22188963076473367,0.22068875729236714,0.2531847179358138,0.1426288344661562,0.25993916901545666,0.1374920100840165,0.06699220829728271,0.08380790464748185,0.20827241864702686,0.21797052638428396,0.16237924301640652,0.0995120474300365,0.20844967733182335,0.23102200717079965,0.3069030631785256,0.20284063027270052,0.32350627575968005,0.1960972901584863,0.22426372828072041,0.3197735611798827,0.3577218403629343,0.27347797094586807,0.10058838780888282,0.12924843514615347,0.10587065364207049,0.14792921811176757,0.15259694923670733,0.25275544818372087,0.20599234159301466,0.12437292688125388,0.24168777481037415,0.189582429877596,0.15724811684098355,0.3661725292696227"
22,"0.29917605091886235,0.37304990613601047,0.15209526195117207,0.400153375812864,0.3069032709037068,0.13896131254065483,0.21817505931473843,0.2503648890413348,0.28151357145903594,0.3339713136156848,0.2639271832998474,0.2650774042590514,0.24263484370773494,0.2036436930308914,0.2487114414833121,0.3265895602672287,0.37553682219358603,0.3561500045028841,0.395682864100257,0.1576410002317742,0.23085406829768423,0.158693702506545,0.134562614873285,0.1274375748099765,0.27650224264021595,0.1902374348044058,0.20268900681677177,0.13923174854974665,0.3050006464588093,0.29747800054273876,0.373221472724896,0.2224121518265692,0.34732909725467076,0.2611425452053138,0.2564271659994228,0.3633654902025752,0.3910552444136282,0.3504757688235401,0.17986897848180955,0.13873554477710376,0.16474041438192494,0.1422901366210532,0.22624253987221937,0.2934870439691015,0.2759889809850691,0.18775013204673946,0.3314399461576862,0.3050852058834143,0.27196803577492024,0.451118647053405"
23,"0.35195072860198506,0.11595588963992291,0.2885377785546353,0.3832786303818481,0.11495414909566282,0.24484123756058232,0.11208216674535726,0.3902549153428938,0.16747539327875127,0.2287466070319705,0.41438757582574465,0.12136082656345043,0.3860509379659545,0.19701517276857497,0.1767884197875844,0.31899308407541094,0.13783422956900954,0.26254500089717414,0.19226715011268372,0.2811508046126332,0.2797220248995952,0.39908370728962217,0.15405310303131545,0.2866998610181098,0.21906268814312124,0.2789852738586547,0.27073934000413785,0.3372523841468896,0.2825373188569576,0.370265262829253,0.20482911514031335,0.4048832353485228,0.23333689465680202,0.36823004945319604,0.16776229539597237,0.3829202448141957,0.3592746217883356,0.19067009614335378,0.10757121956803656,0.14700776286023223,0.3410311926068934,0.34998850982939295,0.2585980897094389,0.3765932399808662,0.1914711246800493,0.17608548470549792,0.17218660037354933,0.2959187641848572,0.158021969479984,0.31575495783842705"
24,"0.31558873138302335,0.15474276899246597,0.25650851664251856,0.12810588579660437,0.2719816693793499,0.09253877635181869,0.10531680352772516,0.1782664161276306,0.21400994711748142,0.25912784435222247,0.28335921283199295,0.16638890709429252,0.2300966253329483,0.2814310479514035,0.28296407276928404,0.19938942041980454,0.1753772519139269,0.2658434440889153,0.0865720015932218,0.13886614768904554,0.24194593072625864,0.24235941121698093,0.21404435524787957,0.0805299630255529,0.09763211977053442,0.230681858152111,0.08705340355534445,0.13431692253277605,0.11836512966159454,0.18258412802034923,0.19045416338376148,0.1354981730639447,0.22805658529019465,0.12992011172128387,0.23447033659496058,0.26302677282227543,0.17000318047029755,0.16725954514252647,0.18789182473306146,0.23245976246551564,0.27903290548957993,0.2642957815041536,0.028780052660323647,0.11641880970938542,0.2487590591378806,0.18913524343873306,0.19519835936210816,0.32695130754314927,0.15167525793957523,0.3172409175760487"
25,"0.31031586106949394,0.04965816315710472,0.4138287161558506,0.10194523945453185,0.4369885050229764,0.43900927456401595,0.11259366411004702,0.08211487487225917,0.41060605807876344,0.0953680884151646,0.11175118872182342,0.34391937842590714,0.23958538765459486,0.3461150376900786,0.29814664868236973,0.4006868265805259,0.20859319640334603,0.42776963856565436,0.3467095460494611,0.13782160220258144,0.17183082440857889,0.33904068054789077,0.16294354599237115,0.20987384081892138,0.19066609238919033,0.3409636462377714,0.3537398086631622,0.3669430738247907,0.1727135004333505,0.28283760556050785,0.2598659514439914,0.1098159530686396,0.37306202962498647,0.30074659307541574,0.1789933184394668,0.298007712237721,0.4089323916089153,0.10326585638376218,0.30309918736448527,0.1924839822742624,0.32876249656318396,0.20045402304319485,0.37230084812479153,0.1798286365854025,0.21333535229449568,0.28573599173500086,0.12134004318972809,0.2710648710144149,0.3580678618523893,0.19567941642548184"
26,"0.060821697674588185,-0.122796751037567,0.22933491249642662,0.3545917129693744,0.16645191434128315,0.5168598377446267,0.19144944125771637,0.0842994231412502,0.059925457518215826,-0.04054574844463156,0.32129974117956484,0.2958054185358472,0.5234298864952176,0.29484448266023994,-0.03759094265850721,0.3121866864024718,0.1917059168488323,-0.059674313141463375,0.26786403198198555,0.17025805551001452,0.20437898824554077,0.36088875084567873,0.2663104830018278,0.34438884314015006,0.30850853090464936,0.4226654349145666,0.05961413638565673,0.21473920937163002,0.32443104052363003,0.4930457771817425,0.2412530804481468,0.45129141612340495,0.32231641462777677,0.0056227786997050735,0.11815070362331316,-0.08054980537149421,0.13374992753468887,0.06528914375479435,0.6780136770817863,0.2242055397485659,0.5442959115803099,0.464557609299049,0.06613946306016445,0.468096876446557,0.16053887704453362,0.18720463663292236,0.46639649746010675,0.21245652373401758,0.29571507885901094,-0.02860452396063113"
27,"0.28740559679353583,0.3439400259724679,0.32912659769103364,0.26621071641916316,0.29269429880926096,0.3182494043025017,0.26165816776820927,0.2431588288683128,0.1897297108309495,0.16190743221436998,0.200610176257731,0.330934119046105,0.2955142151552569,0.24905251499067035,0.2239544795075899,0.3132519223118015,0.22349556002799073,0.23096465670650104,0.3227812162571254,0.2655224177769972,0.24965918391105002,0.05520342024277015,0.2858250967345182,0.27255541006708817,0.076122524717541,0.061456267427959926,0.14654340674571617,0.1648970019896563,0.36094996870922946,0.2703869037612332,0.13727982402030015,0.18009768667854387,0.35062664422909534,0.16931003241279055,0.30353571381874894,0.14869240838526906,0.2621528306109874,0.2100041220130514,0.25361206100887707,0.29823268681194637,0.13751157525105262,0.23706997723283044,0.07224617150880643,0.36355817174888266,0.13034518660351574,0.2515669310527986,0.19749180249736664,0.2974819412282477,0.33446891718564775,0.07320647164679236"
28,"0.44680841475326827,0.18064718932050614,0.33161482661486413,0.35691779927311146,0.29941302942192843,0.28561568048579117,0.25613102447286834,0.24730693035753568,0.13953724754128655,0.15389250759957357,0.29363908631942087,0.14901537440204268,0.21027760514709215,0.3448575514544456,0.42466429373044756,0.21045776213499195,0.4827547520609487,0.1067344043414624,0.19397080065064679,0.11419768190109594,0.26059880417450215,0.40940077974674655,0.3191492635994277,0.319839259582668,0.3717956756693948,0.24640762540106506,0.15628963185657682,0.23644318700299152,0.3572083619817568,0.3550678960628687,0.3285656432832015,0.3799555144678776,0.21783291248938996,0.3515295802181238,0.29449340388961026,0.2913064311964888,0.1969793503547019,0.42731448380777803,0.4304580652992934,0.22117230505076552,0.14369396294845335,0.24508575226105453,0.29183714795651416,0.3311936871612012,0.2841931963069532,0.29233798681894946,0.40310448830895085,0.30673612422698016,0.4408850261202333,0.22826522967566729"
29,"0.24300730287963465,0.2490690529988916,0.1992753040266004,0.22195030854907355,0.1685733328767048,0.2657465546252642,0.2336215266537547,0.16292416096119214,0.21800186932616925,0.2104475458600718,0.10418411252967201,0.26488519651422926,0.3070517424243124,0.13275249231005135,0.2672252522099993,0.2504159619932664,0.1941361360899077,0.22281974908293287,0.22583410817638147,0.14525425180858786,0.29876364878565953,0.24539498269815338,0.09418030781604363,0.22362841763370786,0.2592979369027796,0.23714467897440764,0.2068511318903818,0.2831272982781215,0.1305643264813827,0.1513975862857266,0.22248003653976614,0.1547987841055746,0.2779959540806178,0.25410122819286646,0.12507183549800324,0.2565487396523905,0.22709735612181153,0.18120217403559388,0.24048122046448703,0.15694776404073885,0.2268053882583754,0.2874085398580505,0.14987250355172405,0.18343016845770047,0.20284614765702183,0.25784876649572613,0.1662208729589998,0.28282633303346444,0.24052387732059238,0.1930097501083559"
