,item_embed
0,"0.2494844925535744,0.18278333226874782,0.2755535125524247,0.3129020787868137,0.18691864697447302,0.3018395883907544,0.3342916602149963,0.37893616280855796,0.2661891514028808,0.24473036266948742,0.441896518407393,0.18720051382048095,0.2399188859747971,0.3749793963553382,0.1646950199478593,0.2236297506487695,0.3886336031457502,0.1750429984253684,0.30880950102577304,0.23539318755033997,0.47726204521079924,0.325293117974616,0.3046761175785069,0.12628702404690356,0.18042157764152342,0.278604671374649,0.1421419892618831,0.22988119211263397,0.3671165730133094,0.34481902514126134,0.23470261711152868,0.30006383738183456,0.4729292662882576,0.22474876521280782,0.3024968906366228,0.3261520237963082,0.37592045922713846,0.2637795632546647,0.2828242811391291,0.4286199812217897,0.1517213535293028,0.37393366753474633,0.350583101771219,0.3630690140041153,0.26903554380252037,0.3695000846838622,0.21582198415177972,0.3633106595455643,0.42394618260625894,0.29207985661609215"
1,"0.2121505311421422,0.19721679326995423,0.19913734193093013,0.22471415021158764,0.18438715805895822,0.12016648692908241,0.20548785007669443,0.06952071283929066,0.09469365489221164,0.1751361284516324,0.2103817682816842,0.18350390135226977,0.15373830246932468,0.21564110025133407,0.20780606789834108,0.2669008355978162,0.23152339252518225,0.10586672817315618,0.20323062689381682,0.17985497646015744,0.19297552534173198,0.23765605636988751,0.11191254909609599,0.23371867857729012,0.27875819533115664,0.23440401738109104,0.15894550556059303,0.07036338004615912,0.24435298047964538,0.16565805918607662,0.25835872076931454,0.10047542274217126,0.239679157321409,0.20471261042323594,0.22565976104350174,0.15928780613934754,0.19501405679247993,0.24581231415656224,0.27704121432468226,0.27764780939746,0.2418070165767575,0.20413929778646003,0.22835728019946183,0.2107456523649715,0.23486452521481954,0.1764481444420966,0.13963099707176838,0.2028607325088721,0.24968709876240752,0.1550595838894128"
2,"0.2059536143253143,0.1505050901494296,0.2637856718313968,0.31755185129552055,0.24696164272969706,0.2797424386948911,0.20997329246059473,0.19074719049849215,0.1617331675991164,0.07027793072989344,0.2818996821065997,0.3030734751722036,0.34821355074446936,0.2340603156616376,0.08904196383591823,0.3186891480888118,0.23389683076295073,0.11903933225101135,0.17460413423295362,0.22778008942237027,0.24793100818499283,0.1480253868964724,0.2428115191982018,0.20880334003945933,0.20359964672992883,0.2493189493293074,0.21892386902172908,0.18358512338910996,0.24221793402672787,0.3041993229926934,0.22628777637299227,0.25716374936437125,0.2877777659489766,0.11826267319870383,0.19221141975021866,0.11152130757538796,0.15362817840963405,0.22991232199460424,0.3364199082040992,0.2732582559897313,0.24776549670283377,0.27592263050856086,0.1445056586029644,0.3242414318729106,0.2637252199718072,0.13612038623421024,0.24914888952393707,0.2398196418436627,0.2593517760352301,0.16884936963605782"
3,"0.31133482300533966,0.18476375313026003,0.2525960747234606,0.16777386960452303,0.2905962593692369,0.2899674464419423,0.22148238827557956,0.2738471451675168,0.30312696837918585,0.060590510866659564,0.18753950523416746,0.26127665837281205,0.2630102476337732,0.21034815003306395,0.3172697474091288,0.16298704472579226,0.24057814458847285,0.3162797739041904,0.19180937562560335,0.40862981917094965,0.25830762094370774,0.28584528199667186,0.21817732549464247,0.22764708182862145,0.17304392332679544,0.237770886530829,0.1903208445207438,0.19020554376518298,0.20354761452883519,0.17792406014454373,0.21896729841801907,0.2878651635875846,0.24795101967840755,0.3750502232735993,0.25791905665010034,0.239420084149437,0.15423019567160756,0.06379200759860926,0.16693254997936832,0.3175320507096235,0.22794293937482574,0.3185779903149067,0.20710738641102192,0.3459737910231064,0.33236737272915917,0.2679668495115542,0.18450066761702155,0.1701883814455974,0.07551274504759721,0.11653276379077006"
4,"0.4268285586630248,0.3053118958700879,0.320579528971133,0.42976945596146465,0.17791223650170948,0.5128491234686103,0.25265402986528246,0.43505722431104515,0.32341500634560383,0.2501792621731574,0.12282627441119394,0.1829397971143023,0.2976202082595234,0.3293083747044136,0.42607599368069093,0.4369094527577928,0.22551370481785668,0.4259226739254116,0.43951426571554814,0.22436750864012875,0.15480648967051214,0.1387062383980456,0.05352620119027667,0.3167276077898737,0.28156028943211764,0.30201971455694104,0.3165194087919389,0.13300927730202008,0.3187106826727061,0.4398855520008806,0.2170963382324646,0.20124935666829658,0.3453878879444533,0.36231897643088595,0.29612707892723933,0.31707373047026655,0.22706321870605484,0.29634535805025203,0.4186696102609529,0.11092346690308957,0.16921584747398882,0.24160038360160857,0.04778704039561728,0.5004593177687522,0.414183962222322,0.16464020763385379,0.21163894214718842,0.5105978667043686,0.38006938292642567,0.09083772324748396"
5,"0.2584034686159336,0.20426643347226825,-0.06036311002337656,0.03234233432159469,-0.14356261655567604,0.35091186510278866,0.028052747369351594,0.14344414844899164,0.24186153017071568,0.12203933339409942,0.005141610617749881,0.14474668019866746,0.29179440311046906,0.07559510522905478,0.1437210052831862,0.17298261529528508,0.09937019562302755,0.24170886963367771,0.011409824923868987,0.024504818125372203,0.23889436166668723,0.16059400684520908,0.0075928972350042855,0.19088443559216903,0.20593255492037277,0.2319410041426101,0.05349006982012781,0.17035063585737573,-0.034219822976575914,0.10649732498381087,0.014181559081532527,0.09264834961753776,0.19547765988008195,0.19563900385264826,0.1283019995700384,0.2557291648863731,0.1419550321418975,0.08590801346851906,0.03574407144260514,0.14594551610775752,0.18670155977157923,0.1488072672713069,0.0742982798144843,0.05031299259298179,0.1927643964004025,0.17281797465552648,0.09385997750907342,0.18142748090973929,0.08277502665882587,0.00964267868659595"
6,"0.3120484897314349,0.323148668959438,0.17983789869827888,0.24846340431935818,0.353872202670341,0.18216248809717178,0.2886708209638436,0.29091936952464825,0.2636413590463742,0.35639989046013687,0.3617876752237606,0.3177291837926344,0.24030874236232005,0.22181663087331932,0.244435376599746,0.3838739655271002,0.353136234375603,0.39183609971910033,0.4501833971064331,0.218076666901435,0.1815918514496897,0.1720684288791759,0.1654920303303806,0.17127704880853328,0.29698349570514004,0.11770371923183437,0.21020161328715706,0.17126425824974287,0.30844803611360594,0.22051649095133477,0.2903098153171527,0.22144143552046974,0.31735623734621077,0.24741932640368358,0.23088333051672547,0.2222244073882898,0.21607324160495228,0.24417741082929856,0.2829514660827588,0.17630829472109233,0.2085856701424692,0.19666254029222052,0.22519313148767248,0.34306961924476265,0.3061938374563664,0.11893013149932327,0.30833877810588284,0.32104773012413756,0.2593151676832999,0.23847061951304124"
7,"0.13995442492854315,0.3346461415658136,0.197207487147725,0.3526591039856952,0.3793330662177706,0.2609490582251144,0.2595853815197177,0.2700668217246988,0.13521192655971623,0.11813273917360302,0.19700807365620793,0.2143197328452637,0.3799791374612253,0.31914226603076923,0.18142071248269237,0.23091237903600817,0.07642150016017608,0.4097423523827888,0.23634977863012988,0.1422329697538189,0.22317659605489976,0.2852623800568231,0.2814796256595213,0.20278252064889893,0.20422174346011734,0.304139274681635,0.3276571625749612,0.2964386152137563,0.23422318527077807,0.30436568440855094,0.4153467397276857,0.4128476623549339,0.39510244897548724,0.24399993465367953,0.24722525951624416,0.33915438624388833,0.22555933617923082,0.29342101872852705,0.3359712077837416,0.31325370278739767,0.1777408935759744,0.23240778425555736,0.36090023791924386,0.3213778674539513,0.29788476781582174,0.4090596916222854,0.3568978857990176,0.09961962392223449,0.23358283472083805,0.2610593062188801"
8,"0.24662432484592509,0.17718666489916793,0.27829822020992495,0.26877039219950777,0.27123301160158864,0.17870832610582363,0.14058407757355565,0.2802499581033718,0.2508828702524147,0.18455969737800182,0.37009195720036636,0.12243187953351709,0.33065251791260586,0.3014304315402789,0.25945405933641474,0.16400807395283354,0.3199881551778137,0.15656105911051682,0.1910298009554407,0.0983440238545271,0.2417900810162974,0.36521143115471344,0.317909604411406,0.2664952151887972,0.38803426568414945,0.2651043781153373,0.27401350493954035,0.27445240470119026,0.3970542753775758,0.3839144798427712,0.24472043991223608,0.36891980106974637,0.34675285062625283,0.25649800235721054,0.2909248300891257,0.4393712696724081,0.13548310544995773,0.2599463593214252,0.3012545311726167,0.32443120942618986,0.28545546546278594,0.2866718964038788,0.27928317817922105,0.38039931384335507,0.33946684627752616,0.3182693302490402,0.380416162641851,0.1663810385124562,0.37350812254526117,0.18397719658247708"
9,"0.3672186502564666,0.3356100346034089,0.32899139384713166,0.26549043976430975,0.0804436662414785,0.3501789677634701,0.11362831021321858,0.2241090202599363,0.10036262865438678,0.187156009431341,0.3871189891026823,0.1989176728688409,0.3781904201551491,0.2781277282765007,0.27182785763360334,0.3313123458055826,0.20542616703843156,0.3848231235008886,0.2568512218086234,0.2087413987153215,0.28922443754092336,0.40918189967127233,0.11896156360103662,0.2803467390121769,0.25833047142798116,0.3023080203556078,0.14233560671161308,0.2641044958604064,0.07134737245165755,0.284556458274705,0.387329112467813,0.14629095732491385,0.1657596160472022,0.19451893707226614,0.2680934697769425,0.3566539130019449,0.3088264526409262,0.2726241362890046,0.4156880683743135,0.22461251283270073,0.35683310109184413,0.45935981908629625,0.170381197203571,0.18058079482293857,0.3529244550943998,0.24803383717266958,0.16739866168538037,0.2772403285101566,0.3899603828940382,0.21400818186452858"
