,words
13,"5531,10297,4954,1916,5140,1398,11335,11608,11391,7078,2354,7228,3452,10498,6511,2453,3694,6521,6177,1916,4517,3304,0,3090,6761,7118,3000,1680,4069,9744,8515,2996,10324,1190,3728,0,7962,3311,8360,5987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,"7962,11915,5897,5507,4914,4976,7547,19,6651,8155,3688,10485,11531,2201,10615,640,6742,6738,2961,5193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,"5628,1916,7699,3694,3562,5897,10008,5897,2684,2719,91,10860,4976,7547,9740,5469,5094,8637,7450,7547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,"2719,1134,6952,3000,12222,6405,2088,8418,0,2719,11824,5439,6405,4684,5897,7547,11455,9012,10790,11813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,"3870,10914,10998,6184,4976,11608,10561,11322,2719,2381,5486,1298,6745,514,7547,6184,7592,5486,305,8609,7695,10243,4954,10482,4761,6651,2996,6761,8138,4976,7547,7882,2460,0,3719,10533,5754,1298,7578,2420,6912,1616,1916,11998,5725,12081,5322,10367,8321,3074,4547,9141,338,6862,8825,9282,1916,6651,7547,8701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
18,"3380,6761,4566,5897,4627,1961,12140,5561,9597,566,11193,4469,1536,719,12292,3157,566,9287,11193,4469,1694,7962,10854,4235,5321,3668,7962,3311,4796,6970,3293,5897,3311,8155,11948,9813,719,10886,11608,6393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,"4762,5893,4566,5486,8835,4059,9382,5754,11608,2638,3000,7725,5754,845,8903,257,3038,881,5547,4921,4278,514,3293,4448,6963,9382,11712,10369,9339,5754,11608,6761,4823,1916,8978,11608,4889,7262,2371,7609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
20,"5541,6256,11608,2404,5897,9146,11993,1521,8207,2001,0,3429,8881,3518,1535,9443,6405,1298,305,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
21,"8736,857,0,8902,6651,8052,7547,1926,6144,3000,1200,7547,8881,10860,8903,12209,257,11730,11369,872,4586,1429,10369,10017,10369,610,4278,2267,3000,1084,1916,2608,5555,10071,6521,16,8705,6551,1981,8494,915,12213,2719,11676,7390,7998,7547,9901,8155,9972,1916,7962,5480,5340,5893,4566,6405,7956,4976,10886,2070,11608,7252,7033,2719,6184,6405,6410,1916,4976,7547,9473,8637,3311,7547,9374,1645,5121,1167,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
22,"214,12200,6917,881,1840,10470,5893,4566,753,5897,4547,3585,5077,7547,12321,0,4595,10568,6405,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
