,words
11,"9757,9674,17137,7040,9191,2959,14627,14892,8596,16910,9917,13086,14627,14892,13530,9757,10113,12827,4387,15836,2508,6017,14556,4609,8771,17807,1649,8083,19557,1649,6736,5602,14467,1115,4727,7296,4727,13912,7719,10114,8667,19530,15874,11122,8733,1161,1649,2705,9257,15836,6824,4095,8163,4112,11865,12682,3171,8710,9257,18381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12,"4937,19142,7199,15813,11122,7855,745,2317,14627,15007,0,4937,3536,32,14758,11122,17807,2317,11122,15855,15300,6824,12632,18857,8929,1694,8163,14627,6635,3787,7719,18857,18109,6824,18363,15580,11742,11127,12826,13008,4937,19142,7199,15936,6745,10825,4112,9469,855,1043,1649,6824,4095,7719,3536,9469,32,12826,19227,5124,7566,6745,8163,1549,12826,11122,5685,5912,2318,9122,16629,1649,561,7719,6745,4348,12826,6051,7352,12826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13,"9757,11905,6647,3108,14758,6824,10915,15657,11122,7619,13005,5454,10269,5605,19462,9757,18951,12827,4189,18142,18857,16538,12223,9024,12039,7719,4809,6139,9832,7352,7477,6414,11122,5271,10789,7719,4084,15580,11742,6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14,"1736,6414,11122,18626,19688,15657,14041,9757,9194,7580,12596,4112,12099,9757,964,19287,4112,4130,9757,18222,12300,3812,6778,11122,3542,5812,7719,18857,6507,7352,14495,2275,12300,17468,8929,14627,10287,15189,6064,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
15,"3171,18671,4727,14441,16602,14212,6824,4095,2959,12826,11742,6384,8181,11122,12671,0,15385,15855,15657,13764,8771,15777,12826,19270,8993,9832,14627,3487,2485,4741,11122,12673,5116,15220,3075,7719,3265,8302,6507,11122,6980,0,3296,15919,15657,2183,14495,9347,13005,18857,10550,1132,12826,9079,18303,6824,4095,15657,7167,2183,8667,3319,12826,4579,11122,3762,17796,19411,19287,15836,19550,1362,15657,827,15936,18857,17468,10963,12826,12315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
16,"2960,8929,12826,14978,4739,4522,2317,3512,660,14758,6577,0,9757,1304,7719,10915,13544,12827,1497,15836,9757,12930,16106,14084,6414,11122,6562,12720,16811,4326,12827,18212,5605,10556,11128,13949,0,2271,11122,18031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
17,"8636,7719,17220,15734,1871,12826,6122,12826,10651,9757,3988,10915,6414,11122,15461,19287,5116,5437,13287,11122,13856,10585,16171,15874,4910,9104,1019,12826,14535,4739,6824,8270,15363,16910,17960,13005,19550,17717,10622,2431,1581,1552,17238,18857,5454,12596,12826,19517,2318,18363,7783,11501,6824,15646,2103,9191,1649,11122,14450,14516,8488,13441,2317,10224,19287,1931,14495,11117,7719,15896,13341,15170,19789,15813,13005,13022,15657,11122,1607,5437,10186,18857,16116,2183,15156,7719,15813,5835,18029,10622,18607,6507,14627,11865,14892,18866,15813,7855,7156,3251"
18,"1741,15919,4739,14627,19326,1649,1984,12909,0,12300,3536,11701,12826,286,2318,18670,19326,7719,11122,7991,12335,18161,16107,2887,17980,1029,7719,18617,7352,3715,11742,748,16636,18617,16241,0,18857,19472,15919,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
19,"7040,4095,15657,5524,15813,3772,14627,6736,8379,7516,18557,0,14167,4727,19550,3485,7719,18857,9454,6824,15250,11122,5354,12226,1593,15813,2173,15043,0,12335,18161,1705,15818,2173,16566,6507,15154,10802,4540,10399,8771,8741,7719,13764,9126,15813,15790,0,9203,6811,13764,5303,7719,9979,6507,5124,11139,6802,8842,7719,15862,5498,9301,0,8145,251,14627,11402,11193,1649,5034,2183,2960,11457,5672,4739,14627,9512,0,18857,13237,11372,15836,3484,10515,16702,0,12300,8929,8973,13660,13005,13548,10422,6414,2290,2302,2317,11122,6897"
20,"12335,10265,15657,2449,19650,10459,8667,1694,3319,8895,0,3170,3536,4514,8867,5605,14627,13007,2806,11122,9339,18575,17199,5124,2749,1325,6824,2004,15657,14627,16960,11984,1649,7313,14627,9339,2935,18575,6638,0,19507,4095,12826,251,17729,5685,6414,15997,0,11597,16848,2238,18211,7719,13509,13039,16106,11139,14825,11139,18484,15657,13169,11190,11893,6811,6179,6414,11122,19868,1649,11122,10800,7239,1245,16963,14253,6626,8208,890,857,15453,15453,7387,0,19858,1115,15896,17592,14892,17135,4739,14627,1076,9880,11256,0,3439,1649,11122"
