,user_embed
0,"0.26420735257293376,0.2054616062429677,0.28791524178382105,0.3494220700773654,0.21745411637944895,0.3111919362800474,0.35220715245705575,0.3998925130591779,0.27885074125098147,0.2699760756366848,0.4516088203212145,0.208742513020707,0.2512739747635886,0.38415436127777286,0.20274305479025823,0.26693666897740775,0.3651338402290076,0.21788045210901588,0.32423235310732657,0.22719328656378932,0.4768847527133566,0.3402461254109125,0.3330942578553084,0.1648176455948347,0.2124626320045213,0.3149439294642242,0.1861629168081314,0.22406905901936439,0.39128201169900356,0.3453990983284232,0.27528500308902987,0.32573200496763766,0.4859042685744872,0.22426715268834296,0.31389017819284054,0.3274305802517478,0.3854943967266737,0.2633465164851459,0.2956707836350379,0.44043117939738996,0.16635564068211403,0.3706234118532982,0.37243890515410305,0.3632122699623562,0.306364030308773,0.3867272521297766,0.23790974290324418,0.3700113107260649,0.4335635581638333,0.32569180202738035"
1,"0.27368187281388046,0.26057029502261764,0.21186244989040284,0.2369405255876366,0.2221060383881353,0.2959012349461949,0.29957513566846955,0.3201842703893533,0.14838042276461127,0.16773968996848682,0.19879785935763264,0.19258823403477224,0.3398873160946929,0.23878433528427767,0.2520700309488767,0.3420353407581212,0.12807272386573623,0.4701570669864747,0.29720784748530216,0.14836260153250175,0.1574356935174719,0.31723173151402406,0.21943494598773222,0.32251868112598436,0.3014407353710674,0.202519240609565,0.32705723859047264,0.24606364957709342,0.2323183139152291,0.2737077157420899,0.3835133021981704,0.3807347015032493,0.3652972757042498,0.28948084491278425,0.27434185658328925,0.2704046299088586,0.35914336252170376,0.32413844415286514,0.30426422794679325,0.3384018049690913,0.22677526770721765,0.16058721556274022,0.4120688376706698,0.33493636387627046,0.3701520434670602,0.3838716915361589,0.2582607120680303,0.2071614406842663,0.22147185222662163,0.31868106627307285"
2,"0.3013622134927521,0.29098027597888476,0.35177732376162546,0.25796371945578106,0.21177100135114132,0.2133292650987324,0.39245188884009274,0.21362707607180983,0.18436582367191898,0.2310048510508543,0.33491538606198595,0.15222457896233238,0.15727348920734502,0.13938064259314026,0.38325189255120784,0.3638707072401801,0.48510207582750864,0.2150320136685981,0.3311767439712512,0.1861239836820404,0.2707577981824533,0.45949665723916827,0.28775096175345555,0.3187138061882066,0.3505691433634331,0.3398520032665343,0.14574856923381588,0.174033895356152,0.2938772415431398,0.30004461410772354,0.4545928671349811,0.19340732406230948,0.3116410869176624,0.32290140395898737,0.4153572487609175,0.35802989353806436,0.39730907620904476,0.347807517465441,0.1634452163397723,0.4103318957863936,0.2400091826764734,0.253253103601522,0.3398589582859657,0.32892139781909924,0.3235894745960157,0.2541806068803061,0.20122099802672558,0.18474938293597243,0.40750622371018586,0.26256361567870823"
3,"0.3771562480469048,0.23897130795229748,0.275952138225135,0.33283755334785275,0.1558937185365593,0.23956522283726883,0.28040719169314526,0.058550076559134495,0.15334952759391515,0.2402302125725393,0.23022976099388273,0.36637969034452433,0.2829455418287471,0.46232466560762464,0.18223220582123564,0.3808795019436878,0.22400236492518855,0.1232842981720712,0.23924651572046327,0.24177823644667765,0.2352247233062321,0.26547437276817115,0.06575407151175364,0.29874594853923897,0.4033432391317557,0.4151422602213547,0.17710241019445902,0.026355593035956304,0.3494669879831543,0.15474556541866377,0.38904192430794515,0.14696507908263237,0.3248205546381294,0.3633676522220027,0.3208716430725978,0.17961355622337272,0.2232953212370051,0.4556586430018998,0.5311480837605688,0.48169480248771335,0.4535078561670606,0.3185772551079509,0.3038468658874856,0.33922238302909374,0.3054778989154984,0.28314772905539226,0.12491941819610905,0.3167591981442825,0.30922370705935137,0.19362722325181703"
4,"0.20660138480316542,0.07506919174666923,0.331439602143864,0.40795598437391734,0.3287729271928296,0.5215223143914738,0.33674240865176913,0.248532871814887,0.1870135620789341,0.06199158062362376,0.38930979904752294,0.4318189976862887,0.5463190438671807,0.3413120837131871,0.08532024693676918,0.4142820051945533,0.30691312857113573,0.07888206419085754,0.3079557615301807,0.3088694027797144,0.2876255991381782,0.3214316314045437,0.37156662897333004,0.3571532770333443,0.33289734275169897,0.43903896933227465,0.2594983232720029,0.2619689255843912,0.3306699514614753,0.5232218574418611,0.3309389548956639,0.44754050622245184,0.43414857433179416,0.15203049779001035,0.25733180514902226,0.0795179667763068,0.2240737354009676,0.25066383267777415,0.5894229337086917,0.35214662536090213,0.48141939438959347,0.4679438941670497,0.17598763391108413,0.4660904803578034,0.33004508607663113,0.2512549304312263,0.4579647765412561,0.3076034600907441,0.36785374012833516,0.1729021573553148"
5,"0.37628252803855605,0.17406999648203886,0.30059662039692253,0.27285296460578956,0.4386659528638298,0.39564924270715657,0.24086655408369942,0.3495885680282267,0.38890130917804183,0.05972254552143565,0.28729162415969367,0.38354493616979474,0.3376245407963199,0.24079859304803816,0.43186447864433897,0.23535456409839492,0.30594994230078587,0.3818969858873377,0.29682342436004955,0.5505814891381081,0.3287835514706784,0.31735235802814615,0.24842599068031507,0.27838756874125253,0.2503731514668923,0.3411569618479126,0.309199971193406,0.29566029442669567,0.30799102561747865,0.2313138205907232,0.31957137326260965,0.34018625055134905,0.2856152921524544,0.49611561850737684,0.3158654609170551,0.32740546080419336,0.20832122531224156,0.12115045203256816,0.2183403833802065,0.39987563448003305,0.29568755275745184,0.4341337369636989,0.3278723787832034,0.4700709368623431,0.48589754854361317,0.3192333821066546,0.2524310339115077,0.25361590097409237,0.11844325852225263,0.15814681040703185"
6,"0.4208317382737761,0.32252429335466537,0.31205629889131176,0.43737369823689987,0.18326754490664662,0.5122327902494944,0.23985511010723426,0.4354138994295147,0.3245483871850996,0.2356680629089566,0.1242656275505783,0.1743968459067011,0.2906136384835791,0.316504546023735,0.4254254768794079,0.4399793816602549,0.21725739397078148,0.4346451518287946,0.44791878285978887,0.22290738834065696,0.16080021848550957,0.14420413718924596,0.05481868271346254,0.3335397885911746,0.2756256996681106,0.30838235857587354,0.3275759014050194,0.1414575877764807,0.33526074668848377,0.4342706805766154,0.21952511529537275,0.19355462061304887,0.335178290364234,0.3459398596872972,0.29367654305343277,0.30882810469162275,0.22441759748531154,0.3051770363362619,0.42473714691724207,0.11068808434909798,0.17500182173883586,0.23870097820843192,0.050445053672996676,0.501585702504272,0.4038807864893526,0.16595031452391384,0.2119182001858466,0.513109718066321,0.377823203883769,0.08606485835781004"
7,"0.3216792947251406,0.33272632505162125,0.18847493933783085,0.2760571408232509,0.1162236162655781,0.39623002961697973,0.255508003520066,0.23539270313128893,0.35508090887291655,0.28605394192861194,0.1354640423845908,0.30940809737712277,0.3606107587213114,0.19270581220186792,0.28325952811790006,0.2892041637289019,0.23863430256082907,0.29600515472105043,0.2290242523483123,0.20082493351639666,0.3427505928366546,0.2880027441293056,0.13457793679448873,0.2710759644101247,0.3307452571849933,0.27124512949754503,0.21668872412068657,0.36919663311503387,0.17181468217520476,0.22394063585069338,0.21068777608953113,0.2021514173434282,0.3328286153028683,0.29017876654835667,0.19648458580810027,0.30383500759065035,0.27622739446480826,0.16043957314220986,0.22696181698378107,0.2477197675262306,0.2544498867499069,0.3578386354325211,0.20627073852232222,0.21754805032063582,0.33091157136029553,0.3469397505308016,0.2164631283768676,0.301681194053627,0.2670147107963478,0.20187358636496694"
8,"0.06944808982485108,0.17391193357148693,0.5127719292359476,0.47895137616461125,0.5923701570420112,0.015356389159763824,0.4149904165546724,0.22507946465836484,0.1704734789531004,0.32975252970105323,0.36199667312428724,0.2840315952686214,0.06573155388200408,0.1726991808754229,0.2138621734628086,0.1882189616613712,0.22334678217038023,0.08887024422331527,0.5398642778419328,0.34703690323092534,0.2090848459329859,0.21449788566210898,0.39762908302184613,0.18604493066855723,0.26897285847672714,0.003763641759073607,0.28352768769626574,0.32264094750693617,0.3986274713673115,0.22633013228076207,0.4518766372159123,0.2966460785908875,0.19836997003866616,0.20958885173387548,0.1073288946084977,0.06218417159506322,0.2958290746918795,0.21209199327800374,0.4675319095909432,0.24752795084040663,-0.008395090195918742,0.29776233716441286,0.18127689005338946,0.43687369562832995,0.18700913472695507,0.33657226086976316,0.25763388629749917,0.1253060337447856,0.3465145265182422,0.4430072601596209"
9,"0.2631284320832437,0.35888830816766504,0.2652928138484556,0.1599617187375711,0.2633595791351461,0.3119918298310535,0.2546730367440969,0.22490038768553902,0.23376572921199257,0.15140203324125787,0.1971543452749002,0.37461938967724756,0.27275224315473917,0.16394558292749328,0.1348139446088959,0.3717425646437373,0.26930741340531833,0.2876413654928252,0.4505315866630297,0.3050086563931089,0.28409417504946544,0.01398059041132506,0.23308404995769766,0.18348009002921514,-0.04032101657949467,-0.028802412486013812,0.1184459445959967,0.0855724001674792,0.35082777685108407,0.17385190204508932,0.09649633414459954,0.19127099060176778,0.3588996854763333,0.1549459401942927,0.291812788212317,0.06879634612276465,0.29290621208812384,0.1891471048838158,0.20242305214578785,0.2824185833223556,0.11627869945317369,0.2142090560339179,-0.017883139271890804,0.382465440555941,0.1541115807049804,0.19227513463943094,0.14591646543471046,0.3688227965304109,0.3133674850565773,0.014070098163744368"
