,user_embed
10,"0.3415605476611326,0.4688569583294353,0.33380668852102763,0.3789550800343667,0.41367920495564203,0.3239684858262929,0.34939457604794644,0.3918766386181561,0.2905362381385864,0.34800694645226915,0.22752810282335553,0.3097870716261299,0.3922432646333349,0.41487942404004524,0.2535661705860359,0.4753889061336578,0.10506898629068094,0.3810912505082221,0.4542096701359194,0.5040072584910011,0.3076728816158557,0.36595950736891686,0.41527909142285274,0.22398798354573846,0.33336465267645105,0.5064810664118564,0.40755065366963655,0.3536908468563513,0.2781684527416544,0.5279302441178152"
11,"0.3205546497021528,0.27252264435714446,0.26256136360596055,0.15633349073814362,0.31368103821991367,0.16586945422504948,0.27822409650946284,0.25752590356887917,0.4661087910051751,0.514283499398958,0.400680641824304,0.3324596545802783,0.3955109004297768,0.2412834067320781,0.10946659365091777,0.409986593352199,0.24285379283878353,0.42581182674601004,0.4906702760101334,0.17971492242154605,0.3582382924396182,0.4801735480845743,0.3967063289669901,0.41878551119934737,0.4870675268533864,0.327827213014565,0.1861721943150628,0.3999333271013075,0.42984598395490586,0.5331950592939464"
12,"0.12098856405831006,0.17313992265927014,0.2319701345929971,0.3806027503485837,0.19344700723647887,0.40900561235901045,0.4603171026278555,0.26206051903679645,0.22564689867096985,0.5610175253270063,0.2482051733510743,0.30876476427556726,0.36788099241170275,0.17226673349856414,0.3579707661228202,0.29856881615557934,0.05767129597666108,0.4307555726624535,0.10668221848106134,0.42593117882579845,0.37051003026762974,0.33853335328669976,0.5354761150212638,0.4435000295557489,0.4068681600529627,0.5933773348456797,0.3804442618076666,0.6608890119736627,0.21107017700927355,0.22748209900725302"
13,"0.293951029800632,0.2374876085398241,0.487484209311152,0.40704452007033826,0.3075539205892752,0.5082990830115071,0.24934857713537326,0.3019748391037044,0.19711560292376967,0.30353401093093535,0.11463358365597032,0.16366621858541408,0.07891296676734122,0.2732159463047563,0.39047889790046486,0.46372507753009684,0.574472531707988,0.21698208930735033,0.24681179681970986,0.5232677589155754,0.31483590867545513,0.43855504711124754,0.5380980793559845,0.20731278397937308,0.2015674260572856,0.3646914859180463,0.5860563537454684,0.2744845961770563,0.48796200058048467,0.3042295994862775"
14,"0.26508955763932085,0.5242784910981887,0.26126641879916884,0.30017574495611365,0.5339617514168926,0.2532087792066212,0.22765135114374027,0.5655347825299802,0.37074726042532696,0.2898759915857545,0.594316172212674,0.18630929294413656,0.1929471275227689,0.49141317284587105,0.20669864852286177,0.49577618083772834,0.35328737950749,0.12146109820754812,0.45379331714766435,0.3214190309429757,0.3143356631163832,0.3364918764649649,0.5167045955136484,0.2533387215048917,0.4371720113447953,0.19450621737479887,0.2902849512041166,0.3159421344200551,0.3154724418833373,0.46789967563392937"
15,"0.29647172938430916,0.41310147091490135,0.5284865386926663,0.2954027615861815,0.5066500851492074,0.5427804363146059,0.4558795453784395,0.5325465887920889,0.49580779786628854,0.5578664443753005,0.6595116103096713,0.47904826547869434,0.20785167305718108,0.38217193861345966,0.26542772933229297,0.4000488415091549,0.2778051163621226,0.2066962790497214,0.2872794180357647,0.29039168159927264,0.27934126841590434,0.5938598383073382,0.45652996578356086,0.43769210803218117,0.34558372557824474,0.385180380355358,0.3476601855957326,0.42199744935164096,0.5090222709787874,0.524958626066822"
16,"0.4569858370961789,0.41826587721440556,0.48958393098320996,0.2704680219158026,0.40021470659356456,0.36679037871318704,0.45399133758073906,0.2423674940700202,0.31073560911355813,0.3109086836861981,0.40443959109418604,0.4533062596646989,0.25906915542789505,0.34456310043583865,0.22186927558014613,0.3163399843981322,0.2730192487087423,0.4251310000516142,0.45672675505587934,0.37331502858818344,0.25626032976960655,0.38424953841092785,0.22174470121665818,0.24993357610489633,0.5328505024558138,0.48324806311364316,0.6089463633253518,0.5486857449442235,0.45237793057864545,0.4644347798158146"
17,"0.44454968336820466,0.42524630937280666,0.5586220720986093,0.34683404330025064,0.43552034044910265,0.44665566150432257,0.4331462628382603,0.33184697716929384,0.3435224211628045,0.3262710290346033,0.29732986144489965,0.4808500377648298,0.33688560573304704,0.27585089715791367,0.2934046841816385,0.48953881744156574,0.363935503271208,0.38159791148521927,0.5220628495467916,0.4786814925191747,0.35670857261099265,0.41798384916607617,0.26574908266637914,0.27837482652667456,0.30872702682877184,0.3672912571427122,0.532519088332398,0.4345050517715012,0.33569595862621754,0.4769913243657125"
18,"0.13245621769424887,0.5046867420204312,0.49975270375407066,0.42676317166987643,0.13211967215516743,0.49366572211410314,0.5259990507594302,0.10233703713566016,0.6308618391679147,0.1549182459660213,0.3049760129733325,0.465326982111266,0.2723316939032565,0.4524228888809534,0.2555110371289175,0.3937366946376824,0.3618565115926759,0.6152475734514568,0.24414983847074193,0.4956661565411354,0.46861718125253665,0.41748592386314026,0.5750782225892963,0.29057007797609635,0.4891591039407777,0.3974373867328145,0.3518327411089353,0.12092187460808138,0.33279283603391807,0.4654033535248441"
19,"0.31634445283551355,0.3543010023799321,0.41877648094764686,0.6586789322630834,0.3248201122477499,0.34969738951927926,0.47383265364145033,0.7030750933875777,0.47113734649223715,0.49653415194226047,0.3944992840921842,0.1642560572627225,0.25633738692533836,0.3287471715632897,0.3584023619819893,0.3486291962132396,0.22452793050770764,0.2825731136327515,0.3650095376999286,0.4913995921895461,0.6011749736212183,0.41902042746461904,0.512725554553054,0.4717024413201353,-0.048258796593862015,0.14310436799900336,0.2561413229336759,0.29931849119904635,0.34864805969154405,0.263886377236278"
20,"0.4539008287092937,0.48211384244680955,0.4417446062415736,0.2050040721320665,0.3254749775166861,0.08102058712494761,0.28383305946353654,0.34936820156958975,0.29143373521826166,0.2694500293876368,0.6127144647858628,0.4012338691963707,0.434843670743388,0.7179639318482278,0.37973709737513006,0.5619877948065651,0.2794716425354906,0.2040647891525882,0.19858652624455728,0.44115694621816254,0.557011676112253,0.44531835155024935,0.4157668492577305,0.5138368419028115,0.3253039041087191,0.28056803505323347,0.3933652362882092,0.15996651834412964,0.4793771845770484,0.29216262388831515"
