,user_embed
0,"-0.18907733,-0.11071697,-0.2578724,0.5427346,-0.06041936,0.18334942,0.12640288,-0.28148755,-0.1494629,0.46039048,0.66675574,-0.12312833,-0.14249416,-0.46262687,-0.077557415,0.093292795,-0.08437759,0.18317652,0.08672194,-0.0015782092,-0.54775375,0.376753,0.57894135,-0.35834455,-0.5008327,-0.49250495,0.47189477,0.54683757,0.6596684,-0.17595491"
1,"-0.021895183,0.05648839,0.08212327,0.26616248,-0.35256174,0.06613515,0.12297449,0.036230072,0.22975658,-0.5479246,-0.05203798,-0.24519216,-0.043479614,-0.21970777,0.24631822,0.15866396,-0.122924685,-0.039789885,0.058613278,-0.037626896,-0.12908825,0.15185031,-0.078337915,-0.116372444,0.07219024,-0.21009766,-0.021699503,0.0014576394,0.09086704,-0.40289053"
2,"-0.53752315,0.17082158,0.5613653,0.04543648,0.4676255,0.062880464,-0.47951582,-0.29959187,0.3145159,0.689198,0.04098552,-0.28495368,0.19458033,-0.11139642,0.24249695,0.7139926,0.3818338,0.531716,0.42801473,-0.3069552,-0.53521425,0.48217925,0.27170885,-0.8187318,-0.3706345,-0.7249114,0.2326326,0.018022852,0.5793273,0.7004926"
3,"0.6200774,-0.13495952,-0.42509076,-0.25506902,-0.45741454,-0.4013446,-0.28080827,0.03608272,0.36669034,0.66991365,-0.1556709,0.20778018,0.0062300614,0.14316574,0.11573727,0.06393885,-0.4727343,-0.03993682,-0.12534901,-0.30544248,-0.26896095,-0.52383536,0.5668357,0.36791176,0.34165248,-0.3884812,0.21537769,-0.4014962,0.32784814,0.22987597"
4,"0.5585248,0.14590704,-0.21968992,-0.24283671,-0.5997553,-0.3038288,-0.34776464,0.30587906,0.42483464,0.14390536,-0.4660581,-0.058219098,0.029002551,0.1345033,0.59257656,0.0074122273,-0.26281303,0.17167869,-0.2627346,-0.18757091,-0.26360813,-0.02422102,0.2058878,0.026083993,0.34522247,-0.3613395,0.44415334,-0.6354965,0.4593112,-0.19847143"
5,"0.10653773,0.54592067,-0.69030666,-0.3420633,-0.30735826,0.18812661,0.103542864,0.019744275,0.39012253,0.49886715,-0.4697852,0.29389495,-0.4612498,0.45753503,0.11796607,0.20527431,-0.23145095,0.56177807,-0.5211329,0.21461567,-0.51321197,-0.55219996,0.49278954,-0.21809357,0.17688523,0.21974818,0.21154793,-0.34352335,0.45539886,-0.39810216"
6,"-0.17373356,-0.08743461,-0.28361824,0.23305131,-0.39582154,0.20985386,0.4932013,0.19564706,0.36860335,0.6860921,0.28269565,-0.5165873,0.3312119,0.24840711,0.66039896,0.6410781,0.003620019,-0.46635446,-0.5176022,0.16412148,0.059217937,0.3566504,-0.34530813,0.09003356,0.24821678,0.575294,-0.14126135,0.32061455,-0.10705702,0.39767322"
7,"0.50931495,-0.507034,-0.35084876,0.2583811,0.09802992,0.031836756,0.36977497,0.55221456,0.3193579,0.21586668,0.14600936,-0.4139675,0.2908499,0.5772522,-0.2778621,0.45542938,-0.14761591,-0.3987085,-0.28021774,0.35190597,-0.5090314,0.7213593,-0.2828803,-0.22063352,-0.13385168,0.08832319,-0.03500611,-0.2901895,-0.43079925,0.3685755"
8,"0.1251498,-0.1262703,-0.22873676,0.22636278,-0.2416181,0.16010948,0.25568268,0.25854173,0.18660042,0.3731478,0.2596092,-0.34793973,0.13871765,0.22214048,0.31744397,0.41074228,-0.08946009,-0.2805825,-0.2435774,0.18257745,-0.18017566,0.34532788,-0.2879054,0.017282816,0.15786837,0.26550785,-0.07086713,0.20319417,-0.19419098,0.22262967"
9,"-0.2803662,-0.20354423,-0.152184,0.26583877,-0.083754405,-0.36368296,0.20601082,-0.2891856,0.14869434,-0.13273124,-0.04150171,0.2880985,-0.2708857,0.22228521,0.14877436,-0.29425788,0.2855081,-0.30718806,-0.10771042,-0.19492766,0.1949107,0.19029249,0.2132328,-0.28780794,-0.023830697,0.07337451,-0.20600845,-0.3190364,0.25048783,0.1967339"
10,"-0.5846944,-0.15872657,-0.21271226,0.26841685,-0.23797676,-0.34389392,0.44976103,-0.3566278,0.33650172,0.18695918,-0.020897174,0.10980497,-0.08061082,0.21544771,0.49278352,-0.082418084,0.3777049,-0.5032894,-0.38012597,-0.1895822,0.42607418,0.19836403,0.14962995,-0.21024607,0.06708221,0.36517113,-0.28319654,-0.20085645,0.34310207,0.3805756"
11,"-0.32914898,-0.237342,-0.19743787,0.30518034,-0.077661954,-0.48723453,0.2042845,-0.35320464,0.1735168,-0.151478,-0.06233347,0.39992827,-0.4267513,0.299958,0.17177145,-0.38273448,0.3697287,-0.38160372,-0.047825538,-0.23239173,0.18604419,0.2184883,0.22851178,-0.3691499,0.006567875,0.05043121,-0.33251074,-0.41363943,0.23642795,0.32637724"
12,"-0.25896174,-0.28876734,-0.21485463,0.41074565,-0.13145223,-0.43932194,0.19988339,-0.3583094,0.12772585,-0.22778288,0.020048572,0.41586995,-0.43140882,0.31385526,0.16972606,-0.42602697,0.30752137,-0.37167853,-0.104735754,-0.22102627,0.16351521,0.29022905,0.2865332,-0.4052811,-0.052352965,0.07220302,-0.21374045,-0.3628136,0.289816,0.17120436"
13,"-0.28049004,-0.20298328,-0.15271293,0.26516458,-0.08287885,-0.37081617,0.20610309,-0.29078308,0.1486979,-0.13271976,-0.04158583,0.2883866,-0.27171633,0.22221887,0.14877623,-0.29342508,0.28882295,-0.30659196,-0.10769217,-0.1941048,0.19392838,0.18947764,0.21234034,-0.2879335,-0.024231788,0.07274204,-0.20691171,-0.31827065,0.2512787,0.19606762"
14,"-0.1913027,-0.19231461,-0.3507475,0.3436062,-0.5413336,0.619224,0.5159797,0.18127026,-0.3609718,-0.19407645,-0.5728001,0.6999551,0.3342701,-0.21929242,0.31138015,0.0021414713,0.5722361,0.27303973,0.27459612,-0.27202004,-0.5684517,-0.07789559,-0.102827236,0.58013797,-0.41191223,-0.22330907,0.3047844,-0.16912834,-0.3689401,0.5163384"
15,"-0.35797268,-0.4725938,0.23014927,0.51916903,-0.49435014,0.005400852,-0.059371393,-0.24358776,-0.554155,0.24222854,-0.6918174,-0.023363713,-0.18051541,-0.33207497,-0.2151351,0.31270778,0.5811226,0.3765199,-0.12043498,0.08259207,-0.4415053,0.24122402,0.29613006,0.63986266,0.11054818,0.308881,0.2345646,-0.40784815,-0.5051753,0.009011751"
16,"-0.33253747,-0.28320286,0.38855463,-0.17998484,-0.5373251,0.06834061,0.07982482,-0.17341612,0.508536,-0.3997486,0.23160054,-0.21734495,0.4677686,-0.1969811,0.006402291,-0.007986149,-0.5188893,-0.37176445,-0.01443405,0.08722404,0.055571772,-0.13625567,0.6181242,0.26316264,-0.35430095,-0.469655,-0.14300692,-0.15329047,-0.24593303,0.0011438398"
