,user_embed
17,"0.2646988,0.27610305,0.2737347,0.28279218,-0.18962578,0.33825558,0.0844685,0.022822738,-0.17791897,0.17943665,-0.11048457,0.33771464,0.3977299,0.09319623,-0.15223679,-0.0057774517,-0.11114747,0.00058276736,0.2963676,0.37201452,0.23369883,0.3207972,0.2723122,-0.026944373,0.26184228,0.06574815,-0.3658873,-0.15728782,0.3706785,-0.024169989"
18,"0.4088773,0.43857837,0.43497378,0.44887835,-0.31180277,0.5366069,0.12805095,0.03554478,-0.2774717,0.28026062,-0.17256978,0.53308165,0.6393376,0.14840165,-0.23989215,-0.011437946,-0.1856952,-0.0016221281,0.4745097,0.5902189,0.36982214,0.5064928,0.4382836,-0.041250825,0.41214758,0.1008383,-0.59207386,-0.25096986,0.57379955,-0.029545533"
19,"-0.4672953,-0.18710458,-0.36071342,-0.38021398,-0.19028954,0.3087902,-0.06944435,0.26860493,0.2117964,-0.1729012,0.2667471,0.42069337,-0.5340722,-0.584234,-0.42856297,0.30353752,-0.4521627,0.07541929,0.08482213,0.24797937,0.39484215,0.47810078,-0.44305697,0.051050164,0.4868007,-0.1876616,0.26423967,-0.33508453,0.24181485,0.4354858"
20,"-0.23735948,-0.3809487,-0.16515633,-0.16443235,-0.310451,-0.183762,-0.5278329,-0.43636772,0.28569192,-0.4857611,0.2289316,0.41853923,0.4281646,0.4123806,-0.31171402,0.3620296,-0.23860015,0.5114405,0.0525311,0.24956563,0.21576521,0.19518834,-0.29134092,0.14027889,0.13041393,0.35884157,0.36815032,0.22946613,0.25873595,0.34660348"
21,"-0.45494953,-0.56944466,0.18454035,0.395747,-0.22574463,0.27634868,-0.55818546,-0.3903641,-0.2394961,0.0027993023,-0.21086639,0.18837911,-0.077256694,-0.018534578,-0.42674088,0.45967183,-0.7967006,0.5549202,-0.7050299,-0.12818322,0.60720676,0.1556763,-0.20718133,-0.04956663,0.23963732,0.25636345,0.34743282,-0.299982,-0.081132084,0.3973294"
22,"-0.448468,-0.1869966,-0.37026963,-0.38014612,-0.18666077,0.30789974,-0.070222534,0.27355725,0.20986186,-0.17139173,0.27027854,0.4220951,-0.56756854,-0.579606,-0.42629611,0.29347008,-0.44730225,0.077326916,0.08942552,0.2461204,0.39521632,0.49706963,-0.44431072,0.046603896,0.49303833,-0.1879656,0.26858827,-0.3339281,0.23972313,0.42893967"
23,"-0.40551728,-0.3018904,-0.4571884,-0.5052713,-0.36352837,-0.13279614,-0.3326211,-0.14388333,0.50988525,-0.5265806,0.41948402,0.57450825,-0.0138235325,-0.124812424,-0.5281312,0.43290615,-0.09022571,0.3489927,0.3151791,0.5223384,0.19418615,0.5090011,-0.5167367,0.3139733,0.44426498,0.20161206,0.3956086,0.076114684,0.47221258,0.40763307"
24,"0.06112483,-0.12062077,-0.08764995,-0.123419546,-0.17293775,-0.43255317,-0.25110045,-0.40949044,0.30171564,-0.35515556,0.15978956,0.14239128,0.5556217,0.46835494,-0.11818146,0.13146603,0.35073906,0.26594853,0.22112155,0.25306368,-0.19017988,0.030361295,-0.04118237,0.26760015,-0.06211365,0.39704266,0.204286,0.40649274,0.23583172,-0.03418985"
25,"-0.101436995,-0.034591563,-0.38644716,-0.4751142,-0.22625847,-0.37197664,-0.058077134,-0.097727925,0.52385056,-0.37918818,0.35730565,0.292263,0.107730806,-0.064948685,-0.32578862,0.18312964,0.50698626,0.091272295,0.4866519,0.5313104,-0.2116266,0.37050563,-0.24199457,0.44139656,0.23869996,0.25037464,0.29920888,0.25286514,0.4428349,0.017992593"
26,"0.060816504,-0.12075757,-0.08829166,-0.12733133,-0.17347865,-0.43521455,-0.2502841,-0.4074791,0.3013858,-0.35423413,0.1601893,0.14208524,0.5548135,0.46765125,-0.11661908,0.132309,0.35168037,0.263057,0.2224083,0.25519,-0.19141577,0.030669115,-0.04124105,0.26771528,-0.061892964,0.39495286,0.20316027,0.40634134,0.23501427,-0.034216635"
27,"0.6261365,0.4136515,0.5647818,0.3050341,-0.35665852,-0.63732165,0.2761014,0.4238543,0.5113137,-0.019347792,-0.17717247,0.49118707,-0.41202167,-0.41815716,-0.15825781,0.12392979,0.15579697,0.29063666,-0.38953498,0.31570202,0.41382417,0.0521467,0.17709051,-0.21098252,-0.4709498,-0.0055888765,0.25387025,0.6145383,-0.35600236,0.42087165"
28,"0.40787104,0.27619684,0.36566144,0.19601904,-0.2323931,-0.42096457,0.18424453,0.27283278,0.33016768,-0.005038922,-0.118100144,0.31803843,-0.27447852,-0.28440467,-0.10019001,0.07345811,0.100702435,0.19248058,-0.2610429,0.22966892,0.27130932,0.03587577,0.10908735,-0.1398058,-0.30981907,-0.0021582886,0.16647722,0.41485423,-0.23107995,0.27191502"
29,"-0.256027,-0.39376283,-0.24865134,-0.22535454,0.026993258,-0.28808486,-0.47398657,0.54221743,-0.32370162,-0.060949985,-0.40000486,0.40097734,0.34238207,-0.46534333,0.14124133,0.44194934,-0.07130535,-0.39580804,-0.093591206,0.115856595,-0.14159273,-0.1414364,0.20621417,-0.46781093,-0.1608808,0.26423457,-0.37145552,0.32064578,0.16168106,-0.16900067"
30,"-0.25714764,-0.39318502,-0.24895306,-0.22333811,0.026015902,-0.28826988,-0.47349095,0.55175316,-0.32376668,-0.06222962,-0.40086085,0.39233595,0.3488166,-0.46769795,0.14153676,0.4423129,-0.07106305,-0.39523554,-0.09426919,0.115225494,-0.13560958,-0.13920903,0.20570108,-0.47073975,-0.15887563,0.2699076,-0.3684551,0.3199785,0.16374837,-0.17088787"
31,"0.522846,-0.5961226,-0.33397877,0.17959939,0.414411,0.33591634,-0.32793793,-0.24738923,0.1244548,-0.25629148,-0.21520181,-0.40003684,-0.36777008,-0.25599042,0.6023719,-0.12808679,0.08838962,0.4461882,-0.08604304,0.7674714,0.24014828,-0.0790522,0.12195165,0.3693887,-0.38095644,-0.11711873,-0.5192983,0.050083175,0.4013662,0.28271168"
32,"0.15219067,-0.20230076,-0.113958284,0.31309497,0.28810894,0.16471682,-0.23546821,0.3488338,0.17807227,-0.17731911,0.18401532,-0.28759453,-0.23531628,-0.06904613,0.3322901,0.16897772,0.096219376,0.27205467,0.3217784,0.18921575,0.30574778,-0.30699366,0.30976558,0.2901003,-0.34214035,0.3641685,-0.103118025,-0.30110157,0.2280354,0.19759674"
33,"0.15221035,-0.20224266,-0.11376605,0.31432846,0.28860176,0.16557758,-0.2361808,0.3509844,0.1783307,-0.17815408,0.18455951,-0.28808022,-0.23598702,-0.069379374,0.33530882,0.1691009,0.09373563,0.2695895,0.3177252,0.18945102,0.3038907,-0.30361876,0.30943775,0.2897967,-0.33961734,0.3656807,-0.10275337,-0.29976338,0.22833808,0.19455335"
34,"0.15132481,-0.201787,-0.11407245,0.3148556,0.2833461,0.16489334,-0.23640642,0.35349956,0.17765833,-0.17797525,0.1851814,-0.28713888,-0.2351139,-0.06916843,0.33512047,0.16909581,0.09403073,0.27075344,0.3199955,0.19256327,0.30568466,-0.31021535,0.30994517,0.29205698,-0.34368405,0.36639792,-0.103232026,-0.29997852,0.22788067,0.19450216"
35,"0.15210581,-0.20090616,-0.11460652,0.31260705,0.2878602,0.16489227,-0.23528045,0.34816116,0.17848131,-0.1774227,0.1844814,-0.2924592,-0.23640278,-0.06961101,0.33393723,0.16858338,0.09428035,0.27099735,0.322888,0.19233271,0.30373508,-0.30637085,0.30879292,0.29187173,-0.33902633,0.36575916,-0.10352675,-0.29893026,0.22818327,0.19494723"
36,"0.15225032,-0.20280525,-0.1142594,0.31193677,0.28761363,0.16532946,-0.23610951,0.34942654,0.17823914,-0.17720118,0.18509378,-0.2899344,-0.23763601,-0.06962081,0.33522457,0.1695321,0.09411025,0.26887298,0.31927836,0.1929823,0.30296516,-0.30873585,0.30960318,0.28927124,-0.33556134,0.3673088,-0.10410417,-0.29542702,0.22786285,0.19518544"
37,"0.15698968,-0.20344098,-0.116186015,0.318199,0.2953672,0.16254552,-0.23333815,0.34943458,0.17762122,-0.17533365,0.18489511,-0.28770396,-0.23413217,-0.07030046,0.30259624,0.16813979,0.09464669,0.26944163,0.31991473,0.18674143,0.30359653,-0.3101904,0.30996284,0.2908052,-0.3402037,0.36582324,-0.10673587,-0.30164763,0.23174171,0.19977663"
38,"0.1515447,-0.2028123,-0.112908944,0.30451855,0.28875315,0.16568056,-0.23573226,0.35316354,0.17875914,-0.17786463,0.1853214,-0.28941604,-0.23543449,-0.06964799,0.3364042,0.1676837,0.09650926,0.27030113,0.31809935,0.19155058,0.30362114,-0.3030969,0.3159048,0.28992477,-0.3385667,0.3666206,-0.102225035,-0.3013296,0.22712715,0.19553992"
39,"0.06098704,-0.39254236,0.051062465,0.023587985,0.333358,-0.023885615,0.60685295,0.099609725,0.046504274,-0.06706281,-0.10298354,-0.048449554,0.2813732,-0.085934766,-0.33193034,0.45629698,0.30990335,0.037443563,-0.27137816,-0.21175614,0.3669544,-0.18161084,0.16301925,0.11192304,0.10572674,-0.22644308,0.25408438,-0.058929313,0.43939394,-0.47103536"
40,"-0.21792307,-0.38111606,0.26378268,-0.21216425,-0.11182516,-0.13164276,0.28634205,0.35874873,0.12608258,0.28837252,-0.3524281,-0.046827998,-0.26166305,0.29432306,-0.040857088,-0.21044487,-0.42600396,0.376662,0.2994489,-0.33078527,-0.037585746,0.3136453,-0.20191975,0.32722318,-0.3687284,0.13532971,-0.32574585,0.2998187,0.31926385,-0.18151648"
41,"-0.21771082,-0.38116533,0.26423955,-0.21079408,-0.111678235,-0.13170487,0.28715354,0.35888168,0.12658547,0.28738222,-0.34890407,-0.046235442,-0.2617282,0.2956152,-0.041268244,-0.20913853,-0.41716853,0.37448046,0.30057874,-0.33020744,-0.037878186,0.3133162,-0.20170127,0.32718495,-0.36891437,0.13517898,-0.32555306,0.29997548,0.31955007,-0.18267508"
42,"-0.21833208,-0.3815856,0.2633923,-0.20986597,-0.11289149,-0.13269587,0.28617918,0.3612291,0.12652497,0.28778327,-0.35680932,-0.046541218,-0.26013955,0.2946994,-0.041177534,-0.2092202,-0.42635995,0.37445804,0.30023304,-0.3302547,-0.036736865,0.31223845,-0.20145804,0.32694268,-0.36979914,0.13538861,-0.32606027,0.30082202,0.31963763,-0.18148379"
43,"-0.21831672,-0.3812626,0.264013,-0.210476,-0.11269014,-0.13173471,0.28557187,0.35881832,0.12590738,0.28833458,-0.34953624,-0.046816606,-0.26063424,0.29593787,-0.04151414,-0.21019082,-0.42761597,0.37733746,0.2991917,-0.33027607,-0.03650013,0.31055567,-0.20117047,0.32725018,-0.3699494,0.13550134,-0.32581687,0.3008642,0.31842077,-0.1812751"
44,"0.1396447,0.12350867,0.62280333,0.3933861,0.28096315,0.41919836,-0.6082106,-0.2210504,0.6869246,0.11696846,0.09917215,0.7112128,-0.29911634,-0.14536534,-0.12500113,0.23550332,0.06593641,-0.7875792,-0.3945556,-0.2037707,-0.6093549,-0.03332655,-0.65849686,0.5298189,-0.37545794,0.19211365,-0.18226995,-0.24089365,0.3352605,-0.4372266"
45,"-0.38774365,0.20828322,0.0006817988,-0.0077747363,-0.5228738,-0.50723577,-0.10495171,0.34254587,-0.6590242,0.29039583,0.6793697,0.13747993,0.044282347,0.44004077,0.04457512,0.16550015,0.26524556,0.25217143,-0.4061297,0.6391088,0.20857424,-0.3471201,-0.63274527,0.1650905,-0.6418283,-0.6694341,-0.35799325,-0.5435123,0.18676156,-0.2894442"
46,"-0.2308656,-0.24692571,-0.13810839,0.3535469,-0.30396405,0.2937711,-0.38404885,0.21178974,0.40457645,0.3210035,-0.40910777,-0.23622061,-0.047712598,0.2386199,-0.33936095,-0.37549606,0.30859774,-0.30020544,0.33016986,0.28136185,0.32590136,-0.35381413,-0.19205007,-0.24585892,0.055079944,-0.28197676,0.28904736,0.26797268,-0.013862403,-0.1583439"
47,"-0.23057358,-0.24655806,-0.1374962,0.35190716,-0.30243337,0.2932836,-0.38654095,0.21337695,0.4061686,0.32179484,-0.41040587,-0.23533389,-0.047968592,0.23914368,-0.34055072,-0.37542,0.31717262,-0.30061024,0.32962093,0.2804844,0.32689852,-0.35442278,-0.19366795,-0.24602711,0.05617792,-0.2827584,0.2903657,0.26735002,-0.013857526,-0.15893085"
48,"-0.23087928,-0.24622177,-0.13722163,0.35086697,-0.30321768,0.29326206,-0.3817666,0.21309194,0.40502343,0.3214664,-0.41027164,-0.23595957,-0.04838189,0.23812103,-0.3375543,-0.37526426,0.31912437,-0.29978827,0.32896084,0.28271002,0.32271472,-0.35685366,-0.19438477,-0.24458624,0.05618806,-0.28325123,0.2897258,0.26811856,-0.013045841,-0.15885429"
49,"-0.04139073,-0.10869271,-0.023933794,-0.28574634,-0.006834065,0.08935841,-0.33702603,-0.06927883,-0.07535929,0.4538198,0.3614699,0.34580347,-0.15459253,0.1587439,-0.04190758,-0.3357766,-0.15507028,-0.18563779,0.11914423,0.14260708,-0.12119401,-0.08386361,0.35301557,0.15139237,-0.12496827,0.11252728,-0.13366327,0.14972895,-0.4248378,0.46998888"
50,"-0.36946386,0.35049725,-0.22048002,-0.15754205,0.030592898,0.3459582,0.28529605,-0.15181825,0.27799904,-0.035229575,-0.20431323,0.10588956,-0.26329452,0.24301015,-0.2044044,0.19236995,-0.07507325,0.29939377,-0.18011719,0.32601827,-0.27063265,-0.30667192,0.2448042,-0.2776005,-0.1419304,0.24917659,-0.20054027,-0.02433433,-0.07210538,-0.20347224"
51,"-0.36830643,0.34827483,-0.22092521,-0.15626411,0.031149,0.34658062,0.2845436,-0.15169851,0.2767496,-0.035857793,-0.20417601,0.10569377,-0.2632537,0.24632,-0.20577544,0.1941325,-0.07616787,0.30080855,-0.18098678,0.3142665,-0.26983622,-0.30712545,0.24290228,-0.2785765,-0.14141826,0.25354558,-0.19933164,-0.02446061,-0.072055645,-0.20311399"
52,"-0.63071376,0.45290652,-0.13403246,-0.20804837,-0.108997606,0.4787083,0.34748363,-0.28804532,0.46297655,-0.17831308,-0.24636139,0.06614992,-0.28084993,0.2592494,-0.1361754,0.32193595,-0.18538497,0.3448877,-0.14149822,0.4047418,-0.29323152,-0.46463892,0.33136642,-0.33835062,-0.15304004,0.252709,-0.41657495,0.0509496,-0.22230838,-0.19689323"
53,"0.016096301,-0.03373563,-0.35031158,-0.119396605,0.36589643,0.22433937,0.39280814,0.14243914,0.41199595,-0.1982618,-0.31294256,0.036899053,-0.112031765,0.5951468,-0.8031483,0.23856609,-0.13418551,0.18157817,-0.21543142,0.47826916,-0.610908,0.06514142,0.25211787,-0.52022576,-0.43384525,0.073556,-0.16433097,-0.51853406,-0.30661854,-0.0568087"
54,"-0.161775,0.12695326,0.12774721,-0.47327784,0.34260166,-0.13933888,0.29765883,-0.13639574,0.3185195,0.4244398,-0.3598656,-0.14625084,0.34109733,-0.41699213,-0.2451732,0.001406874,0.29436362,-0.13368428,-0.11541133,0.15734927,0.23293178,-0.24132843,-0.11819056,0.3613492,-0.02471165,-0.11220882,-0.20601474,-0.24630511,0.14572687,0.36113212"
55,"0.41726622,-0.13940251,-0.32282734,-0.2506538,-0.35570985,0.17317335,-0.09920716,-0.3329013,0.24374148,0.32950002,0.17975576,0.054012086,0.12153266,-0.33347136,-0.06512298,0.10838083,0.25011504,0.2631986,0.19816597,-0.42742956,0.35480306,0.17155153,-0.15108901,-0.35293692,-0.3481496,0.16659935,-0.3156888,-0.23527612,-0.38488376,-0.40372396"
56,"0.41729257,-0.13894549,-0.32205975,-0.2497271,-0.3591887,0.17309032,-0.100069836,-0.33265066,0.24436334,0.3288749,0.18051866,0.054677807,0.12100982,-0.3300936,-0.06348338,0.10740441,0.24952243,0.26289278,0.198622,-0.42001185,0.35499087,0.17257817,-0.15099965,-0.3543221,-0.3499029,0.16500212,-0.31574523,-0.23481525,-0.38826802,-0.4041833"
57,"0.41535193,-0.138922,-0.32183722,-0.2497954,-0.35652667,0.17368405,-0.100043304,-0.3325193,0.2453285,0.32825708,0.17933077,0.053541817,0.121405736,-0.33145037,-0.064052135,0.10759486,0.25046855,0.26301685,0.19755395,-0.42442298,0.3552143,0.17326269,-0.1506878,-0.35721883,-0.34983915,0.16777389,-0.31154102,-0.23520693,-0.3842132,-0.40460736"
58,"0.41801304,-0.13952911,-0.32259664,-0.24914946,-0.35854068,0.17283341,-0.09940569,-0.3332285,0.2435191,0.32893082,0.17959212,0.053710893,0.12129387,-0.33436683,-0.06456213,0.107586786,0.24996585,0.2628356,0.1982355,-0.42104426,0.35457683,0.17241552,-0.15129338,-0.35689715,-0.34922388,0.16477877,-0.3160027,-0.23485821,-0.3840246,-0.4038671"
59,"0.38573396,-0.38198447,-0.1224291,0.039236657,0.3338688,-0.12838042,0.10570657,0.29403338,0.12847647,-0.1627216,-0.106818594,-0.06661942,0.15418217,0.35755,-0.59334916,0.046931654,-0.06454005,-0.120648675,-0.0365613,0.15955701,-0.3313531,0.3745699,0.013455794,-0.24274597,-0.29314107,-0.17428207,0.03739371,-0.4934665,-0.23387805,0.14634094"
60,"0.09136926,-0.6071002,0.4404884,-0.32993263,0.2014293,0.33819512,0.108456634,0.14413457,0.100180164,0.04227893,0.29451898,0.5500309,-0.34285587,0.5507624,0.43755946,0.44544873,0.4126961,0.09151385,0.012718699,0.025547601,0.2021875,-0.015674427,0.32146195,0.006013807,0.50418586,-0.4325022,-5.8753692e-05,0.23929986,-0.36292088,-0.31906778"
61,"0.19381215,-0.41112104,0.51967955,-0.2021875,-0.5737321,0.3922359,-0.00970768,0.49118432,0.036948316,-0.27553976,0.5446916,-0.33292726,0.035727073,-0.2262278,-0.5104682,-0.52685547,0.5921227,0.4292013,-0.54957855,-0.35258958,-0.59281915,-0.47690594,-0.02400294,-0.42785695,0.50061554,0.286574,-0.5719559,0.04434894,0.48452228,0.47706482"
62,"0.060719874,0.36668795,-0.11891985,-0.2220795,-0.27538884,0.22232088,-0.23019262,0.122196116,-0.25208962,-0.22241245,-0.08739732,-0.24364829,-0.25208205,0.36467305,-0.35532975,0.41140696,0.25376818,-0.37117523,-0.0822246,-0.4329087,0.22990665,0.20820403,0.30612117,0.22093569,-0.25442746,-0.03223244,-0.022378922,0.16035762,0.14046016,0.18673125"
63,"0.061626453,0.3628418,-0.11865745,-0.21801518,-0.2729839,0.22003248,-0.23201126,0.1213084,-0.25198564,-0.22214884,-0.087768175,-0.24288109,-0.2508989,0.37041795,-0.3559466,0.41928393,0.25008297,-0.3699628,-0.081977144,-0.4350652,0.23034355,0.20660917,0.3033924,0.22237433,-0.25341105,-0.035093583,-0.023600634,0.16116028,0.13961442,0.18780847"
64,"0.06090576,0.36491472,-0.11859007,-0.21967633,-0.27132177,0.22141202,-0.23142129,0.12285536,-0.25287652,-0.22302617,-0.08794189,-0.24410482,-0.25185663,0.37076804,-0.35592306,0.41923076,0.26013482,-0.36748108,-0.081966884,-0.43487522,0.22847573,0.20589614,0.3022973,0.21977036,-0.25257045,-0.03254356,-0.022731438,0.16106065,0.14065728,0.18613087"
65,"0.43104962,-0.031258006,-0.3334204,-0.36098495,-0.15205035,0.39037153,-0.31284544,-0.47218344,-0.31601542,-0.30425134,-0.48441958,-0.34427202,-0.38780963,0.20430294,-0.06192432,0.14253142,0.25263545,-0.21729754,-0.4756918,0.19596736,0.16247241,0.4326009,0.11253631,0.30384332,-0.28683457,-0.5327768,-0.44087458,0.51168853,0.3017511,0.26224878"
66,"0.060774434,0.36230752,-0.11831351,-0.21947129,-0.2719002,0.22498119,-0.23318319,0.12105088,-0.25277397,-0.22241314,-0.08796442,-0.24229306,-0.24808815,0.36921546,-0.35726902,0.41779357,0.25093764,-0.37459865,-0.08206297,-0.43495452,0.22715506,0.20363559,0.30380574,0.22167708,-0.25376353,-0.032270145,-0.023478692,0.15879394,0.14019154,0.19045652"
67,"0.06075967,0.36258513,-0.11817806,-0.21946052,-0.2732727,0.22184704,-0.23196857,0.121631436,-0.25242415,-0.22342558,-0.08811908,-0.24218939,-0.249609,0.37048262,-0.35379294,0.42003566,0.25132295,-0.37305,-0.081297465,-0.43518078,0.2289919,0.20505193,0.3028479,0.22055843,-0.2530042,-0.033190645,-0.023455445,0.1580548,0.14073993,0.18697298"
68,"0.061173555,0.36256096,-0.1185986,-0.22056858,-0.27144906,0.22190891,-0.23265962,0.121484116,-0.25235733,-0.223195,-0.08791309,-0.24360569,-0.24943726,0.3689857,-0.3569668,0.4191335,0.2512224,-0.3720683,-0.082009085,-0.43471405,0.22729686,0.20441563,0.30310434,0.22113453,-0.25387177,-0.03292147,-0.023477836,0.15898116,0.14030088,0.1868507"
69,"0.060334988,0.36301288,-0.118015386,-0.22354111,-0.27572027,0.22191565,-0.23143558,0.12221833,-0.25250128,-0.22385253,-0.08767098,-0.2424504,-0.2511494,0.36902174,-0.34897655,0.4145305,0.25294727,-0.36722234,-0.08250903,-0.4335796,0.22851707,0.20687072,0.30489498,0.22068955,-0.25359723,-0.03340737,-0.022689039,0.1581879,0.13923356,0.18625644"
