,item_embed
79,"0.8947948037593475,0.9279000039603671,0.8494902753992639,1.091324482820159,0.9821439269205096"
80,"0.5658645080282656,0.7174153763673856,1.3745658108963057,1.13756978207519,0.8953316148783941"
81,"0.6330777351331293,0.6095526447400663,0.46370997549488424,0.9342348262739544,0.42090874742874285"
82,"1.0029592086261394,1.0260809190034703,1.1460673865313578,0.8910722081221772,0.8914281868357162"
83,"0.7838099000937758,0.9933291151459054,1.1798056794726226,1.1630595453687977,0.772775737901525"
84,"1.3848005432673784,0.7884938504407932,1.2008060264398746,0.7015317199280898,0.6974998947440499"
85,"0.9295009445129024,1.1878652628444724,1.1693138096272122,0.7445148982441342,0.7542198365766439"
86,"0.9262801422164558,1.1851428755386493,1.1675986420020383,0.7436634682530046,0.7527286303691856"
87,"0.9115297019911887,0.9171294592794385,1.0129512112935846,1.1270422597565437,1.0254352923879406"
88,"1.0532181724468306,1.0858637825211754,0.6550144626502507,0.9371299075879541,1.1357172717970407"
89,"0.8653333362613522,1.1095482953254834,1.0654147712470157,1.116173248370636,0.7912531023324225"
90,"0.24813822575737166,0.902761322635491,0.7492190983184547,0.7824151047053763,0.5900282335209414"
91,"0.8894166297484607,0.7782039381434708,0.4246043932469282,0.8446775006711287,1.6061143059658622"
92,"0.8694186492944332,0.9204749951807843,0.2975725943872123,0.5063128828212271,0.09514495389843325"
93,"1.0520445400521992,1.040583182303542,0.909485345506418,1.0162916866929583,0.9917839869552522"
94,"1.139855579642538,1.075941876504161,0.16522886296649467,1.1832003109668912,1.1644623080007392"
95,"0.7084229412902285,0.9299712134557374,1.244366479431602,1.025521879941556,1.124512382785265"
96,"0.8850748962426056,1.0259757052132128,0.8321107763045632,0.9990723802762891,1.090392347083985"
97,"1.0311147369413076,0.9291234083053057,1.0925104924160822,0.8808581894607436,0.8165734756158756"
98,"1.3990933394131975,0.42375471669245746,1.1642582022816625,0.25153174757772856,1.0534005873817727"
99,"0.5000266213365885,0.7384451940395658,0.9616988885250292,0.07254276727680209,0.6688225991532852"
100,"0.4854995159824196,0.8218256840394206,0.5786922078922726,0.3676286212801817,0.7984456166220538"
101,"0.516300445309614,0.6133832539457735,0.8211397198394215,0.5752462182658257,0.7669877327554405"
102,"0.690883695977204,0.5833351056397724,1.498563922108054,0.7992118106505478,1.0620769532405547"
103,"0.2899378178424664,0.7880637641305586,0.4310141849774729,0.3023136898006439,0.006250893591920992"
104,"1.0257107466440538,0.9708141301207048,0.14826038715401682,1.0671022401268955,1.0522766895600772"
105,"0.20566415941695715,0.8510237054560477,0.18977175434643911,0.30429439979117157,0.9745114649492567"
106,"0.6744119972701792,1.2444449888869848,1.2577718759609182,0.8825204621388506,0.7587459739319617"
107,"0.1568204611657089,1.1295467352774244,1.1335613758489027,1.5144852118037972,0.2663497096726361"
108,"1.0842697559474164,1.0649988665608887,0.9939282198761573,0.8846925936679203,0.8896101654909403"
109,"0.024128740381116898,0.6508770563446382,0.8159585112336644,0.7965137375322353,0.8024120430915651"
110,"0.9482936562579695,0.9290571678734467,0.8548905608942328,1.0311171932672132,1.0681397526382472"
111,"1.038497909148281,1.0060690064611835,0.8077717005430536,0.9345632326779608,1.0928232606323542"
112,"0.2389049990488794,0.9331062278546388,0.13553397967762604,0.2112022181919092,0.8896049391212761"
113,"0.5457811832952602,1.7068078926078551,0.7838280617603,0.8734085228943751,0.633836831778891"
114,"1.2097260178417406,0.8022388185019723,1.3292368519950115,0.7883085873708015,0.6068132960158797"
115,"0.7345712015821909,0.7386938239475479,1.381094081038233,1.0304605428752047,0.7403953211933958"
116,"0.10968986083209686,0.33185061445137876,0.5678212715360011,0.04347790007274721,0.01956684916015472"
117,"1.1508987473900814,1.0444044562736519,0.8650376263383169,1.2006814181337457,0.4058574088657733"
118,"1.0718717674536815,1.082007817541669,0.7143577481335328,0.8611965091206912,1.1203593730179648"
119,"0.55234321836726,0.05167112388944484,0.5133629731348386,0.6747751424827803,0.8054299523955843"
