,item_embed
0,"0.8047547118110749,0.6337259558818147,1.024164327633672,0.9373140098909646,1.3640667858261195"
1,"0.9116112935758457,0.8748434937306732,0.8901320396334473,1.1180963993190496,1.0663784490397066"
2,"0.9838462578399398,0.721892989756144,0.7322199449073467,1.0664722109168452,1.2599366899417404"
3,"0.9273133273609047,0.8583261611047119,0.948201886824578,1.1756608143333596,1.1236938724823125"
4,"1.0793709073297724,1.0014433489962118,0.7906100266922004,0.8894931521646251,0.9993423301611422"
5,"0.9436577823973104,0.9850409886320335,0.846840435108575,1.160075640131349,1.0392686275341803"
6,"0.7991078652450637,0.7160807249205946,1.0971193477038912,1.0089540767662886,0.9641801660192567"
7,"0.8954437479667336,0.8163554450429169,0.8966109445099347,1.1176472955809278,1.0562471534170002"
8,"0.8890944615457024,0.8204484709145187,0.9035105433401935,1.1187426957479958,1.0699975539034865"
9,"0.910320966083159,0.6603284162502199,0.9957061783575374,1.0698511993031155,0.8139486964055119"
10,"1.4289324879926766,0.43332030243698816,1.1948654968757844,0.2569736470393779,1.0778868344445085"
11,"0.6870381762263195,1.4790623112135621,1.0677002160288442,1.01349571329305,0.11512528128522463"
12,"1.0805925498666789,0.6304779956890955,0.5930866173301459,1.113300041492139,1.2043971049492053"
13,"0.8099062206265669,0.6805442058511242,1.150137424014139,0.946112996400929,0.9620360005942054"
14,"0.9275462778728575,0.191200416758587,0.7804542183392842,0.3743730142816236,0.06919614413795949"
15,"1.1377893420472862,0.7164629392908786,1.0552433249701825,1.1795934108895754,0.9078077373031905"
16,"0.9012089104825667,0.9973795213995503,0.8719392633517367,1.0745986416348652,1.0931459057073312"
17,"0.9058015668925639,1.047779222019507,0.815371867799415,1.0179662507307854,1.1389740444142429"
18,"0.7463501513674481,0.7021108808084293,1.1442015285285805,1.0755963853450425,0.9794446228773667"
19,"1.0762953384996763,0.9792960368176583,0.7846506597161359,0.9364811032137557,1.131217903620535"
20,"0.9381057054630245,0.7692451810420355,1.1822234477982716,0.8625899081166081,1.1013000724998054"
21,"0.8527922045176405,1.0637443098903272,1.1086385070110862,1.1359553764141408,0.869325536511987"
22,"0.8687164090951144,0.8570102850368032,0.8408032262099665,1.0531172899359484,1.022643520165032"
23,"0.7869530707058902,0.709864809161312,1.1445114211042955,0.7908554659208065,1.0425423005534207"
24,"1.135870618423598,0.8165551534447768,1.02456902187255,0.8931334999250221,0.9773550220148011"
25,"1.1840332270749065,1.0884106917933833,0.6926165537355198,0.866982583627822,1.0184223897734526"
26,"0.9653020390892133,1.0369695922446953,1.029532601684265,1.046135584425645,0.9692410597896821"
27,"1.2914032418125792,1.2103840589346526,0.6364023408127744,0.18318646101914993,1.1483396351104125"
28,"0.9771647649255918,1.1197911848891025,1.0136193748988411,1.1681113188934944,0.5492155930567496"
29,"1.0914122533394193,0.9603799423272251,0.7837415248134905,0.8398125447954464,0.9713479310302701"
30,"1.1142956859736348,0.8968722840597735,0.9415704019859,1.09246870567862,1.0044123397773959"
31,"0.8837263490400701,0.7079363607417992,0.8401482618531986,1.622041092585282,0.49090495619907903"
32,"0.8262657209799324,0.9722067909859008,0.9806032417002477,0.9892207709157372,1.0831575509901568"
33,"0.9526128584820631,0.947490787044285,0.9555110359152433,0.7733217828006771,0.8998050059194214"
34,"1.0663753233758861,0.9592386635981689,1.017575743932014,0.8465631387887689,0.8743987383532267"
35,"1.0596838128565524,1.0622818743640403,0.8769048898693066,0.9762157243810464,1.1216668985984355"
36,"0.9816839943320783,1.1474110552476473,1.2901410720864648,0.7659905873507348,0.5371727136491363"
37,"0.9827059631154165,1.0949751546447277,1.088585972438531,0.6942930282275687,1.0763627704263314"
38,"1.019458741039281,1.0101595401740067,1.0483874668905295,0.810939389910617,0.9308673424324119"
39,"0.8770372554764724,0.7133661103923951,0.9467350956418884,1.0188824288509872,1.3293499471463825"
40,"0.9743899120236096,0.9246747605039218,0.8768901964608786,0.918847109267609,0.8970970285934029"
41,"1.1617843642808068,0.8623798026267964,1.2172989955153846,0.8077594170411996,0.6952640224092487"
42,"0.818893435209219,0.9530790481325403,0.7244741800199812,0.8503491751486086,1.0550993715715369"
43,"0.9790485763152695,1.1780527904464417,1.0895577073653144,1.023101279893865,0.6311353502469347"
44,"0.892061424795931,1.0135816237369317,0.8261205855202627,1.0481537931176028,1.1001790268836127"
45,"0.9654688714796434,1.3251757513338707,0.5563763184144997,1.1654614445403781,0.6549708014991874"
46,"0.949510627583686,1.3019946869138155,0.5489359299180808,1.150542795940417,0.6506791386032408"
47,"1.1251424479335062,0.9827312206652029,0.7987611815949947,0.8633265551510446,1.0165825968437496"
48,"0.8743560501837755,0.8899454560609477,0.7189146294738409,1.0342535698979594,1.0440678008761035"
49,"1.0195371525613959,0.6331578934077046,0.5691471678144916,1.106208165708788,1.183185857541091"
50,"0.29940716464647776,0.26290016158625096,0.4854849035293235,0.9981326748346522,0.6871059331190928"
51,"0.9602076629154755,0.7705659414937801,0.8068322535278591,0.9425495873453067,0.8632427942186217"
52,"0.8291786910182487,0.7586882312922101,0.771070591031429,0.9665677198218152,1.0035676942349616"
53,"1.045761964639389,1.0173254240109346,0.8817034594218285,0.97547976821033,1.0119284262419799"
54,"1.0392874284219586,1.019241533708716,0.895555496810146,0.9853999703039692,1.0147843768292386"
55,"1.13014583038062,1.0270402699119607,0.8585220621305361,0.8891717002604586,1.0030819589691586"
56,"0.8510556663799084,0.8355235000964297,1.1307148451424351,1.1809606676824764,0.9203019367789392"
57,"1.1593449872873889,1.0034073588390184,0.6589665380265947,0.9707388386174128,1.0889883577001598"
58,"1.3033983055979992,0.8767740309467235,0.9419065927368663,0.9486208971594159,0.9150640636364508"
59,"0.9548808693919595,0.0012567553716955615,0.17786597229857803,0.7259809774740614,0.7925558060494181"
60,"0.857069313008714,0.8486769695138346,1.1055783198191498,1.1710032141812776,0.9352623532701688"
61,"1.0411787043998482,1.08356440741809,0.9567482313399314,0.7670156616596165,0.9350483092265658"
62,"0.6342145549802072,0.847087497678538,1.0997477106864497,0.9248839894662033,0.985175564917483"
63,"0.4586609341973725,0.6585019457297887,1.5182297731467116,1.126407293153897,0.7695394725784765"
64,"0.7371871191791781,0.9086722391971074,0.6967234523189264,0.5127781801105944,0.6717897349986333"
65,"0.18728032227304792,0.3321464559553382,0.6127358776973676,0.978529182586637,0.3236062048011963"
66,"0.8678978890339206,0.9386849132849318,1.0047170884811825,1.053750856663934,1.061591058223171"
67,"0.8053400073985328,0.6447391357120966,0.9446594890552956,0.9368699517592028,1.2907113420739649"
68,"0.5902224710899844,0.46842091849065226,1.0954873379669956,0.8585335750445446,1.5378727260430705"
69,"0.0805212365435346,0.2713239820289498,0.467396454364161,0.2972951644189521,0.5396100853229593"
70,"0.006177402362199436,0.12924911831632524,0.5329737084556774,0.410678621874606,0.7641696556880504"
71,"1.2749018175666538,0.7175959387495853,0.260458396299362,0.6241384355862228,1.5337337585499322"
72,"0.9646015704032054,0.598052678543016,0.8793666316370984,0.34272114268474607,0.7144764028503312"
73,"0.7262665649452944,1.0498777135105455,0.9596195330156149,1.105890922580796,1.075374058150499"
74,"0.7732327444271537,0.771561501913622,1.421393440066577,1.0899262528331446,0.7473812173099855"
75,"1.2947126125026314,0.8779899545665022,1.1868763541087668,0.32941052944603516,0.9724511139422849"
76,"1.0643555630586343,1.0349415358251701,0.9902885372633902,0.7995784109973421,0.9615906582924"
77,"0.32335898723131273,0.09756490331980106,0.037723195373327134,0.14940038001005795,0.9632914098390052"
78,"1.501524423837139,0.7220070964423009,0.643221065257082,0.9124343903967626,0.8413459632756318"
