,user_embed
0,"1.2175765937418594,0.5301953435848352,1.07001352949252,0.9340439691741548,0.9514718865334201"
1,"0.8801261703154969,0.9720466551097504,0.9866055330488809,1.0682416992031525,0.9696212393221377"
2,"0.8980522414890318,0.9379741975859419,0.9402144523362881,1.0402889667612145,1.059143724561015"
3,"0.6096826350200584,0.5120680588150759,1.3015822698794115,0.982985758271574,1.189830232202878"
4,"0.8485464855211694,0.9875149701650782,1.0346592073096668,1.0883250848442385,0.9086544754311145"
5,"0.8136977092951193,0.8309006675637002,0.991962672173767,1.2195858714368888,0.9180265144237852"
6,"0.8176141634894788,0.8248023557604468,0.9933815226944367,1.2189772111023758,0.9172033465806058"
7,"0.8170672194936303,0.8274100871351698,0.99273253641089,1.2167658812051076,0.9180149860134896"
8,"0.8129600523143057,0.8294901606648593,0.9941053060585611,1.2180762166804378,0.9172780498817309"
9,"0.8247802109367434,0.8471199398288524,1.009031465132109,1.140968306446474,0.9683152884228688"
10,"0.8654952878417143,0.9635909892451087,0.9913499166457623,1.011775734782291,0.9592354572264187"
11,"0.8398815242182845,0.9096093001922372,1.0013354080382721,1.0702919757766929,0.9759431296472637"
12,"0.8553715132459636,0.9502408003768109,0.9942882367610939,1.0286097184574572,0.9728673347931667"
13,"0.94814571463639,0.9222728831997,0.979026439133126,0.9680930484083405,0.9343653522332434"
14,"0.9049765063776659,0.9700062723182722,0.9836742450882916,0.9749734463283996,0.9372340224580139"
15,"0.9547234791837744,0.9161933667566683,0.9796051278424189,0.9685946233589501,0.9347297879701829"
16,"0.9506193196666417,0.919253678352622,0.9787242736275281,0.9683389806974572,0.933670002672789"
17,"0.9482551326826292,0.9224166933912327,0.9791613363728092,0.9682270784119783,0.9344917314661987"
18,"0.9150275086270196,1.008444232857462,0.9796958925010653,1.0711541072324111,0.9069837134307752"
19,"1.1309079910360351,0.8218050788087499,1.0753390750304748,1.0018822624421235,0.7493908133371563"
20,"1.1225468422736604,0.8198182586048522,1.0693412772400326,0.9985823278276281,0.7680442263999222"
21,"1.1221586022339445,0.8195250987760299,1.0689721305967612,0.9982303042302411,0.7677389904158021"
22,"1.0693458006838803,0.8325774197849922,1.028083076231506,0.9912867796953195,0.9320562587975721"
23,"1.1229868447339344,0.8201793201840618,1.0697714292602736,0.9990047756835009,0.7685252965256069"
24,"1.2595479683391018,1.0990002489757444,0.5160556537319316,1.1035018036111952,0.6758347304041062"
25,"1.0650869918505266,0.7654196531927284,1.020334296376791,0.6352445451237116,1.2787121434559603"
26,"0.9519068650100205,0.9787965041665728,0.8021592945044115,1.128492637980521,0.8450460064442932"
27,"0.9515245622391026,0.9783928468744306,0.802256093965864,1.1279665348125463,0.8449192278247423"
28,"0.9087037050823877,0.9197455174766722,0.8969953837104105,1.0294012308229983,1.112604920697946"
29,"0.9091695760363585,0.9211628789025198,0.8901027612817567,1.0310475802183054,1.114624716070715"
30,"0.97909186883741,0.884612383587845,0.9633967258787519,1.0109166340046083,1.042077265674004"
31,"0.9087607551091221,0.9196697533328663,0.8970096729588954,1.0293570507838352,1.112503778418025"
32,"0.9087277897349402,0.9203869062391983,0.8877245065970442,1.03235815085648,1.1165756362795098"
33,"0.8669405665082585,0.9375872840523939,0.9211312979772653,0.9901533709077057,1.1452216850350703"
34,"0.9078489605343707,0.9219476622348383,0.863229687997874,1.0399870553860426,1.1278799999714606"
35,"0.9078922445717515,0.921992268510117,0.8632559339909014,1.0400424598836036,1.1279407720327872"
36,"0.9074840058601609,0.9203970125412958,0.8737292398697303,1.037190393359473,1.124293202615687"
37,"0.9067971182450799,0.9210902958123344,0.8570506739865879,1.0396230337799082,1.127450801242906"
38,"0.9076388376132417,0.9217351432021811,0.8629735833413184,1.0397650605202102,1.127642240739178"
39,"0.9076840979026893,0.9217821935135879,0.8630015110564153,1.0398229920206947,1.1277052829701668"
