,item_embed
0,"1.2274653617081166,0.5343481000534707,1.080138267438831,0.9457184740293464,0.9591385116292135"
1,"0.8829218194687037,0.9506804078441561,0.9605660809220704,1.0507532158093658,1.0096120209068475"
2,"0.6096826350219067,0.5120680588150557,1.3015822698803476,0.9829857582714437,1.1898302322037302"
3,"0.8653987790938162,1.0186659037753847,1.0786127411589996,1.1267228486057008,0.9309265462350471"
4,"0.805176864857099,0.8197796710958004,0.9817606605171199,1.1846326514801855,0.9146490552986827"
5,"0.8856367684180753,0.9791879387063925,1.0308666074722606,1.0701581558587265,1.0043896499564569"
6,"0.9192913886360083,0.9012576885238468,0.9532239033977443,0.9428866816486972,0.9094681447132393"
7,"0.8609578262219528,0.9688338722533462,0.9825651688115983,1.055587814236653,0.9096681433882756"
8,"0.8254191152790983,0.9715441113675873,1.0286587898869466,1.0745823018361769,0.8878974068088051"
9,"1.0449098373416765,0.7667135452764076,0.9958300386060288,0.9321351246089996,0.7277036094459707"
10,"1.2740148709041696,1.1116223408023818,0.5219829669877848,1.1161754293947879,0.6835971748028333"
11,"1.0650869918520767,0.765419653194602,1.0203342963766246,0.6352445451227156,1.2787121434567015"
12,"0.9593143003565956,0.986408685367273,0.8085800874366311,1.1372431311608235,0.8517125405135787"
13,"0.9256155285750821,0.88835650110271,0.9493301584543675,0.9395301004847492,0.9054607818008862"
14,"0.174404396643839,0.34603012745944367,0.006917089419709796,0.29403968985307,0.0030336502394823603"
15,"1.1921102171174163,0.862833928112896,1.1323555293918672,1.0530139822624407,0.7724406265038462"
16,"0.9207155492673801,0.9295613106664571,0.9236714151003872,1.0334270678948814,1.1121431483554052"
17,"0.9172351697866331,0.9309096181557546,0.8780844817980662,1.0485301376675564,1.1364105769832875"
18,"0.9533386626687705,0.9041197713189895,0.9726414789419517,0.9615783719377132,0.9280652600736435"
19,"0.926189732048248,1.0654439833209777,0.9728574153419604,1.0583470807024424,0.8883458386542588"
20,"0.8316137632379549,0.7053660169052632,1.263823587427073,0.96492327371849,1.0307792553769068"
21,"0.8817567386700376,0.8771429217775161,1.1584692756745831,1.093417104063858,1.0013978164998913"
22,"0.8600811860826614,0.9629105372900305,0.9581314561229363,0.9524868991997111,0.91112984034506"
23,"0.7773999989497488,0.659728619859219,1.1718513431979163,0.8910943933873099,0.9520351972148111"
24,"0.8108962815508454,0.6867280559952145,1.2552572954037096,0.9671729189604529,1.033623481751637"
25,"0.8293086756123124,0.8372596791708731,1.0054258206198992,1.241677576371926,0.9262473225664763"
26,"1.0531770901143975,1.0238088060519583,0.9616623348801224,1.0080596944236961,0.9610634773609054"
27,"0.863952169929604,1.4576835492950255,1.0576844406446042,0.469908202576199,0.7995218717231867"
28,"1.1137807083657112,1.0695331431401978,0.9611094262449943,0.9381568795453074,0.8349465547211818"
29,"1.0323383856328074,0.7956022827012839,0.9485635917494434,0.9125496660542766,0.9586956890084531"
30,"0.9717428342044319,1.17688158403153,1.1064983759409484,1.0728011951152165,0.6208610118807478"
31,"0.7984406221583131,0.545389104565325,1.1793279407816104,1.067549650631798,1.163858517619995"
