,item_embed
32,"1.0470044115512684,0.9761453052147337,0.8391772140848597,1.0290422843541476,0.9564595317407923"
33,"0.7815618888770905,0.7895916794695726,0.9459024969363632,1.050026812670055,0.9154481140908485"
34,"0.8103590185045856,0.8338149861884736,1.0055467616451996,1.1040366617367563,0.9747107829177439"
35,"0.8540407689141185,0.8734716963687159,1.0409514696487527,1.2902674233519875,0.9605834541523445"
36,"0.8844961499555556,0.7673794729878437,1.0989598130222995,0.9115790375209356,1.1705153962544361"
37,"1.0118645595386853,0.917095024264576,1.130087654580575,0.7601194867360628,1.1030959732628525"
38,"0.8164253204659622,0.8368539918535988,1.0142165190681744,1.1252879540298277,0.9883528830850833"
39,"1.2531980877507687,0.5465715041647987,1.093244082055302,0.9383670976050749,0.9796503696582286"
40,"0.7866098284817077,0.8320527227241731,0.9570111154318768,1.0494643674480566,0.929879192634216"
41,"0.7648854391622905,0.8179839134088556,1.0544860628272226,1.123112437524319,1.02123660571791"
42,"0.8223780132770167,0.8357247125392047,0.7702402611902048,0.9445311595210071,1.0245647825104813"
43,"1.122025503604125,1.0781811111258488,0.9940865245577254,0.9424783223755747,0.8140517068705495"
44,"0.9067809356039739,0.9181775354512622,0.8823157394024526,1.0337588450424298,1.1193088769552457"
45,"0.8996525755131294,0.44339484770397414,1.4091200139207714,0.9918610337188359,0.8770297842887407"
46,"0.8863891515067699,0.43685786259109705,1.3883454389527656,0.9772395115685378,0.86410067593046"
47,"1.0700651456441173,0.8143983859899334,0.9727435833369816,0.9445932427576696,0.9873632725021187"
48,"0.8444411920394527,0.9601904584147687,0.94852157352415,0.9260326914991057,0.9076178575905263"
49,"0.9362333379923403,0.9626653360788986,0.7895425385622037,1.1098087277191657,0.831431956072192"
50,"0.3464976836064063,0.18491831444823534,0.23770433489042506,0.05027907563023005,0.26138686826322577"
51,"0.8357913129039009,1.01223055599793,0.9516924508059772,0.9227110084424318,0.5339999192508268"
52,"0.7952305116471848,0.9776735862509973,0.8989860934454093,0.8960610324364001,0.808028176485438"
53,"0.9415587536293909,1.094329837817935,0.9963865448232014,1.016688161423021,0.8540674614294218"
54,"0.9551707928376888,1.0889255139693739,1.0008415287494599,1.0197918640242054,0.8663537150490032"
55,"0.8108928325526958,0.7544534425551113,1.0846155930491188,0.9304082412074427,1.3066397589124332"
56,"1.0710348833507584,0.8528928496962023,1.0124988624977573,0.9526124287697804,1.0119537862008703"
57,"1.0801526882520653,0.8435052082541508,1.0389860884819697,1.002768667643817,0.9684472659996028"
58,"0.827654848435315,0.8456260671256932,1.0136485110521691,1.2509732146390045,0.9307088052466351"
59,"0.8298940136262769,0.7020609089581032,1.3000572223992501,1.0075135810080602,1.0771349133842703"
60,"0.10632106354969419,0.07153049014123607,0.03856675751734577,0.14828313618564284,0.2256115113130578"
61,"1.0651548372266488,0.8505705532710011,1.0279292177106014,1.0048778256439677,0.9784017294572118"
62,"1.0767505151840024,0.8758849232090079,1.015950606716064,0.8229729320480998,0.985410631537865"
63,"0.894108646063808,0.8943684201720429,0.9387765326563005,0.8983542223928072,0.7933163908755677"
64,"1.0828943031955651,1.0483121763023833,0.5781719228651055,1.1323970752478787,0.9390290734068192"
65,"0.29568649842074807,0.1479280786122358,0.1371208768134361,0.28984840182614574,0.22097921928069528"
66,"0.24271560531685513,0.0680004770557182,0.2601664315549798,0.01494322892400428,0.2319648926872532"
67,"1.0553742750869737,0.9693362391018268,0.8722023091048345,1.0552250173438738,0.9683280901568468"
68,"1.1869326678938428,0.5171155932897695,1.0406139937945533,0.9034985803778183,0.9276300601244939"
69,"0.3405022564394034,1.2852322667592002,0.5120006692544266,1.3229297340826844,1.0246699308596137"
70,"0.37165918296150235,0.33423486890349546,0.2980716220528029,0.05367765045687041,0.4140272860053191"
71,"0.4193949792999675,0.07850121214157468,0.3508350326923845,0.38769800260511944,0.16932320735633913"
72,"0.6937822878239855,0.6436741820579887,0.9444063661502217,1.630189825991666,0.6818558727963204"
73,"0.9632972259590614,0.9592002135199633,0.8848022162293288,1.0674805347842347,0.9246682128778176"
74,"0.785703326362123,0.9216641480303159,0.9675365761016013,0.7139877140531489,1.40616499716989"
75,"0.8263752460923426,1.2001555486525035,0.7358505356328641,0.9366320973217752,1.1859489296298555"
76,"0.6686410210822766,1.3255394932509756,1.0071093971457843,1.230310619150369,0.37139019824014474"
77,"1.0549880725328193,0.8739656177970656,1.049528324868597,0.8184871545423545,1.0298571245507235"
78,"0.12452412058117823,0.4139780622841022,0.39869621184016657,0.21440680181029118,0.046056525609500666"
79,"0.636682694665641,0.6767530895294567,0.8917948431610369,1.3779834511945777,0.7986038301916348"
80,"1.2380898435430405,0.6146450545017844,0.7224403555754609,1.080487813456295,1.0440167689747666"
81,"0.8444442181446467,1.13047958793565,0.98195967599503,0.9772791950261072,0.7892106203706049"
82,"1.0813560433401197,0.5159130998520153,1.0373522686984342,1.3684337492631184,0.6291201200381281"
83,"0.04862899330775595,0.17332156927271414,0.09676432338541592,0.09506827941599215,0.14069971954973404"
84,"0.8988454801239261,0.9845274888329492,1.1557908005104218,0.7032099014677383,1.1385713139531457"
85,"0.8451089245051351,0.8549452315717813,1.1595393740063826,1.0739173592352014,0.9772596371585233"
86,"1.0075002561526047,0.7912561381469839,0.8755635131931675,0.24314449987083986,1.5662459079750521"
87,"0.9752238970533393,0.9529235475463192,0.9773157279731228,0.5892051675069704,1.2503709522983188"
88,"0.9731826171275829,0.9509289300556066,0.9752770750654097,0.5879760061302572,1.2477630602047005"
89,"1.060512345453596,0.9727424406757782,0.8787542550091696,1.0939049376639467,0.9771946227299214"
90,"1.1106881002993052,0.8721662825599968,0.9557140817325582,0.9644354656409454,0.9924133861014435"
91,"1.1048021820687692,1.0498215456806426,0.919764117768426,0.9617374757746138,0.8964501879089533"
92,"0.09102598242146377,0.24933200345770687,0.31263532518719345,0.38974284737356607,0.25642981782686186"
93,"0.885337171996329,1.2621734380066494,1.0779990085922342,0.8671870028363768,0.7341669727403491"
94,"0.052193621742203475,0.18821053464662102,0.24657675014475625,0.19214558280610747,0.10208561738717818"
95,"0.9575041753656268,0.8979668853598114,1.048703496114412,1.0739527226463919,1.011197792672887"
96,"0.7193046524227374,0.7578144514167999,1.0114549790804876,1.5570383654447688,0.8998741138873321"
97,"1.0195858303978795,0.9696752750347198,1.0707258199090828,1.0023996056726368,0.898885777682979"
98,"0.8138771035021397,0.9451288541803905,0.9193975238361318,0.9463372215878622,1.1759424572276078"
99,"0.8369192300779316,0.9603813460494179,1.1133620433430964,0.6638515145220668,1.1003752008070635"
100,"1.2449872203625862,1.0862962890864196,0.5100898904754829,1.0907459776619748,0.6680219324288679"
101,"0.15437097615957732,0.3917874965351708,0.16681066418515308,0.4257760997343091,0.414328358011056"
102,"0.9444002982633052,1.0980466861829128,0.9990200890841905,1.017340836532194,0.8532424443150979"
103,"0.0026299772463946373,0.10127108114343318,0.005825482446012672,0.21385238667729237,0.16929914053132603"
104,"1.4357467767484082,0.17543880045071936,0.9745304346461362,1.3093441989075278,0.18374063538610946"
105,"0.0754648066179046,0.3676193385604784,0.2873560636529748,0.3001706195485795,0.2537116248406809"
106,"0.6490364549916745,0.6871094690123396,0.9107127141176448,1.4048172740935914,0.8131290430796961"
107,"0.09218787197838084,0.16539175541291132,0.10111756833452075,0.20190233008713013,0.3289530513804738"
108,"1.1169326191016655,1.0401926737365244,1.1090255521246568,0.6138500199367386,0.9816879359830973"
109,"0.8041111504569006,0.7485306817631886,1.076012845854334,0.9229011770382495,1.2963882793854118"
110,"1.0953132362236324,0.8811143918484129,1.0371652122186437,0.8574276030324923,1.0228264626577122"
111,"0.36186156969839955,0.06491699985586553,0.024352343072094287,0.25517078170667584,0.0575841910532443"
112,"0.8777266772270552,1.1177298581281467,0.9892650187648577,1.0004672088227622,0.8274878295641047"
113,"0.9317952180782768,1.049530217732779,0.9743704128798641,1.036852557653455,0.8826196357631441"
114,"0.10070564155530257,0.2516902759457021,0.3999981856344149,0.4418714330651154,0.1429492785894468"
115,"0.32588660196575087,0.3927566288268642,1.735755192930697,0.5750982149210954,1.1601534840633654"
116,"0.7496160327110943,0.8175465594359628,1.0897664827218723,1.1408424641616077,1.0527828638422707"
117,"0.7960152983595269,1.1561400526862096,0.7089897203722857,0.9020979679329603,1.1429932249715073"
118,"0.796086850332542,1.1562454678735448,0.7090535288642584,0.9021792526770538,1.143097625477926"
119,"1.339663455504133,1.1450812923420655,0.508495056783644,0.5485025914150228,1.0318276718320736"
120,"1.0441323242447287,0.9432605709092803,0.9225477292361604,1.0110961006263326,0.9573146492886248"
121,"1.0728431478015552,0.9033794959104354,1.44230919318145,0.7901489936513445,0.37191642298380445"
122,"0.12564723446971207,0.3226679972309266,0.007328973815399119,0.18872904876700103,0.11891754762593611"
123,"0.9139535398369268,0.9213671100413137,0.859545766758601,1.0620964199540603,1.1528604707717287"
124,"0.6635641476367292,0.921896849793015,0.958115359679007,1.2320193865118314,0.7771306255186696"
125,"0.7596486415679669,0.95127131177549,0.9170773609798859,0.9004589427650295,1.2039921655561714"
126,"0.42977894000265604,0.3498583343066777,0.2864355795660977,0.017337724723588445,0.397140337239802"
127,"0.83848391285804,0.8415598467245142,1.0166068347426385,1.2574068312937836,0.9344186324522968"
128,"1.0340457229255082,0.9426779705743699,0.8765366659557231,1.1223981770253288,0.9604290843330537"
129,"1.1478787167764402,1.0968043115898551,1.114439818434239,0.879202597200899,0.5695800539108063"
130,"1.0370081635857265,0.9880509156101015,0.8700201838285374,1.1016417117980457,0.9861345602095137"
131,"0.2549320660632733,0.05288739919819353,0.3641828280022397,0.0666763393466658,0.3368274693293283"
132,"0.008311827680983387,0.027162170816022357,0.2178464107512002,0.047220121985466185,0.10523924249567862"
133,"0.9327026137015229,1.134577555929512,1.0534262182651715,1.0463888822320202,0.9699243469655852"
134,"0.08624203447655526,0.40593122240170876,0.4008501103545065,0.41542466595005917,0.3557378785913254"
135,"0.6895691407286577,1.0912834533869396,0.937199920793066,1.3127360894865074,0.7886539750383343"
136,"0.49446707180707794,1.0344811211794962,1.1185631141492614,1.0241312711534016,1.1337207874687534"
137,"0.43953127009462933,0.40571484545877656,0.3091882926098655,0.286076353264457,0.38994453765535847"
138,"0.9502770917057365,1.012236622280598,0.9823223800415286,1.1095323179114756,0.9285446057649261"
139,"0.9425758541206917,1.100385119236052,1.0003177151359117,1.0228822763012961,0.8576081473885577"
140,"0.3031550912670556,0.04228372331492154,0.2415213437945366,0.21636174631233024,0.37519752090084013"
141,"0.0975698505419346,0.2939831078142007,0.15494278116518795,0.111127183229474,0.4339965640528022"
142,"0.18555199343221962,0.2964534940631168,0.2895000698960863,0.4042406888841785,0.4043976392501795"
143,"0.3388071937179285,0.1548882028400729,0.2700195991597144,0.4157272377435884,0.27201962025275495"
144,"0.07003288811111656,0.22849059811761485,0.073599842784768,0.17451994713393504,0.13203103091630425"
145,"0.21698495093014722,0.4198891155900169,0.304078649881551,0.01496635182258213,0.03701818896492546"
146,"0.43718449873528553,0.18424438187831957,0.2535415617198577,0.3172674863662869,0.0903013182069821"
