,user_embed
0,"0.8047290671712565,0.6376511957111465,0.9937347770175681,0.9368863043480015,1.3358941251167014"
1,"0.9166152076609902,0.8452195438208381,0.9051497727493868,1.134073747595706,1.0699449631633526"
2,"0.9046640187380528,0.9302717090516481,0.8765027415053244,1.0961448206103388,1.0745307614611717"
3,"0.9838440692257183,0.7218810876550706,0.7322126848217851,1.0664683597451796,1.2599269543102807"
4,"0.9023047224916176,0.8297603815755777,0.9157033958857057,1.1362641921289331,1.0826781463135653"
5,"1.0328133521154457,1.0083216326227065,0.8176135181040037,0.9161949808604728,1.045820054144848"
6,"1.1384494482707526,1.0499133346653058,0.7220259297084862,0.8702523735098135,1.0061808131218988"
7,"1.1195974769539707,0.9936060431895869,0.6982205616533923,0.9320612151916693,1.0469479175106402"
8,"1.0673862652922324,0.9947405466496305,0.9535855842213229,0.8795772264229121,0.9454823233249514"
9,"0.9027188068899094,0.9407764930592021,0.8155291500915104,1.122967117936422,1.0120150725813601"
10,"0.9957086784346615,0.9698004017068307,0.8920464786396337,1.0180072753563572,0.9630139585512516"
11,"0.8917326583934087,0.9539684673071491,0.7982801174333197,1.1446086866197072,1.0054972761169354"
12,"0.8249781174349613,0.728415655572408,1.1515360570860311,1.0364210579106703,0.9850287304368314"
13,"0.8821160396925409,0.8459361487301627,0.9465741811040752,1.078711185773757,1.0434504557313762"
14,"0.7828776934594167,0.7210179191485346,1.1507074728527067,1.0700143004054838,0.9923315651821383"
15,"0.833723660854514,0.718546705309755,1.1704323903209473,1.0057641965834454,0.9958915259841394"
16,"0.8252338363521293,0.7337951879404849,1.149908586091513,1.0358651940327035,0.9835642222833519"
17,"1.0588343496804884,0.698220857282199,1.03979847043369,1.1455576310184894,0.8773811513245557"
18,"0.9795288276536054,0.703495680879514,1.0886515314974432,1.1631862085131117,0.8774074974386188"
19,"0.8641193681803991,0.810760664415469,1.1039535108420262,1.1621754845087617,0.907989287363464"
20,"0.9818634258838906,0.703906952363968,1.0870560233861213,1.1622607146454986,0.8790176963905011"
21,"1.414076103655237,0.42855949062684084,1.179645283055498,0.2542644479574378,1.0657020440555545"
22,"0.6870258053888066,1.4790548173894995,1.0676834305324676,1.0134753139433963,0.11512754886330796"
23,"1.086729951910387,0.6177742267483454,0.5924060028366209,1.0959256425161408,1.1913277981980448"
24,"1.051712115560039,0.6358382698656355,0.5827772448749845,1.1158961515302455,1.1993668011814476"
25,"0.8903468369225661,1.0020087293134026,0.8376082533161205,1.0579884096468628,1.089869317569466"
26,"0.8932655511729949,1.0140517197686016,0.8302970135965849,1.0346262623707847,1.1048901512503353"
27,"0.8727480179498821,0.9219368466997918,0.9755867368662461,1.1147128779939104,1.0108699256286904"
28,"0.8903183437503016,1.0017719420569693,0.8379023433412598,1.0580705359183742,1.0897096921358354"
29,"0.8925994474915733,1.0136382099968415,0.8283128674402754,1.038723076679629,1.1030546225777698"
30,"0.8925034074443374,1.01706535195889,0.847632815115353,1.0303353612679118,1.0930790398890116"
31,"0.8940852169713985,1.0502883865658716,0.7898211298308027,0.9943395126578618,1.135920934842033"
32,"0.8930267964354246,1.0276007064994266,0.80972377470598,1.0280722105175155,1.1137146296503795"
33,"0.9002778208826469,1.0467148771733696,0.8005130314661197,0.9685982565861375,1.1484511609996115"
34,"0.897639634687914,1.049500977277109,0.7907708907326477,0.9900565177279919,1.1366891771910828"
35,"1.0573987985352127,0.9850170047395764,0.7888228441273475,0.9293953147551696,1.1119961352611025"
36,"0.8761830657467693,0.758611673330512,1.203314362666318,0.8483665024614974,1.1068364476145578"
37,"0.9031411826513939,0.7456079374641664,1.1884078847895392,0.8464744045897251,1.1111139320633543"
38,"1.0429138920677805,0.7923640460582858,1.0971392313397252,0.8760211727855839,1.0349401242803873"
39,"0.7936227650226135,1.0027496099037765,1.135064139562158,1.134177041770914,0.7940476945565844"
