,item_embed
15,"-0.07159918,-0.28780067,-0.37727442,-0.44459102,-0.44905108,-0.77289104,-0.5209777,-0.7236097,0.7409718,-0.7444596,0.44551143,0.461675,0.86693686,0.64983976,-0.41222322,0.3637268,0.57973707,0.59191775,0.5202058,0.59694594,-0.24885346,0.29661945,-0.26604214,0.580156,0.113295436,0.7166255,0.5270536,0.65544,0.57841974,0.08153951"
16,"-0.111135274,-0.09822007,-0.08107098,0.122149915,-0.007074429,-0.21788336,0.049444985,-0.13127168,0.058911964,-0.07157492,-0.034983344,0.19092299,-0.20318946,0.13718803,0.05357819,-0.16416532,0.15296373,-0.13255064,0.032245252,-0.10265471,0.047626246,0.081763305,0.07686222,-0.16133924,0.013354332,-0.0022559555,-0.16724955,-0.18529448,0.0670761,0.16779396"
17,"0.61706614,0.43902245,0.58106256,0.32960546,-0.36971247,-0.6630591,0.2829586,0.44112596,0.52775234,-0.012789805,-0.19301929,0.5056949,-0.43748727,-0.44089988,-0.16862123,0.14658274,0.14802845,0.29839155,-0.43979394,0.34319517,0.45145488,0.049369406,0.17278616,-0.22320032,-0.4914361,-0.011280267,0.27851364,0.65344685,-0.35489717,0.44658282"
18,"-0.3401075,-0.567164,-0.35661486,-0.32321045,0.047080748,-0.4024508,-0.6450675,0.79325944,-0.45218688,-0.0892061,-0.5879516,0.5701002,0.47179386,-0.6616083,0.20935512,0.59158355,-0.06889484,-0.5607173,-0.13575394,0.17098637,-0.1995899,-0.18541999,0.30846757,-0.66644895,-0.21804602,0.36202392,-0.5230098,0.44800544,0.20327629,-0.2577261"
19,"-0.43811077,-0.016779104,-0.19217685,0.13978021,-0.31033376,0.019205038,0.49787247,-0.08979791,0.3663173,0.5132401,0.09630008,-0.2816398,0.22720775,0.091256455,0.6022698,0.31275624,0.18644933,-0.4144581,-0.47187567,0.025925413,0.3065246,0.14993873,-0.110224396,0.057360098,0.15467459,0.49598682,-0.172711,0.17064701,0.14211923,0.3464716"
20,"0.3533196,0.24316886,0.3313625,0.1839737,-0.20953697,-0.3677971,0.15720436,0.24692523,0.30282196,-0.009723557,-0.10551484,0.28986403,-0.24690403,-0.2455462,-0.09202145,0.08338676,0.087186664,0.16714752,-0.2429477,0.19095735,0.24431823,0.028403757,0.098820865,-0.12317433,-0.27205226,-0.010713055,0.14865501,0.36370373,-0.20344678,0.25358698"
21,"-1.595462e-13,-4.6109523e-14,8.0138485e-14,-1.06154255e-13,-5.620702e-14,-7.822962e-16,1.513612e-14,-2.4557118e-14,6.5852787e-14,-1.2277993e-14,-1.4059297e-13,-1.3895355e-13,9.179476e-13,-5.290134e-14,-5.5635828e-14,2.2796101e-14,3.416895e-14,-1.9635926e-14,-8.5779575e-14,4.495944e-14,1.400832e-13,-5.8239436e-15,1.354925e-13,8.8335406e-14,-9.220318e-14,-7.947106e-15,-6.322887e-14,-1.3645407e-13,6.526858e-14,6.6924974e-14"
22,"0.28782734,0.09818728,-0.027529247,-0.12365104,-0.37463045,-0.17221257,-0.23612419,0.21481626,0.26152453,-0.090976305,-0.3303259,-0.11462708,0.06441127,0.059001934,0.42198408,-0.00017141848,-0.11568862,0.10412609,-0.14308706,-0.1098776,-0.13381621,0.11144525,0.0384044,-0.038902964,0.18377608,-0.23225062,0.2656811,-0.41341943,0.24588218,-0.1521945"
23,"0.45516446,-0.5786783,-0.3678496,0.7365704,0.7311142,0.47627324,-0.5671389,0.64274424,0.46734166,-0.47875947,0.36966553,-0.6640462,-0.61578345,-0.25957602,0.8411462,0.351235,0.23253696,0.64309835,0.5963409,0.62876,0.69995624,-0.6398851,0.6329507,0.68534076,-0.83417434,0.71053934,-0.38160434,-0.6991251,0.5653908,0.49227476"
24,"0.059136163,-0.40056962,0.034175307,0.015802104,0.32406142,-0.03477398,0.62204844,0.083757035,0.056772992,-0.06730254,-0.100228064,-0.04334134,0.26314422,-0.11036064,-0.32499602,0.4531491,0.32518926,0.02546916,-0.27459142,-0.17145956,0.3784834,-0.18067272,0.14035253,0.111981854,0.12014987,-0.23215069,0.23441657,-0.049616605,0.4284057,-0.4795185"
25,"-0.4129436,-0.68149304,0.5165877,-0.42315295,-0.24160849,-0.29295692,0.54047155,0.6306375,0.22422637,0.55025387,-0.626032,-0.07855162,-0.49719173,0.5489911,-0.07959668,-0.4165528,-0.78634584,0.6299476,0.5772186,-0.63924414,-0.075275026,0.6134986,-0.3652525,0.6064924,-0.67644894,0.25590196,-0.63493854,0.5605298,0.60441,-0.3625842"
26,"0.11410292,0.088860005,0.44248483,0.29316938,0.19982235,0.31340376,-0.43178496,-0.15518376,0.5002917,0.080685705,0.08041344,0.50134987,-0.22733364,-0.11815348,-0.06845883,0.16011347,0.050950486,-0.54501677,-0.28073815,-0.14063759,-0.43659505,-0.02784426,-0.457343,0.39714167,-0.27802783,0.14114685,-0.13992445,-0.16788605,0.24669194,-0.32006815"
27,"-0.30790228,0.14762908,0.021076636,0.015771843,-0.3948265,-0.37426782,-0.08528261,0.25786528,-0.49911436,0.2312595,0.5240406,0.09214359,0.041705642,0.34007254,0.02362121,0.13786511,0.20674782,0.21116458,-0.30847162,0.47526637,0.16366364,-0.2684281,-0.47375572,0.11098358,-0.51556975,-0.5325203,-0.27514142,-0.41463017,0.12932973,-0.21650794"
28,"-0.39580667,-0.41552883,-0.22662926,0.60669696,-0.51369476,0.5003775,-0.61259145,0.37723333,0.64528286,0.54701036,-0.65870494,-0.39063862,-0.0402781,0.39631814,-0.576707,-0.6085119,0.5248003,-0.49741372,0.5317116,0.47137728,0.5513045,-0.6066233,-0.34272227,-0.4266322,0.0951937,-0.45467976,0.5112702,0.45131975,-0.037677635,-0.26004192"
29,"-0.04288568,-0.11085536,-0.014484795,-0.28041556,0.0005969495,0.09385945,-0.33477592,-0.058484443,-0.0895218,0.46745515,0.3594608,0.34859395,-0.137761,0.16671541,-0.04440361,-0.3376913,-0.16685432,-0.1678882,0.11485401,0.13991742,-0.13429207,-0.08311297,0.35324937,0.1493408,-0.1252738,0.11514019,-0.12718755,0.15187225,-0.42231867,0.4630287"
30,"0.08593045,0.24996799,-0.33884367,-0.116016895,-0.10034099,0.08040975,0.02474034,0.0318141,0.0664906,0.27822897,-0.16339052,0.15412888,-0.23352179,0.16644455,0.09033599,0.049141016,-0.028167952,0.25143042,-0.2564414,0.06863192,-0.1760023,-0.18965293,0.14913255,-0.06428672,0.12120984,0.1632358,0.17022026,-0.078617275,0.27154183,-0.20751584"
31,"-0.6475302,0.72661453,-0.6112615,-0.38228646,0.030017197,0.6977871,0.59322214,-0.23972702,0.7103734,-0.033996213,-0.5007326,0.23915064,-0.57232386,0.6119311,-0.48969144,0.47306144,-0.24662575,0.6611236,-0.46287197,0.74366236,-0.69550186,-0.6573448,0.6156859,-0.61533284,-0.30663475,0.47588918,-0.35907394,-0.24376675,-0.12966168,-0.44058385"
32,"0.36019418,-0.17546201,-0.23558117,-0.14038187,-0.23392397,-0.28233504,-0.15399757,-0.04481586,0.20545235,0.4565383,-0.0075652134,0.150768,0.039833073,0.06297505,-0.051282816,0.040182013,-0.32201943,-0.10411072,-0.0076286686,-0.20385812,-0.1605913,-0.3835842,0.39943203,0.3104292,0.19651099,-0.25690278,0.04647068,-0.17424107,0.10960309,0.25160986"
33,"-0.1658772,0.12983224,0.13282849,-0.47587922,0.34820974,-0.11868467,0.289842,-0.1429124,0.33249852,0.41347486,-0.36141884,-0.15084524,0.35364997,-0.39388886,-0.26366678,0.023471944,0.32481322,-0.12042699,-0.13998383,0.116738684,0.25970626,-0.24156249,-0.10600342,0.36038175,-0.058589395,-0.07947313,-0.17628318,-0.24282782,0.1532778,0.38139555"
34,"0.7249812,-0.26675847,-0.6009147,-0.47246587,-0.6592901,0.32439098,-0.2051035,-0.62973666,0.45613557,0.5773685,0.33440456,0.0996179,0.2238539,-0.62643373,-0.14578517,0.22798026,0.49128014,0.50574666,0.39166215,-0.74106205,0.67496157,0.34847727,-0.27862135,-0.6026932,-0.6522984,0.30990756,-0.60973114,-0.45036992,-0.66428345,-0.75959206"
35,"-9.109484e-15,5.692309e-14,-6.3417834e-12,9.165838e-13,2.492561e-13,-7.925282e-13,4.4072268e-13,-1.3321801e-13,-1.188201e-12,9.260056e-13,-1.3247689e-13,-2.8180144e-13,-2.5171136e-13,-7.638818e-13,-5.3336513e-13,-3.980025e-13,-2.700669e-13,4.3087282e-14,4.0502183e-13,-2.6423986e-13,-5.959936e-13,-1.5813701e-13,-1.11612285e-13,2.5686224e-13,6.475911e-14,5.2595927e-13,3.922127e-13,6.1137033e-13,1.2350528e-14,-1.9571657e-13"
36,"0.5667732,-0.6068968,-0.31232303,0.11113449,0.526592,-0.08856626,0.30488327,0.50384986,0.31117195,-0.16611746,-0.1460997,-0.18536174,0.23488313,0.6670707,-0.8869512,0.22049733,-0.15397425,-0.18372634,-0.1529417,0.45152763,-0.65148824,0.60995376,-0.00070035097,-0.47804835,-0.47947556,-0.16445643,-0.009999782,-0.75880545,-0.47176632,0.25104687"
37,"-0.38331464,0.22392689,0.028436763,-0.09451735,-0.13101579,0.24128164,0.15733026,-0.18443385,0.26588768,-0.15235507,-0.09071261,-0.014911724,-0.10044097,0.06445205,0.01593733,0.18893446,-0.12023603,0.12021606,-0.005722693,0.18402375,-0.090575114,-0.24709824,0.15426286,-0.12385356,-0.059787095,0.07789143,-0.27826995,0.080019504,-0.17675671,-0.05741637"
38,"0.08702699,-0.6223067,0.45941082,-0.3263834,0.2073689,0.33947024,0.09077004,0.15177965,0.07943692,0.039398737,0.28501654,0.5569277,-0.32577908,0.5521316,0.43813542,0.46325034,0.39835602,0.09665608,0.0061146775,0.01259092,0.20682433,-0.03025706,0.32388413,-0.007743457,0.50003093,-0.43912044,0.0059915804,0.2295814,-0.36406797,-0.3142738"
39,"-0.46590582,-0.10544814,-0.6422254,-0.6680435,-0.2701981,0.11459272,0.06221022,0.31080687,0.5228807,-0.324348,0.4617356,0.5127997,-0.6261055,-0.79091996,-0.5856942,0.3300785,0.004618967,0.03451751,0.43041807,0.5121233,0.1881971,0.6766897,-0.5036828,0.32944036,0.5806779,-0.04878323,0.39984083,-0.21993303,0.5069146,0.32040462"
40,"0.14426747,-0.3077521,0.36842898,-0.14477304,-0.4235435,0.29186743,-0.019118138,0.34203094,0.023606736,-0.19552441,0.3869,-0.23579277,0.025735136,-0.16216667,-0.3577518,-0.388113,0.42126718,0.30113387,-0.41849536,-0.24642393,-0.4196999,-0.33572876,-0.025030997,-0.29443538,0.36501166,0.1924832,-0.41391107,0.040477376,0.35672784,0.35306284"
41,"0.14155392,-0.30229735,0.36476967,-0.1428409,-0.4174102,0.28769043,-0.019852936,0.33675465,0.023127522,-0.19260733,0.38000134,-0.22939762,0.025173398,-0.1595062,-0.3519742,-0.38101795,0.41552362,0.29667014,-0.41175735,-0.24245742,-0.41342437,-0.33153352,-0.024692696,-0.29194358,0.35952246,0.18993326,-0.40845373,0.039890926,0.35126904,0.34841305"
42,"0.11751573,0.08968746,0.45421708,0.3040774,0.20818901,0.32218793,-0.44928133,-0.16011487,0.5151025,0.08575598,0.08338031,0.5183069,-0.2356205,-0.121163696,-0.070424244,0.16769394,0.054524157,-0.5549339,-0.28935048,-0.15394254,-0.45247623,-0.032551046,-0.47278053,0.41080952,-0.2847359,0.14112054,-0.14538652,-0.16790874,0.2538957,-0.3301122"
43,"1.6421973e-14,4.0131434e-16,-8.485409e-15,2.000243e-14,-1.9440434e-14,7.820471e-16,-4.3877433e-15,2.9089845e-15,-5.5526847e-15,-2.755082e-16,2.1145632e-14,1.0793363e-14,-9.059661e-14,3.913595e-15,1.543398e-14,-7.228585e-16,-7.384608e-15,7.235555e-15,8.356552e-15,-1.7874456e-15,-1.3676164e-14,-2.8890303e-15,-1.3612806e-14,-2.160277e-14,1.4848828e-14,8.360364e-15,1.3031414e-15,5.9533094e-14,-1.3283064e-14,-5.064376e-15"
44,"0.25168738,0.26821837,0.27283263,0.27199697,-0.19086142,0.31689307,0.0815728,0.02178255,-0.17235267,0.17477,-0.100774586,0.31802875,0.38556617,0.09479594,-0.14523107,-0.011948263,-0.10758837,-0.011666151,0.30426615,0.34726435,0.21899252,0.30125272,0.2707124,-0.032426186,0.24612175,0.06909699,-0.37079334,-0.1548297,0.34123236,-0.028828293"
45,"1.0721369e-15,1.9465476e-14,-1.6451279e-12,2.9614565e-13,5.215723e-14,-1.7256613e-13,7.96743e-14,-4.4970636e-14,-3.1734476e-13,1.9485946e-13,-4.95311e-15,-1.0880692e-13,-9.270251e-14,-1.6719929e-13,-1.1753134e-13,-1.1413778e-13,-8.750352e-14,2.8943604e-14,1.1183533e-13,-4.7735233e-14,-1.5746912e-13,-3.6779577e-14,-2.6788926e-14,4.1406352e-14,7.9119084e-14,1.61978e-13,8.672534e-14,3.2065108e-13,-4.414645e-15,-1.09377825e-13"
46,"-0.26504195,0.12680812,0.018908363,0.01306764,-0.34017888,-0.32145193,-0.07312822,0.22131254,-0.42783526,0.197997,0.45262516,0.07845264,0.035860803,0.29235113,0.018655846,0.118118726,0.17657931,0.18160039,-0.26215452,0.40908292,0.14023781,-0.23029672,-0.40496865,0.09548723,-0.4436503,-0.45857096,-0.23756556,-0.3554081,0.11068267,-0.18483661"
47,"0.36531407,0.7629007,-0.40845627,-0.6792184,-0.5763875,0.6519819,-0.61576915,-0.015269436,-0.615892,-0.580478,-0.44195983,-0.6321193,-0.68466914,0.74470246,-0.6650754,0.8138729,0.6147558,-0.72778165,-0.45418283,-0.7453632,0.57039016,0.60523766,0.5875756,0.59509987,-0.6173424,-0.39399487,-0.32359213,0.62274784,0.46324974,0.4807634"
48,"0.7249271,-0.56510884,-0.47725132,-0.3200884,0.14980857,0.49712908,-0.32957062,-0.8428703,-0.18985929,-0.3311523,-0.6835411,-0.3876407,-0.39393327,-0.1577665,0.4025785,-0.25106245,0.16697855,0.13939677,-0.76450646,0.83131003,0.08168292,0.42796567,-0.10920603,0.31871054,-0.30337295,-0.7261902,-0.75943035,0.57358634,0.42629024,0.29446998"
49,"0.22074117,-0.119423866,-0.31763905,0.5393159,0.006002707,-0.35078588,0.2720446,-0.3106463,-0.063486785,0.10802201,0.10413455,0.05677762,-0.21906164,-0.053240374,-0.45265108,0.5592203,-0.22958292,-0.05170944,0.4150808,-0.24447125,-0.14192095,-0.62251735,-0.14889456,0.14951995,0.311292,-0.29952535,-0.5568499,0.29517314,0.023032406,0.18976063"
50,"-0.45294586,-0.4084228,0.5195392,0.23344854,-0.598263,-0.7471272,-0.37326992,-0.2877285,-0.4858114,0.5096099,-0.44263574,-0.6899045,-0.771225,-0.5741888,-0.45891356,0.40713787,0.7133298,0.13366407,0.21062219,0.6251672,-0.6595273,0.65310985,0.7521789,0.7233489,0.6262064,0.4923527,-0.10479567,-0.5909395,-0.69036555,-0.611659"
51,"1.3607965e-10,3.5350254e-08,-1.5747297e-08,-1.6287832e-08,4.5627513e-10,1.05383975e-07,-1.5217072e-09,1.00032125e-08,5.568923e-09,-1.2087842e-08,1.0410997e-07,6.466087e-08,-2.9172202e-09,3.071348e-08,4.7686495e-09,8.22199e-10,-3.1472518e-07,-3.358568e-10,7.698899e-09,-1.3400767e-10,4.9809055e-09,-3.1877323e-09,2.1454116e-10,2.0709967e-10,-2.461321e-09,-1.3388046e-08,-9.846655e-09,6.6595103e-09,5.549189e-06,8.177052e-09"
52,"-0.4936877,-0.7749207,0.6046431,0.823941,-0.46287376,-0.1796403,-0.6286167,-0.65090966,-0.5344251,0.44553643,-0.67108405,-0.3400862,-0.30959052,-0.2572231,-0.6075487,0.54985636,-0.015018675,0.68002903,-0.8673121,0.09277689,0.0894225,0.27540115,0.32350177,0.47510567,0.3553523,0.5874033,0.32519898,-0.5019919,-0.52692807,-0.11610775"
53,"0.017923485,0.21023582,0.12902,0.18053417,-0.19090335,-0.20535803,-0.16810954,-0.019402342,0.109163806,-0.34771395,-0.28846613,-0.1455818,-0.11020966,0.12932476,0.24413161,0.3581035,-0.07230502,0.14109458,0.36174673,-0.10597617,-0.13004614,-0.09595923,-0.39961454,-0.2232141,0.27256575,-0.22163992,-0.41491538,-0.08756504,-0.20091154,0.2054535"
54,"0.5421634,-0.48814896,0.7280911,-0.6389765,-0.52313834,0.15841953,0.58123964,-0.63808393,-0.62955153,0.03182303,-0.16640563,-0.15386747,-0.4930249,0.04830292,0.1856077,0.37260923,-0.20907384,-0.668612,0.62054664,0.47619063,-0.093911335,-0.59426063,-0.4169136,-0.61987114,-0.45948374,0.5195692,0.7273541,-0.29705086,0.46181387,0.26985836"
55,"2.3563527e-13,-1.0679195e-14,-2.5964514e-14,2.0562297e-13,-1.8000544e-14,-3.6135774e-14,1.5084437e-15,-2.4594123e-14,-5.0587806e-15,-2.9481368e-14,1.5535684e-14,5.1332643e-14,-5.8107524e-14,1.3911898e-14,-3.3196885e-14,1.6731615e-13,-3.198193e-14,2.5007018e-14,7.236979e-14,-3.5793857e-14,-1.5949553e-13,-4.2789414e-14,-6.679313e-14,-2.8284173e-14,1.7010799e-13,-4.058334e-14,-3.0307622e-13,7.2069046e-14,1.6625717e-14,1.4086519e-14"
56,"8.3421236e-16,-4.8115103e-16,-1.7154397e-16,3.4095787e-16,3.7025713e-16,1.39997e-16,-5.1800845e-16,3.0927153e-16,-2.7645832e-16,-6.2642844e-17,2.0665478e-15,1.2150381e-15,-8.740719e-15,1.6037804e-15,1.1491401e-15,-8.630277e-17,-4.7962034e-16,2.6673888e-16,8.192259e-16,-2.4557e-16,-7.1679777e-16,-3.73433e-18,-9.940457e-16,-1.5527917e-15,8.471898e-16,-4.8919424e-16,5.144489e-16,1.4396106e-15,-2.8252545e-15,-2.0410294e-16"
