,user_embed
15,"0.628939519290776,0.6823994866726405,0.7123616389844346,0.879130647354542,0.7783321604415522,0.5289029212842371,0.5933754699590681,0.6436820260891426,0.6248399867014527,0.6495183470269672"
16,"0.6243319365573998,0.6897382988106023,0.7157999049107469,0.8659972166519575,0.7715422208285996,0.5295326666241327,0.6012416351354325,0.6484768994762874,0.6247168004604873,0.6556147970972489"
17,"0.5253296243899918,0.4563595588888853,0.659321675393428,0.8039384745714878,0.5251791108853808,0.8099229950210608,0.7192550333455496,0.8812038656823321,0.6250193933565179,0.7671235054390884"
18,"0.5253207612591496,0.4701630153744532,0.6591131735913537,0.7933151770513835,0.5393574090499877,0.7990309416218152,0.7246382128253945,0.8718479963696177,0.6453003357624265,0.7575693805182047"
19,"0.5978714611888702,0.5187430521341935,0.6616924954426227,0.7730017234753671,0.5969392133751967,0.7443466868031748,0.7722764449470885,0.8172467309009298,0.6918265400286169,0.6948390330175339"
20,"0.525905818631043,0.46985777423647074,0.6591494670637194,0.7935705720759255,0.5399488333836872,0.7987397472998174,0.7247466957887568,0.8723928654687644,0.645518072038565,0.757647663095738"
21,"0.8246684239207913,0.6512857729713527,0.24142440963416575,1.0479540768510682,0.8419431124883325,0.4436787460316245,0.2768945652747175,0.8398206639262016,0.43099723922504224,0.8006342371070262"
22,"0.6544222359667825,0.4269062748925581,0.4742145830217824,1.0037712492869122,0.8076279063448207,0.8319899014084021,0.7118208335632961,0.4475953564861281,0.5437780501780832,0.806133298764351"
23,"0.6848477387271079,0.6947685500067133,0.7220526103704044,0.5911113201044189,0.46012027005004197,0.7102270348443742,0.7398473483811825,0.7993581590442519,0.6464233282869856,0.6253203625531387"
24,"0.6754152880836276,0.6885751151751112,0.7350325074022291,0.5925831766887922,0.4621878231890539,0.7122095768319036,0.7412667027014497,0.7983065390185483,0.6432148993514407,0.6247544699693807"
25,"0.5856057603353242,0.7162811726270998,0.6106485442221254,0.678272640910149,0.6240972404575487,0.7229726399849301,0.7700343651679497,0.6999165776920191,0.7094682823952465,0.7851083862494467"
26,"0.5742946305391419,0.7203557333414128,0.6133518220692236,0.6814375424952391,0.6167045699966127,0.7145663902082531,0.776538362676646,0.7029849459475515,0.7154042152952742,0.7842597181037982"
27,"0.603737634430942,0.6293075527659295,0.6374622718320918,0.7216756276216545,0.6226905430794009,0.7345572829347768,0.7727751863214363,0.7501182093445784,0.700910278470291,0.7398641880365057"
28,"0.585680355729315,0.7161713907013778,0.6106837463600137,0.6782967579985151,0.6241464705510726,0.7230269109426218,0.7699763095744154,0.6999381893043833,0.7093716981739588,0.7850515871546762"
29,"0.5751532904965712,0.7207170912249806,0.6118851984431293,0.680319534144718,0.6169775957495011,0.7150700084316534,0.7762216963356288,0.7021106361445061,0.7160731724503894,0.7849830667403024"
30,"0.6052129737037626,0.7210396002883908,0.590938189802105,0.6490837617143963,0.6424523032655491,0.7285055045924868,0.765870103020148,0.7004567626197377,0.7096156506443342,0.7900094215613406"
31,"0.5463009962162473,0.7347209386584241,0.6119202359421824,0.6839133609955025,0.5968572294661021,0.6926524553351086,0.7919333452774341,0.7047378107587624,0.7369534520493191,0.787552727237289"
32,"0.5640737614177083,0.7283075349621674,0.6088941494710098,0.6790440455675508,0.608404695729689,0.7061675565584082,0.7833377344553673,0.7022505252633642,0.726877931726596,0.7872666808351331"
33,"0.5364105839259273,0.7376007159237259,0.6138897421372518,0.6830030745690113,0.5898129464367813,0.684289541783055,0.8029334706711662,0.7131550541409916,0.7401843502512064,0.7805572164887088"
34,"0.5462959350308974,0.7351123150377896,0.6118204118727124,0.68349812474288,0.5961438346183463,0.6933896437141271,0.7915965967117937,0.7047635498090219,0.7368587325181659,0.7874065649825325"
35,"0.6619100352363897,0.7099420991137015,0.6824229476422602,0.6341215991690844,0.7043918104094571,0.8084500045552881,0.5775069127837341,0.6759636034448615,0.7194784992017873,0.7404952489967942"
