,words
680,12671
681,14468
682,3720
683,15484
684,4645
685,3187
686,3047
687,5588
688,13712
689,8295
690,7078
691,14693
692,11849
693,3113
694,18185
695,16355
696,0
697,3677
698,5257
699,11021
700,2735
701,12182
702,11484
703,9679
704,1807
705,11848
706,15744
707,19891
708,1303
709,11684
710,19976
711,7729
712,5205
713,2735
714,12182
715,15091
716,15621
717,7100
718,5408
719,10259
720,1112
721,7508
722,11425
723,8295
724,6099
725,4333
726,12424
727,2486
728,18064
729,13682
730,13285
731,8295
732,5381
733,10128
734,0
735,3584
736,8773
737,15530
738,8295
739,3002
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,11848
801,15744
802,8616
803,3273
804,5485
805,8824
806,17861
807,4185
808,17886
809,353
810,13069
811,13674
812,1376
813,19944
814,6158
815,7408
816,17886
817,8521
818,13921
819,5300
820,9194
821,19476
822,9468
823,0
824,8824
825,12119
826,14761
827,15621
828,7408
829,11848
830,18299
831,6828
832,0
833,8295
834,4842
835,673
836,13698
837,0
838,5300
839,12056
840,18185
841,8588
842,4055
843,13437
844,14780
845,13682
846,2450
847,11097
848,2486
849,16520
850,8824
851,9953
852,648
853,8899
854,0
855,4813
856,18567
857,8824
858,17690
859,0
860,19050
861,4185
862,2159
863,12880
864,2735
865,17804
866,7658
867,2486
868,11848
869,1678
870,426
871,4528
872,12349
873,4786
874,2159
875,13069
876,17239
877,5179
878,0
879,17557
880,8824
881,9554
882,4703
883,2305
884,1623
885,8824
886,9953
887,5518
888,0
889,17886
890,14580
891,6564
892,15621
893,11195
894,14780
895,8295
896,11377
897,15280
898,14754
899,4656
900,11029
901,9773
902,14736
903,14780
904,11569
905,11561
906,0
907,4464
908,8295
909,314
910,5205
911,8295
912,17518
913,673
914,6644
915,8808
916,0
917,17557
918,9208
919,12182
920,584
921,18914
922,1133
923,13921
924,2319
925,17886
926,14736
927,19476
928,13682
929,11037
930,7289
931,13069
932,9854
933,5205
934,5300
935,18914
936,14701
937,11346
938,0
939,12923
940,5357
941,3471
942,4528
943,2525
944,14028
945,19476
946,14156
947,13682
948,9864
949,5700
950,7512
951,0
952,17557
953,12182
954,11848
955,1678
956,1996
957,2248
958,11848
959,17227
960,584
961,19261
962,5617
963,5122
964,5700
965,8295
966,484
967,18185
968,8295
969,175
970,5630
971,2248
972,11848
973,10588
974,17459
975,5205
976,11980
977,8797
978,19058
979,18241
980,14187
981,14736
982,4185
983,4829
984,11848
985,15744
986,9486
987,14780
988,11854
989,0
990,19173
991,5300
992,3854
993,14156
994,17846
995,2305
996,18999
997,13965
998,15621
999,5113
1000,9512
1001,11848
1002,1133
1003,14736
1004,4185
1005,14125
1006,5789
1007,18405
1008,4669
1009,6813
1010,6329
1011,0
1012,17557
1013,10740
1014,11848
1015,6888
1016,2486
1017,17691
1018,16825
1019,18278
1020,16062
1021,15621
1022,5481
1023,15841
1024,15263
1025,7406
1026,15715
1027,14513
1028,15130
1029,19521
1030,15435
1031,19476
1032,8813
1033,8521
1034,2486
1035,8295
1036,484
1037,7406
1038,15715
1039,4185
1040,10551
1041,2064
1042,9869
1043,17003
1044,5205
1045,5300
1046,9134
1047,11195
1048,10588
1049,8808
1050,0
1051,584
1052,15222
1053,14780
1054,8295
1055,314
1056,19476
1057,6644
1058,9872
1059,15842
1060,2735
1061,14014
1062,11204
1063,13682
1064,17886
1065,19476
1066,8295
1067,484
1068,7406
1069,14736
1070,18185
1071,8295
1072,175
1073,10128
1074,0
1075,584
1076,11140
1077,1807
1078,3187
1079,2958
1080,17557
1081,12182
1082,6644
1083,10978
1084,13266
1085,13682
1086,14480
1087,1678
1088,5205
1089,5497
1090,5700
1091,5730
1092,18185
1093,13674
1094,15620
1095,17123
1096,0
1097,17557
1098,4421
1099,12182
1100,584
1101,14277
1102,17851
1103,15054
1104,8521
1105,11958
1106,11848
1107,286
1108,11912
1109,13051
1110,1233
1111,855
1112,11848
1113,286
1114,7769
1115,584
1116,15970
1117,673
1118,18073
1119,5789
1120,10238
1121,182
1122,6935
1123,838
1124,12032
1125,12424
1126,2486
1127,11071
1128,4154
1129,2486
1130,9773
1131,12772
1132,2479
1133,14513
1134,15130
1135,18686
1136,15130
1137,3012
1138,5205
1139,10634
1140,406
1141,13805
1142,14468
1143,8295
1144,18291
1145,14688
1146,2486
1147,1763
1148,4697
1149,5789
1150,17886
1151,14736
1152,11484
1153,536
1154,5079
1155,18153
1156,19173
1157,11195
1158,4697
1159,6413
1160,0
1161,0
1162,0
1163,0
